trial, dist, RT, interstim, Brightness, NumberofLED
1,45,360,537,15,3
2,-30,0,303,15,3
3,0,376,523,15,2
4,-45,0,593,15,2
5,30,736,396,15,2
6,-15,623,553,15,3
7,-60,0,604,15,1
8,60,0,740,15,2
9,30,450,755,15,1
10,45,0,611,15,1
11,15,0,365,15,3
12,-15,399,516,15,2
13,-15,411,419,15,1
14,-45,590,598,15,3
15,-60,0,725,15,1
16,30,406,450,15,1
17,0,0,503,15,1
18,-60,0,525,15,1
19,45,638,416,15,3
20,-45,0,356,15,1
21,0,445,534,15,3
22,30,622,652,15,1
23,-45,594,397,15,1
24,-60,0,611,15,1
25,-45,431,593,15,2
26,0,384,458,15,1
27,-45,0,644,15,3
28,-30,448,487,15,1
29,0,364,525,15,3
30,15,495,332,15,3
31,45,710,350,15,1
32,-45,449,318,15,1
33,0,349,662,15,2
34,0,372,663,15,3
35,-45,397,734,15,2
36,60,543,418,15,3
37,15,367,640,15,1
38,15,342,772,15,2
39,60,396,603,15,3
40,15,400,421,15,1
41,30,343,492,15,3
42,0,364,387,15,1
43,60,0,663,15,2
44,15,386,357,15,1
45,0,390,331,15,3
46,45,328,481,15,3
47,-60,392,425,15,1
48,0,325,378,15,1
49,60,0,402,15,2
50,45,367,470,15,1
51,-30,391,683,15,3
52,-15,386,523,15,3
53,-15,594,585,15,1
54,15,372,748,15,3
55,0,328,406,15,3
56,-45,0,480,15,2
57,15,421,651,15,1
58,60,418,456,15,3
59,-60,625,706,15,1
60,-30,536,667,15,3
61,60,765,698,15,1
62,30,705,770,15,1
63,30,431,385,15,1
64,-45,413,486,15,3
65,-45,0,467,15,2
66,-60,627,772,15,1
67,45,755,584,15,2
68,30,0,577,15,2
69,-30,479,773,15,1
70,-30,400,459,15,1
71,0,645,722,15,2
72,-45,426,784,15,1
73,0,382,757,15,2
74,60,380,352,15,3
75,0,439,476,15,2
76,60,428,569,15,3
77,60,615,537,15,1
78,-45,481,668,15,1
79,0,378,518,15,3
80,-15,688,619,15,2
81,30,411,676,15,3
82,-45,501,534,15,2
83,60,581,686,15,1
84,-15,450,427,15,2
85,-45,428,315,15,1
86,45,433,524,15,1
87,-60,0,321,15,2
88,-60,0,643,15,3
89,60,387,314,15,3
90,-60,0,672,15,3
91,-60,0,798,15,3
92,-45,0,592,15,3
93,30,587,461,15,2
94,-15,439,664,15,3
95,45,453,496,15,3
96,60,437,777,15,1
97,60,396,533,15,3
98,45,497,320,15,3
99,15,361,519,15,3
100,0,393,685,15,1
101,-30,571,696,15,2
102,-15,424,789,15,2
103,30,403,653,15,2
104,45,488,339,15,1
105,45,419,450,15,3
106,-60,507,691,15,2
107,-45,503,412,15,1
108,60,445,536,15,3
109,45,442,618,15,1
110,45,430,691,15,1
111,15,450,330,15,1
112,-45,465,371,15,3
113,-30,402,375,15,2
114,15,390,549,15,1
115,-60,423,661,15,1
116,-30,369,597,15,1
117,60,501,406,15,1
118,15,409,646,15,2
119,45,523,466,15,2
120,15,402,339,15,2
121,15,382,404,15,1
122,-45,434,708,15,1
123,60,0,467,15,3
124,-30,487,715,15,3
125,0,403,621,15,2
126,0,305,660,15,1
127,-15,413,489,15,1
128,-45,0,746,15,2
129,-45,534,402,15,3
130,60,455,740,15,1
131,0,322,555,15,1
132,30,377,775,15,1
133,15,412,576,15,3
134,15,0,699,15,2
135,45,521,578,15,1
136,-45,397,750,15,1
137,-15,428,548,15,1
138,-15,593,711,15,3
139,-45,435,710,15,3
140,-60,514,745,15,3
141,0,567,576,15,2
142,-60,444,376,15,1
143,60,440,338,15,3
144,15,462,672,15,1
145,60,0,339,15,1
146,-45,0,334,15,2
147,0,371,725,15,2
148,-30,455,539,15,3
149,-60,517,729,15,1
150,-45,581,521,15,2
151,15,383,784,15,1
152,15,607,667,15,2
153,30,667,394,15,2
154,-45,554,556,15,2
155,-15,472,470,15,3
156,45,473,670,15,2
157,-45,379,695,15,1
158,60,440,751,15,3
159,30,0,747,15,1
160,-60,568,404,15,1
161,-30,481,329,15,1
162,-15,438,706,15,3
163,60,865,480,15,1
164,-45,612,641,15,2
165,-30,374,457,15,1
166,45,397,498,15,3
167,45,0,446,15,2
168,15,486,502,15,3
169,30,409,708,15,3
170,-45,823,429,15,2
171,-30,765,411,15,2
172,-45,493,462,15,3
173,60,444,677,15,3
174,0,433,535,15,3
175,60,783,609,15,1
176,15,478,752,15,3
177,45,0,381,15,2
178,-45,427,536,15,1
179,15,642,740,15,2
180,-45,444,536,15,1
181,-15,708,433,15,2
182,-60,0,319,15,3
183,-60,0,526,15,3
184,-30,463,660,15,3
185,-30,539,439,15,1
186,-60,460,787,15,1
187,15,414,385,15,3
188,30,533,696,15,1
189,0,433,641,15,3
190,-60,531,449,15,3
191,0,465,445,15,1
192,15,442,549,15,2
193,45,556,736,15,3
194,45,573,367,15,3
195,15,628,309,15,3
196,15,645,460,15,2
197,60,0,376,15,2
198,-60,0,735,15,3
199,30,416,530,15,3
200,45,791,410,15,2
201,-45,467,543,15,1
202,30,531,317,15,1
203,-15,473,457,15,1
204,0,345,378,15,1
205,-45,403,526,15,1
206,60,0,652,15,2
207,15,441,455,15,3
208,60,0,498,15,2
209,-30,536,798,15,3
210,45,712,787,15,2
211,15,438,481,15,3
212,60,710,638,15,1
213,60,0,330,15,3
214,-60,488,432,15,1
215,-60,435,766,15,1
216,0,399,718,15,3
217,-45,424,798,15,1
218,60,0,743,15,2
219,-60,0,546,15,3
220,0,388,597,15,2
221,-15,403,782,15,3
222,30,593,757,15,1
223,45,495,484,15,3
224,-15,485,472,15,1
225,-45,339,547,15,3
226,-30,455,604,15,3
227,-15,563,499,15,1
228,-15,415,649,15,1
229,-15,367,650,15,2
230,-45,383,471,15,1
231,-45,499,574,15,1
232,-60,0,538,15,3
233,60,643,438,15,1
234,15,359,475,15,3
235,30,436,449,15,1
236,-60,0,322,15,3
237,-30,511,512,15,3
238,0,401,400,15,2
239,-45,457,310,15,2
240,-60,662,589,15,1
241,-45,432,528,15,1
