trial, dist, RT, interstim, Brightness, NumberofLED
1,-30,797,476,15,2
2,-15,518,786,15,1
3,45,562,658,15,2
4,-45,389,373,15,1
5,-30,554,520,15,3
6,-45,480,395,15,1
7,15,417,607,15,1
8,0,337,705,15,1
9,30,591,668,15,3
10,0,381,422,15,3
11,0,418,574,15,2
12,45,446,522,15,1
13,30,657,460,15,3
14,-30,530,538,15,1
15,60,681,538,15,3
16,-30,585,462,15,1
17,-15,486,423,15,3
18,30,652,623,15,2
19,0,411,728,15,2
20,45,550,788,15,3
21,45,527,515,15,3
22,45,464,629,15,1
23,-15,494,308,15,2
24,-60,0,446,15,2
25,15,544,517,15,3
26,-45,0,353,15,2
27,-60,0,368,15,1
28,-30,499,766,15,3
29,-15,379,574,15,2
30,-45,408,539,15,3
31,-45,540,761,15,2
32,-15,404,796,15,2
33,-15,418,664,15,1
34,-45,569,674,15,2
35,45,667,730,15,2
36,-15,435,595,15,1
37,-45,639,642,15,1
38,-30,399,458,15,2
39,-30,474,556,15,2
40,60,715,479,15,3
41,45,0,306,15,3
42,30,450,673,15,2
43,15,459,798,15,1
44,60,597,760,15,2
45,30,423,386,15,1
46,-45,423,421,15,1
47,-45,402,550,15,1
48,-45,495,499,15,1
49,45,432,468,15,1
50,-60,518,764,15,1
51,-45,519,797,15,3
52,0,425,421,15,1
53,-30,486,379,15,2
54,-30,357,643,15,1
55,0,352,530,15,3
56,60,607,405,15,1
57,30,545,467,15,3
58,-30,550,334,15,1
59,-45,557,441,15,3
60,-15,611,451,15,1
61,15,440,519,15,1
62,-30,749,460,15,3
63,45,549,682,15,1
64,15,582,766,15,2
65,15,445,620,15,2
66,15,333,460,15,2
67,-30,532,437,15,3
68,45,766,644,15,2
69,-60,0,650,15,2
70,30,429,464,15,3
71,0,340,561,15,3
72,60,553,453,15,3
73,-15,735,466,15,2
74,-60,0,624,15,2
75,30,712,708,15,1
76,-15,521,736,15,3
77,0,416,337,15,1
78,45,621,728,15,2
79,15,510,770,15,3
80,30,459,744,15,1
81,-30,492,476,15,2
82,-45,630,689,15,2
83,-45,540,519,15,3
84,-60,528,372,15,1
85,-30,480,377,15,2
86,15,545,467,15,1
87,15,583,696,15,3
88,-45,758,611,15,2
89,-15,576,593,15,3
90,60,578,427,15,3
91,45,0,741,15,2
92,-45,448,733,15,1
93,-15,508,703,15,2
94,-60,0,596,15,2
95,60,481,489,15,1
96,-60,572,307,15,1
97,60,701,397,15,1
98,30,544,441,15,1
99,45,490,473,15,1
100,60,0,337,15,2
101,60,0,329,15,3
102,-45,570,576,15,1
103,0,228,378,15,1
104,0,267,626,15,1
105,0,446,403,15,3
106,30,377,572,15,1
107,-15,480,335,15,2
108,30,553,496,15,1
109,15,512,499,15,3
110,-45,671,571,15,1
111,45,584,665,15,1
112,-15,710,349,15,3
113,-60,0,562,15,2
114,-45,432,650,15,3
115,-30,512,460,15,3
116,-45,395,710,15,3
117,-45,644,630,15,2
118,-45,785,729,15,3
119,-30,695,705,15,3
120,60,703,560,15,3
121,-15,504,748,15,2
122,30,369,624,15,1
123,15,0,668,15,3
124,-60,440,686,15,1
125,60,531,710,15,1
126,-30,569,602,15,1
127,-60,819,448,15,2
128,15,585,729,15,3
129,60,397,640,15,1
130,15,616,365,15,2
131,-30,538,442,15,1
132,30,478,374,15,2
133,45,687,783,15,2
134,-60,0,585,15,2
135,-30,375,556,15,1
136,30,430,415,15,1
137,60,0,333,15,3
138,-60,472,672,15,1
139,-30,570,787,15,1
140,0,520,403,15,3
141,-30,584,611,15,1
142,60,798,407,15,3
143,30,439,613,15,3
144,30,380,514,15,3
145,45,503,418,15,3
146,15,512,532,15,3
147,15,538,688,15,2
148,45,502,529,15,3
149,30,474,692,15,2
150,45,0,624,15,2
151,15,375,472,15,1
152,0,368,762,15,2
153,15,356,695,15,1
154,45,424,430,15,1
155,15,551,422,15,3
156,-15,513,719,15,2
157,-45,583,614,15,2
158,45,501,771,15,3
159,15,448,560,15,2
160,15,493,677,15,3
161,0,328,773,15,3
162,-15,386,633,15,1
163,-60,677,749,15,1
164,-45,664,507,15,2
165,15,520,602,15,1
166,-45,521,557,15,3
167,-45,662,303,15,1
168,-15,566,657,15,3
169,0,0,669,15,1
170,15,447,482,15,1
171,30,552,718,15,3
172,15,475,470,15,2
173,15,609,573,15,3
174,-45,0,661,15,2
175,30,468,589,15,1
176,45,842,641,15,1
177,0,397,620,15,1
178,30,443,672,15,3
179,45,0,511,15,2
180,30,836,509,15,2
181,15,414,734,15,1
182,-60,503,608,15,1
183,-45,515,697,15,1
184,15,470,474,15,1
185,0,498,314,15,3
186,-60,0,645,15,2
187,15,547,523,15,2
188,0,559,585,15,1
189,45,688,521,15,1
190,-30,454,738,15,2
191,-60,456,366,15,1
192,60,590,611,15,2
193,30,0,336,15,3
194,-30,450,525,15,2
195,-15,354,774,15,1
196,30,505,506,15,3
197,15,384,492,15,2
198,60,588,386,15,3
199,30,439,778,15,1
200,-15,495,758,15,3
201,60,827,409,15,2
202,60,537,646,15,1
203,15,387,674,15,2
204,30,370,525,15,1
205,0,369,743,15,1
206,30,507,337,15,1
207,30,622,436,15,3
208,60,445,349,15,3
209,0,432,381,15,3
210,-30,450,644,15,3
211,-45,499,740,15,1
212,30,540,576,15,2
213,-60,445,686,15,3
214,-30,542,425,15,2
215,15,406,399,15,2
216,60,557,457,15,3
217,60,0,794,15,1
218,60,498,736,15,3
219,-60,0,735,15,2
220,60,0,302,15,2
221,-60,518,377,15,2
222,60,517,366,15,2
223,-45,578,698,15,3
