trial, dist, RT, interstim, Brightness, NumberofLED
1,0,703,722,15,1
2,60,220,780,15,1
3,60,216,484,15,1
4,-60,263,362,15,1
5,45,221,342,15,1
6,30,243,446,15,1
7,-15,226,303,15,1
8,60,178,692,15,1
9,-30,242,641,15,1
10,60,221,511,15,1
11,0,216,380,15,1
12,-60,0,795,15,1
13,-45,222,480,15,1
14,-15,230,652,15,1
15,45,189,744,15,1
16,60,275,366,15,1
17,30,223,537,15,1
18,-45,246,727,15,1
19,15,230,708,15,1
20,30,261,416,15,1
21,60,281,571,15,1
22,15,225,630,15,1
23,15,211,696,15,1
24,0,229,714,15,1
25,30,247,429,15,1
26,-30,269,415,15,1
27,-60,272,517,15,1
28,-30,260,639,15,1
29,30,238,493,15,1
30,15,185,503,15,1
31,-15,233,360,15,1
32,-45,208,656,15,1
33,30,197,735,15,1
34,-45,250,329,15,1
35,-60,191,450,15,1
36,60,214,630,15,1
37,-60,210,438,15,1
38,-15,193,375,15,1
39,-45,262,644,15,1
40,-45,206,436,15,1
41,-60,192,380,15,1
42,30,230,320,15,1
43,-60,283,752,15,1
44,-60,230,625,15,1
45,60,278,523,15,1
46,-15,200,682,15,1
47,-30,137,699,15,1
48,-30,264,304,15,1
49,60,506,650,15,1
50,-60,199,737,15,1
51,-60,248,530,15,1
52,60,234,491,15,1
53,15,181,462,15,1
54,45,206,370,15,1
55,0,181,467,15,1
56,-30,203,630,15,1
57,30,162,502,15,1
58,-15,42,606,15,1
59,60,184,667,15,1
60,-45,230,394,15,1
61,-30,174,725,15,1
62,60,210,689,15,1
63,-30,238,475,15,1
64,0,184,319,15,1
65,-30,249,361,15,1
66,45,201,682,15,1
67,60,203,469,15,1
68,15,217,359,15,1
69,30,246,719,15,1
70,30,201,355,15,1
71,60,132,659,15,1
72,0,105,685,15,1
73,60,243,689,15,1
74,-15,240,374,15,1
75,45,0,788,15,1
76,-30,225,548,15,1
77,15,227,693,15,1
78,60,245,348,15,1
79,-15,31,630,15,1
80,-60,237,384,15,1
81,45,253,309,15,1
82,-60,182,703,15,1
83,30,218,381,15,1
84,-15,207,648,15,1
85,45,195,600,15,1
86,-30,212,612,15,1
87,-45,79,749,15,1
88,0,265,707,15,1
89,-45,240,654,15,1
90,-15,221,795,15,1
91,45,271,354,15,1
92,15,235,336,15,1
93,15,261,446,15,1
94,-15,261,325,15,1
95,30,200,389,15,1
96,15,206,571,15,1
97,45,230,492,15,1
98,45,240,544,15,1
99,-60,273,374,15,1
100,60,248,311,15,1
101,-60,267,368,15,1
102,15,253,582,15,1
103,-30,258,473,15,1
104,15,195,664,15,1
105,30,220,413,15,1
106,45,169,425,15,1
107,0,304,636,15,1
108,15,209,546,15,1
109,0,253,600,15,1
110,-15,237,648,15,1
111,-15,235,589,15,1
112,0,212,631,15,1
113,30,291,356,15,1
114,60,200,551,15,1
115,30,205,567,15,1
116,15,205,561,15,1
117,-30,234,389,15,1
118,15,165,426,15,1
119,0,225,651,15,1
120,-30,245,719,15,1
121,30,248,655,15,1
122,60,24,536,15,1
123,45,141,616,15,1
124,30,160,666,15,1
125,15,169,400,15,1
126,-60,45,709,15,1
127,-45,43,731,15,1
128,15,178,668,15,1
129,-30,223,328,15,1
130,45,89,693,15,1
131,-45,85,715,15,1
132,30,191,502,15,1
133,-15,221,417,15,1
134,0,28,692,15,1
135,-15,95,783,15,1
136,-30,227,459,15,1
137,60,162,658,15,1
138,60,206,604,15,1
139,0,169,610,15,1
140,30,197,329,15,1
141,45,170,390,15,1
142,-30,0,709,15,1
143,-45,182,339,15,1
144,-60,183,359,15,1
145,45,204,555,15,1
146,0,134,504,15,1
147,60,185,324,15,1
148,30,0,655,15,1
149,30,103,663,15,1
150,60,200,569,15,1
151,-45,184,350,15,1
152,-15,197,303,15,1
153,-60,0,662,15,1
154,-30,222,509,15,1
155,-45,90,637,15,1
156,-45,259,395,15,1
157,-45,227,447,15,1
158,60,149,661,15,1
159,60,186,541,15,1
160,60,61,676,15,1
161,-60,242,309,15,1
162,45,151,489,15,1
163,-45,155,684,15,1
164,30,193,439,15,1
165,15,212,467,15,1
166,-60,119,630,15,1
167,-60,259,358,15,1
168,30,180,781,15,1
169,0,247,711,15,1
170,-15,289,433,15,1
171,-60,213,683,15,1
172,30,268,328,15,1
173,15,211,416,15,1
174,30,272,761,15,1
175,-30,289,364,15,1
176,60,270,545,15,1
177,0,215,456,15,1
178,60,221,632,15,1
179,60,366,416,15,1
180,45,309,551,15,1
181,60,248,316,15,1
182,-45,463,566,15,1
183,60,182,610,15,1
184,-15,158,378,15,1
185,60,0,665,15,1
186,30,166,669,15,1
187,45,0,751,15,1
188,-60,220,732,15,1
189,15,157,566,15,1
190,-15,0,705,15,1
191,-60,231,752,15,1
192,60,9,738,15,1
193,45,230,323,15,1
194,-45,184,437,15,1
195,0,201,527,15,1
196,15,214,417,15,1
197,60,208,672,15,1
198,0,226,712,15,1
199,45,204,794,15,1
200,45,241,500,15,1
201,-15,1,722,15,1
202,-60,293,760,15,1
203,0,158,576,15,1
204,60,231,461,15,1
205,0,148,760,15,1
206,60,292,386,15,1
207,60,281,460,15,1
208,-45,243,521,15,1
