trial, dist, RT, interstim, Brightness, NumberofLED
1,45,277,599,15,1
2,-45,265,783,15,1
3,45,451,321,15,1
4,15,348,544,15,1
5,15,213,431,15,1
6,0,197,597,15,1
7,0,234,455,15,1
8,-45,233,522,15,1
9,-60,231,478,15,1
10,-45,226,540,15,1
11,60,192,477,15,1
12,60,247,732,15,1
13,0,218,720,15,1
14,-15,200,595,15,1
15,45,235,391,15,1
16,15,208,414,15,1
17,-60,264,730,15,1
18,0,210,675,15,1
19,0,229,468,15,1
20,-30,210,602,15,1
21,60,228,543,15,1
22,-30,233,453,15,1
23,0,234,502,15,1
24,45,260,330,15,1
25,-45,204,473,15,1
26,-45,230,634,15,1
27,15,211,369,15,1
28,-30,193,379,15,1
29,-60,369,357,15,1
30,-15,261,771,15,1
31,45,260,634,15,1
32,30,193,476,15,1
33,-60,221,376,15,1
34,-45,233,325,15,1
35,60,226,590,15,1
36,-45,197,539,15,1
37,-45,226,790,15,1
38,45,218,740,15,1
39,-30,214,600,15,1
40,-60,260,384,15,1
41,60,259,593,15,1
42,-45,274,673,15,1
43,-15,211,525,15,1
44,0,232,619,15,1
45,-30,247,778,15,1
46,30,297,478,15,1
47,30,225,551,15,1
48,30,220,475,15,1
49,60,296,309,15,1
50,0,236,677,15,1
51,-60,292,340,15,1
52,-30,213,706,15,1
53,60,210,494,15,1
54,0,293,433,15,1
55,-60,276,322,15,1
56,-45,229,694,15,1
57,30,240,411,15,1
58,45,272,470,15,1
59,-60,390,304,15,1
60,45,220,496,15,1
61,60,213,372,15,1
62,15,215,648,15,1
63,-60,237,402,15,1
64,-60,217,469,15,1
65,60,210,417,15,1
66,-30,222,321,15,1
67,15,219,703,15,1
68,-45,222,575,15,1
69,-15,224,361,15,1
70,30,179,336,15,1
71,30,186,360,15,1
72,-45,249,319,15,1
73,30,216,401,15,1
74,-30,259,749,15,1
75,45,238,498,15,1
76,-30,244,642,15,1
77,-60,297,515,15,1
78,-15,259,538,15,1
79,0,234,700,15,1
80,45,443,314,15,1
81,15,241,466,15,1
82,15,213,446,15,1
83,-15,227,700,15,1
84,30,218,760,15,1
85,-60,309,665,15,1
86,0,266,363,15,1
87,-15,228,796,15,1
88,45,200,409,15,1
89,-30,262,550,15,1
90,15,212,361,15,1
91,-30,224,724,15,1
92,45,228,711,15,1
93,60,310,751,15,1
94,30,235,534,15,1
95,45,227,689,15,1
96,-30,271,439,15,1
97,-15,230,768,15,1
98,-30,259,669,15,1
99,60,245,497,15,1
100,-15,265,324,15,1
101,60,252,775,15,1
102,60,216,579,15,1
103,60,295,749,15,1
104,-60,294,395,15,1
105,-45,270,658,15,1
106,30,212,675,15,1
107,-15,257,559,15,1
108,-45,240,771,15,1
109,-60,249,373,15,1
110,45,223,433,15,1
111,15,242,627,15,1
112,60,237,740,15,1
113,-15,247,709,15,1
114,0,209,527,15,1
115,0,215,337,15,1
116,-15,410,709,15,1
117,30,238,333,15,1
118,60,244,504,15,1
119,60,230,428,15,1
120,15,206,566,15,1
121,-60,245,525,15,1
122,45,220,580,15,1
123,30,189,392,15,1
124,45,195,676,15,1
125,30,237,305,15,1
126,-45,253,582,15,1
127,15,204,766,15,1
128,15,247,772,15,1
129,15,188,484,15,1
130,30,219,779,15,1
131,30,222,402,15,1
132,-45,262,438,15,1
133,15,209,350,15,1
134,-30,211,712,15,1
135,-30,251,346,15,1
136,0,214,687,15,1
137,0,220,569,15,1
138,60,226,638,15,1
139,45,233,522,15,1
140,15,267,366,15,1
141,-60,292,427,15,1
142,-60,300,308,15,1
143,0,284,476,15,1
144,45,236,363,15,1
145,-30,227,663,15,1
146,0,250,518,15,1
147,45,252,756,15,1
148,30,224,592,15,1
149,-30,219,604,15,1
150,-15,444,773,15,1
151,-15,246,411,15,1
152,60,231,356,15,1
153,45,224,605,15,1
154,-60,294,793,15,1
155,-15,265,353,15,1
156,-30,246,557,15,1
157,30,229,707,15,1
158,-15,237,466,15,1
159,-30,234,624,15,1
160,-30,247,603,15,1
161,45,242,791,15,1
162,-45,257,561,15,1
163,15,253,540,15,1
164,-15,229,723,15,1
165,-45,210,711,15,1
166,-60,291,667,15,1
167,15,214,507,15,1
168,15,209,469,15,1
169,-60,224,690,15,1
170,-60,295,634,15,1
171,60,230,627,15,1
172,-45,267,649,15,1
173,15,225,421,15,1
174,60,294,711,15,1
175,-60,263,550,15,1
176,-15,226,593,15,1
177,0,205,788,15,1
178,45,262,402,15,1
179,-15,293,537,15,1
180,-30,276,780,15,1
181,30,263,525,15,1
182,-45,278,337,15,1
183,-60,268,330,15,1
184,0,379,426,15,1
185,30,260,313,15,1
186,-15,239,407,15,1
187,-30,226,387,15,1
188,45,209,482,15,1
189,-30,246,617,15,1
190,-15,216,398,15,1
191,-60,239,309,15,1
192,-15,286,748,15,1
193,-30,298,756,15,1
194,30,234,731,15,1
195,60,400,577,15,1
196,-45,222,638,15,1
197,45,250,582,15,1
198,30,216,549,15,1
199,-30,229,536,15,1
200,15,233,629,15,1
