trial, dist, RT, interstim, Brightness, NumberofLED
1,15,0,353,15,1
2,15,296,789,15,1
3,30,176,642,15,1
4,30,180,702,15,1
5,-60,313,462,15,1
6,60,257,546,15,1
7,30,391,759,15,1
8,30,217,535,15,1
9,-15,206,505,15,1
10,30,192,451,15,1
11,60,195,671,15,1
12,30,244,459,15,1
13,-60,213,700,15,1
14,-45,172,481,15,1
15,-60,190,685,15,1
16,60,210,657,15,1
17,30,202,616,15,1
18,-60,289,571,15,1
19,-15,220,488,15,1
20,-15,218,621,15,1
21,45,190,487,15,1
22,-15,185,452,15,1
23,-30,168,614,15,1
24,-15,192,562,15,1
25,-60,222,561,15,1
26,-45,309,572,15,1
27,15,250,367,15,1
28,-30,177,506,15,1
29,30,342,438,15,1
30,60,267,307,15,1
31,15,280,535,15,1
32,60,499,763,15,1
33,15,244,305,15,1
34,-45,216,670,15,1
35,30,182,370,15,1
36,15,139,651,15,1
37,-30,229,494,15,1
38,30,234,323,15,1
39,-15,238,512,15,1
40,45,227,574,15,1
41,30,203,519,15,1
42,-30,203,526,15,1
43,60,217,424,15,1
44,0,181,754,15,1
45,-60,248,494,15,1
46,0,241,364,15,1
47,0,235,402,15,1
48,15,204,670,15,1
49,45,187,627,15,1
50,0,269,351,15,1
51,-45,260,754,15,1
52,45,261,636,15,1
53,15,240,411,15,1
54,60,225,706,15,1
55,-60,245,385,15,1
56,30,223,469,15,1
57,45,216,523,15,1
58,30,207,698,15,1
59,-30,270,578,15,1
60,60,270,553,15,1
61,-30,212,666,15,1
62,45,474,419,15,1
63,15,240,609,15,1
64,-45,271,416,15,1
65,-30,250,676,15,1
66,-60,267,599,15,1
67,45,219,671,15,1
68,-15,216,713,15,1
69,30,361,439,15,1
70,30,240,445,15,1
71,-15,269,615,15,1
72,15,210,587,15,1
73,-60,254,531,15,1
74,45,201,352,15,1
75,15,306,418,15,1
76,0,182,683,15,1
77,45,235,659,15,1
78,-30,347,418,15,1
79,45,195,340,15,1
80,0,206,674,15,1
81,60,254,486,15,1
82,30,214,432,15,1
83,45,230,338,15,1
84,-15,277,484,15,1
85,0,211,442,15,1
86,45,232,571,15,1
87,45,250,743,15,1
88,0,273,313,15,1
89,0,180,636,15,1
90,-45,410,346,15,1
91,-15,238,611,15,1
92,-15,207,608,15,1
93,30,217,508,15,1
94,-15,249,305,15,1
95,-45,262,789,15,1
96,30,442,675,15,1
97,0,274,673,15,1
98,-45,282,566,15,1
99,30,232,596,15,1
100,-15,244,350,15,1
101,60,243,736,15,1
102,-15,333,573,15,1
103,-45,243,654,15,1
104,45,286,710,15,1
105,60,253,648,15,1
106,15,294,322,15,1
107,-30,494,758,15,1
108,-30,198,721,15,1
109,-45,222,772,15,1
110,0,329,356,15,1
111,-60,260,350,15,1
112,45,229,458,15,1
113,30,269,415,15,1
114,45,276,626,15,1
115,60,312,583,15,1
116,60,258,358,15,1
117,15,211,427,15,1
118,0,267,454,15,1
119,15,280,482,15,1
120,-30,395,407,15,1
121,15,191,618,15,1
122,15,245,668,15,1
123,15,374,444,15,1
124,-45,219,549,15,1
125,-45,231,615,15,1
126,-15,205,475,15,1
127,-15,229,630,15,1
128,15,219,686,15,1
129,-45,227,443,15,1
130,0,297,451,15,1
131,45,294,482,15,1
132,-45,253,663,15,1
133,-60,247,716,15,1
134,45,231,605,15,1
135,-45,236,766,15,1
136,60,253,643,15,1
137,0,158,744,15,1
138,-60,372,706,15,1
139,15,404,699,15,1
140,-15,232,587,15,1
141,0,337,648,15,1
142,30,325,506,15,1
143,-60,252,750,15,1
144,0,226,665,15,1
145,-30,221,526,15,1
146,15,337,546,15,1
147,0,224,620,15,1
148,45,385,466,15,1
149,-30,184,633,15,1
150,-30,264,475,15,1
151,30,201,533,15,1
152,-45,261,315,15,1
153,-15,198,638,15,1
154,15,202,567,15,1
155,30,188,491,15,1
156,0,278,381,15,1
157,30,203,521,15,1
158,-30,206,429,15,1
159,-60,290,496,15,1
160,60,264,604,15,1
161,-45,218,608,15,1
162,30,221,705,15,1
163,15,201,605,15,1
164,45,269,644,15,1
165,-45,199,493,15,1
166,-45,364,594,15,1
167,30,216,599,15,1
168,-30,262,345,15,1
169,60,246,648,15,1
170,-30,240,683,15,1
171,15,259,309,15,1
172,-60,292,791,15,1
173,15,341,578,15,1
174,-15,225,758,15,1
175,-15,235,775,15,1
176,-45,252,689,15,1
177,-15,246,452,15,1
178,15,221,442,15,1
179,-30,251,485,15,1
180,-45,366,591,15,1
181,0,154,590,15,1
182,60,268,379,15,1
183,-45,220,417,15,1
184,30,234,375,15,1
185,-30,228,462,15,1
186,30,198,383,15,1
187,60,230,512,15,1
188,-30,239,335,15,1
189,0,299,572,15,1
190,-30,224,431,15,1
191,-45,250,570,15,1
192,-15,203,621,15,1
193,-30,203,769,15,1
194,45,252,319,15,1
195,45,392,324,15,1
196,-30,229,727,15,1
197,-15,193,549,15,1
198,-60,273,723,15,1
199,-45,235,520,15,1
200,-45,381,534,15,1
201,-30,229,326,15,1
