trial, dist, RT, interstim, Brightness, NumberofLED
1,45,775,318,15,1
2,30,219,793,15,1
3,30,226,422,15,1
4,60,30,745,15,1
5,15,164,737,15,1
6,-15,222,325,15,1
7,-30,209,353,15,1
8,-60,193,631,15,1
9,-15,177,793,15,1
10,0,306,649,15,1
11,-30,252,421,15,1
12,30,93,624,15,1
13,60,205,393,15,1
14,30,254,523,15,1
15,-15,297,308,15,1
16,-45,243,432,15,1
17,45,193,793,15,1
18,-30,225,600,15,1
19,30,356,442,15,1
20,-30,192,729,15,1
21,-45,265,612,15,1
22,0,199,479,15,1
23,-30,210,376,15,1
24,-15,182,544,15,1
25,15,170,533,15,1
26,45,27,796,15,1
27,45,232,330,15,1
28,-30,199,683,15,1
29,-30,178,441,15,1
30,0,269,375,15,1
31,-30,194,742,15,1
32,60,225,647,15,1
33,45,228,519,15,1
34,45,150,744,15,1
35,-60,209,662,15,1
36,0,300,302,15,1
37,45,234,465,15,1
38,-30,248,756,15,1
39,-60,279,778,15,1
40,45,82,726,15,1
41,-30,229,719,15,1
42,-15,240,780,15,1
43,-45,197,594,15,1
44,-60,292,738,15,1
45,60,246,731,15,1
46,45,317,553,15,1
47,60,230,488,15,1
48,-45,266,750,15,1
49,60,232,782,15,1
50,-45,290,397,15,1
51,-45,251,335,15,1
52,-30,257,688,15,1
53,-45,240,466,15,1
54,-60,241,664,15,1
55,30,579,614,15,1
56,15,216,587,15,1
57,-45,235,781,15,1
58,60,237,463,15,1
59,0,286,505,15,1
60,0,279,758,15,1
61,60,227,535,15,1
62,-45,243,459,15,1
63,60,249,570,15,1
64,15,210,404,15,1
65,-60,248,442,15,1
66,30,186,723,15,1
67,30,229,570,15,1
68,0,283,326,15,1
69,45,238,567,15,1
70,60,211,721,15,1
71,15,247,791,15,1
72,15,242,625,15,1
73,15,184,579,15,1
74,-45,198,727,15,1
75,30,206,737,15,1
76,15,235,429,15,1
77,0,308,526,15,1
78,45,272,353,15,1
79,-60,276,359,15,1
80,-45,237,393,15,1
81,15,194,321,15,1
82,45,213,490,15,1
83,30,209,693,15,1
84,-60,298,770,15,1
85,-45,254,490,15,1
86,-45,221,620,15,1
87,30,200,735,15,1
88,0,386,526,15,1
89,15,347,432,15,1
90,45,223,693,15,1
91,-45,398,761,15,1
92,60,253,475,15,1
93,45,252,356,15,1
94,15,218,349,15,1
95,-30,183,666,15,1
96,15,222,358,15,1
97,-45,227,724,15,1
98,-60,212,568,15,1
99,30,223,508,15,1
100,0,299,328,15,1
101,-45,235,412,15,1
102,-45,236,684,15,1
103,-30,247,451,15,1
104,60,236,367,15,1
105,0,203,304,15,1
106,60,228,433,15,1
107,45,199,662,15,1
108,0,252,477,15,1
109,60,95,672,15,1
110,45,247,312,15,1
111,15,187,552,15,1
112,-60,252,379,15,1
113,-30,389,792,15,1
114,-60,247,538,15,1
115,30,167,749,15,1
116,45,202,403,15,1
117,45,209,546,15,1
118,-30,248,325,15,1
119,45,213,447,15,1
120,15,190,776,15,1
121,-30,259,391,15,1
122,-60,244,394,15,1
123,-15,224,356,15,1
124,15,173,622,15,1
125,15,209,463,15,1
126,45,232,621,15,1
127,0,220,304,15,1
128,-15,108,759,15,1
129,45,208,693,15,1
130,45,239,583,15,1
131,-45,419,405,15,1
132,60,185,783,15,1
133,-45,408,463,15,1
134,0,243,382,15,1
135,-60,239,462,15,1
136,45,163,542,15,1
137,-15,196,485,15,1
138,30,228,351,15,1
139,0,230,616,15,1
140,-30,251,629,15,1
141,-30,210,575,15,1
142,15,235,592,15,1
143,-45,256,407,15,1
144,-30,220,591,15,1
145,-45,249,501,15,1
146,-15,189,676,15,1
147,15,421,314,15,1
148,60,328,492,15,1
149,15,224,740,15,1
150,-30,80,647,15,1
151,0,262,524,15,1
152,-30,794,438,15,1
153,45,260,573,15,1
154,15,211,601,15,1
155,-15,244,735,15,1
156,15,225,540,15,1
157,-15,422,451,15,1
158,-45,236,785,15,1
159,-60,285,362,15,1
160,30,151,327,15,1
161,0,175,560,15,1
162,30,188,560,15,1
163,-30,198,510,15,1
164,45,201,432,15,1
165,-45,243,334,15,1
166,60,182,759,15,1
167,30,155,550,15,1
168,15,286,412,15,1
169,-15,189,449,15,1
170,15,178,605,15,1
171,-45,202,519,15,1
172,15,178,482,15,1
173,30,209,549,15,1
174,-45,226,623,15,1
175,-60,188,653,15,1
176,0,221,349,15,1
177,15,163,761,15,1
178,0,191,469,15,1
179,-60,242,315,15,1
180,30,173,658,15,1
181,15,204,479,15,1
182,-45,228,328,15,1
183,-60,233,678,15,1
184,-15,179,543,15,1
185,0,222,376,15,1
186,30,207,347,15,1
187,0,163,386,15,1
188,-30,202,339,15,1
189,-15,167,629,15,1
190,-45,206,600,15,1
191,-30,188,627,15,1
192,0,260,325,15,1
193,15,205,746,15,1
194,30,175,549,15,1
195,-30,228,443,15,1
196,45,202,549,15,1
197,45,218,729,15,1
198,-15,227,642,15,1
199,0,223,533,15,1
200,-45,253,446,15,1
