trial, dist, RT, interstim, Brightness, NumberofLED
1,-60,420,511,15,1
2,-15,234,782,15,1
3,45,283,378,15,1
4,60,235,683,15,1
5,30,91,745,15,1
6,30,293,469,15,1
7,-45,257,513,15,1
8,-45,398,609,15,1
9,30,338,380,15,1
10,30,304,371,15,1
11,-45,227,471,15,1
12,45,301,357,15,1
13,60,296,414,15,1
14,30,298,349,15,1
15,0,251,562,15,1
16,-60,286,687,15,1
17,-15,253,746,15,1
18,0,196,594,15,1
19,-45,317,421,15,1
20,60,278,680,15,1
21,0,322,537,15,1
22,30,256,602,15,1
23,-15,237,546,15,1
24,-60,294,611,15,1
25,60,271,398,15,1
26,-15,222,629,15,1
27,30,199,405,15,1
28,-30,229,589,15,1
29,45,193,571,15,1
30,15,500,471,15,1
31,0,325,554,15,1
32,-15,296,412,15,1
33,-45,336,450,15,1
34,0,232,600,15,1
35,0,275,438,15,1
36,0,534,444,15,1
37,15,345,318,15,1
38,30,396,672,15,1
39,15,241,790,15,1
40,60,296,327,15,1
41,-30,228,459,15,1
42,15,311,419,15,1
43,-15,315,628,15,1
44,-15,228,776,15,1
45,45,319,649,15,1
46,45,236,732,15,1
47,45,300,464,15,1
48,15,346,566,15,1
49,30,397,313,15,1
50,-30,317,718,15,1
51,-45,356,363,15,1
52,60,315,369,15,1
53,15,308,324,15,1
54,-60,222,685,15,1
55,45,440,301,15,1
56,-60,271,640,15,1
57,-15,299,562,15,1
58,-45,167,716,15,1
59,45,21,661,15,1
60,45,202,746,15,1
61,60,288,650,15,1
62,60,253,567,15,1
63,15,312,721,15,1
64,-45,248,631,15,1
65,45,300,354,15,1
66,-60,349,336,15,1
67,-15,263,538,15,1
68,30,259,531,15,1
69,60,310,522,15,1
70,0,432,688,15,1
71,-30,404,385,15,1
72,45,310,415,15,1
73,45,372,418,15,1
74,30,299,602,15,1
75,30,299,742,15,1
76,-30,319,490,15,1
77,45,541,470,15,1
78,-30,396,440,15,1
79,0,314,604,15,1
80,-60,336,525,15,1
81,15,231,788,15,1
82,60,309,631,15,1
83,-30,264,664,15,1
84,-15,289,586,15,1
85,15,480,329,15,1
86,-30,416,418,15,1
87,30,270,704,15,1
88,-30,374,398,15,1
89,-30,296,650,15,1
90,-45,368,433,15,1
91,60,223,591,15,1
92,0,432,719,15,1
93,-30,320,355,15,1
94,45,261,699,15,1
95,30,216,612,15,1
96,-45,389,624,15,1
97,-30,332,346,15,1
98,45,277,439,15,1
99,30,295,561,15,1
100,45,284,506,15,1
101,30,282,506,15,1
102,0,210,465,15,1
103,-15,250,581,15,1
104,-15,483,469,15,1
105,60,330,747,15,1
106,-15,333,314,15,1
107,60,241,431,15,1
108,-15,200,740,15,1
109,45,303,452,15,1
110,45,258,615,15,1
111,-30,311,463,15,1
112,-60,346,575,15,1
113,-15,231,538,15,1
114,60,271,591,15,1
115,0,215,794,15,1
116,-30,474,312,15,1
117,60,335,511,15,1
118,-15,305,358,15,1
119,-60,347,740,15,1
120,15,242,691,15,1
121,15,285,475,15,1
122,-30,202,751,15,1
123,60,272,609,15,1
124,15,277,466,15,1
125,0,286,362,15,1
126,60,328,309,15,1
127,60,266,627,15,1
128,30,204,656,15,1
129,-45,300,390,15,1
130,-30,299,380,15,1
131,60,204,519,15,1
132,60,204,754,15,1
133,30,321,683,15,1
134,-15,484,308,15,1
135,-30,287,360,15,1
136,45,307,663,15,1
137,-60,311,592,15,1
138,-15,368,380,15,1
139,-30,256,370,15,1
140,0,449,508,15,1
141,-15,443,331,15,1
142,60,326,468,15,1
143,15,277,309,15,1
144,60,277,588,15,1
145,60,264,796,15,1
146,60,296,402,15,1
147,0,450,494,15,1
148,15,320,356,15,1
149,-15,450,732,15,1
150,45,353,452,15,1
151,45,305,481,15,1
152,-15,280,492,15,1
153,-30,225,760,15,1
154,45,409,396,15,1
155,60,465,325,15,1
156,-15,292,560,15,1
157,0,234,537,15,1
158,60,0,415,15,1
159,15,269,694,15,1
160,45,444,454,15,1
161,-45,629,321,15,1
162,-15,239,631,15,1
163,-15,2,491,15,1
164,-45,276,719,15,1
165,15,215,761,15,1
166,-30,371,392,15,1
167,-45,419,352,15,1
168,-60,349,443,15,1
169,-60,598,368,15,1
170,-30,173,560,15,1
171,-30,230,361,15,1
172,60,319,779,15,1
173,-15,306,602,15,1
174,-15,0,796,15,1
175,-45,243,711,15,1
176,0,295,481,15,1
177,-30,294,311,15,1
178,45,198,645,15,1
179,-45,216,681,15,1
180,-30,204,442,15,1
181,15,261,345,15,1
182,60,250,659,15,1
183,-30,313,789,15,1
184,60,554,306,15,1
185,-45,306,400,15,1
186,-60,241,681,15,1
187,-45,216,502,15,1
188,15,251,581,15,1
189,60,255,611,15,1
190,-15,270,422,15,1
191,60,363,309,15,1
192,30,246,407,15,1
193,-15,204,712,15,1
194,-15,204,795,15,1
195,60,410,508,15,1
196,-45,265,684,15,1
197,-45,359,312,15,1
198,15,381,467,15,1
199,-15,308,765,15,1
200,-15,476,346,15,1
201,-30,269,644,15,1
202,45,524,453,15,1
