trial, dist, RT, interstim, Brightness, NumberofLED
1,-60,0,511,15,2
2,-15,438,782,15,1
3,45,651,378,15,2
4,60,506,683,15,3
5,30,602,745,15,3
6,30,523,469,15,3
7,-45,753,513,15,2
8,-45,802,609,15,3
9,30,684,380,15,3
10,30,608,371,15,2
11,-45,607,471,15,1
12,45,0,357,15,2
13,60,669,414,15,1
14,30,0,349,15,3
15,0,402,562,15,3
16,-60,724,687,15,2
17,-15,457,746,15,3
18,0,415,594,15,2
19,-45,736,421,15,2
20,60,704,680,15,2
21,0,376,537,15,3
22,30,496,602,15,1
23,-15,561,546,15,3
24,-60,0,611,15,2
25,60,0,398,15,3
26,-15,430,629,15,2
27,30,530,405,15,3
28,-30,513,589,15,2
29,45,606,571,15,1
30,15,431,471,15,1
31,0,360,554,15,1
32,-15,423,412,15,1
33,-45,489,450,15,1
34,0,373,600,15,2
35,0,398,438,15,2
36,0,365,444,15,1
37,15,370,318,15,1
38,30,354,672,15,3
39,15,312,790,15,3
40,60,536,327,15,1
41,-30,495,459,15,3
42,15,0,419,15,2
43,-15,546,628,15,2
44,-15,432,776,15,1
45,45,655,649,15,1
46,45,494,732,15,3
47,45,561,464,15,2
48,15,489,566,15,3
49,30,411,313,15,1
50,-30,450,718,15,3
51,-45,659,363,15,2
52,60,612,369,15,2
53,15,0,324,15,3
54,-60,747,685,15,2
55,45,634,301,15,3
56,-60,492,640,15,1
57,-15,418,562,15,3
58,-45,525,716,15,3
59,45,476,661,15,3
60,45,0,746,15,2
61,60,521,650,15,1
62,60,0,567,15,2
63,15,394,721,15,2
64,-45,456,631,15,3
65,45,828,354,15,1
66,-60,0,336,15,3
67,-15,479,538,15,3
68,30,595,531,15,1
69,60,523,522,15,1
70,0,402,688,15,3
71,-30,416,385,15,1
72,45,766,415,15,2
73,45,511,418,15,1
74,30,452,602,15,3
75,30,394,742,15,3
76,-30,464,490,15,3
77,45,709,470,15,2
78,-30,482,440,15,1
79,0,574,604,15,1
80,-60,0,525,15,2
81,15,456,788,15,2
82,60,0,631,15,2
83,-30,621,664,15,3
84,-15,415,586,15,2
85,15,443,329,15,1
86,-30,502,418,15,2
87,30,501,704,15,3
88,-30,558,398,15,2
89,-30,412,650,15,1
90,-45,400,433,15,1
91,60,0,591,15,1
92,0,346,719,15,2
93,-30,441,355,15,1
94,45,523,699,15,3
95,30,416,612,15,1
96,-45,0,624,15,2
97,-30,560,346,15,3
98,45,0,439,15,2
99,30,455,561,15,1
100,45,573,506,15,1
101,30,488,506,15,2
102,0,355,465,15,1
103,-15,468,581,15,2
104,-15,426,469,15,2
105,60,439,747,15,3
106,-15,449,314,15,2
107,60,715,431,15,1
108,-15,485,740,15,3
109,45,461,452,15,1
110,45,0,615,15,3
111,-30,606,463,15,2
112,-60,440,575,15,1
113,-15,0,538,15,3
114,60,721,591,15,2
115,0,374,794,15,2
116,-30,561,312,15,3
117,60,497,511,15,1
118,-15,432,358,15,1
119,-60,0,740,15,3
120,15,471,691,15,2
121,15,439,475,15,3
122,-30,766,751,15,2
123,60,0,609,15,2
124,15,398,466,15,2
125,0,368,362,15,1
126,60,0,309,15,3
127,60,601,627,15,1
128,30,442,656,15,1
129,-45,0,390,15,3
130,-30,575,380,15,2
131,60,0,519,15,3
132,60,542,754,15,1
133,30,457,683,15,1
134,-15,474,308,15,1
135,-30,489,360,15,2
136,45,562,663,15,2
137,-60,542,592,15,1
138,-15,494,380,15,2
139,-30,375,370,15,1
140,0,383,508,15,2
141,-15,389,331,15,1
142,60,671,468,15,3
143,15,490,309,15,3
144,60,507,588,15,1
145,60,0,796,15,2
146,60,0,402,15,3
147,0,362,494,15,3
148,15,601,356,15,1
149,-15,469,732,15,3
150,45,581,452,15,1
151,45,0,481,15,2
152,-15,463,492,15,2
153,-30,417,760,15,1
154,45,498,396,15,3
155,60,576,325,15,1
156,-15,514,560,15,2
157,0,395,537,15,3
158,60,0,415,15,3
159,15,448,694,15,2
160,45,604,454,15,1
161,-45,707,321,15,1
162,-15,590,631,15,2
163,-15,361,491,15,1
164,-45,431,719,15,3
165,15,452,761,15,3
166,-30,662,392,15,1
167,-45,487,352,15,1
168,-60,451,443,15,1
169,-60,0,368,15,2
170,-30,543,560,15,2
171,-30,402,361,15,1
172,60,497,779,15,3
173,-15,424,602,15,3
174,-15,401,796,15,3
175,-45,700,711,15,3
176,0,378,481,15,3
177,-30,600,311,15,2
178,45,0,645,15,3
179,-45,0,681,15,3
180,-30,517,442,15,1
181,15,484,345,15,2
182,60,0,659,15,3
183,-30,469,789,15,1
184,60,0,306,15,3
185,-45,667,400,15,3
186,-60,0,681,15,3
187,-45,499,502,15,1
188,15,456,581,15,3
189,60,0,611,15,2
190,-15,408,422,15,1
191,60,0,309,15,3
192,30,421,407,15,1
193,-15,437,712,15,3
194,-15,427,795,15,3
195,60,0,508,15,3
196,-45,582,684,15,1
197,-45,658,312,15,3
198,15,446,467,15,3
199,-15,447,765,15,1
200,-15,550,346,15,2
201,-30,386,644,15,1
202,45,471,453,15,1
203,45,0,334,15,2
204,60,510,323,15,1
205,30,714,449,15,2
206,-15,440,775,15,3
207,0,456,357,15,3
208,45,0,719,15,2
209,-15,676,322,15,1
210,0,407,638,15,2
211,30,692,653,15,2
212,45,0,702,15,3
213,15,592,693,15,2
214,-60,431,658,15,1
215,60,498,700,15,2
216,0,350,359,15,2
217,-60,574,667,15,1
218,-60,466,414,15,2
219,-30,514,708,15,3
220,15,387,572,15,2
221,30,607,451,15,1
222,45,547,483,15,2
223,0,347,342,15,1
224,-30,496,543,15,2
225,-30,485,754,15,3
226,30,500,740,15,2
227,0,360,708,15,3
228,-30,661,322,15,3
229,-60,425,585,15,1
230,15,529,660,15,1
231,0,365,358,15,1
232,15,363,539,15,3
233,-30,705,526,15,2
234,45,519,381,15,3
235,45,443,512,15,3
236,-15,415,546,15,3
237,-15,438,540,15,1
238,-45,516,334,15,3
