trial, dist, RT, interstim, Brightness, NumberofLED
1,-45,393,739,15,1
2,45,485,620,15,2
3,-45,354,554,15,1
4,45,455,578,15,3
5,-30,0,772,15,3
6,0,329,687,15,1
7,15,425,726,15,3
8,60,687,344,15,2
9,-45,415,679,15,3
10,-60,410,689,15,3
11,30,405,771,15,2
12,-60,423,425,15,1
13,-60,0,536,15,3
14,-60,0,339,15,1
15,-45,503,693,15,3
16,15,390,667,15,2
17,60,562,728,15,2
18,0,314,412,15,2
19,-30,434,799,15,3
20,60,0,376,15,3
21,-15,448,337,15,1
22,45,410,404,15,3
23,-30,0,307,15,2
24,15,0,696,15,1
25,30,421,791,15,1
26,-30,420,591,15,2
27,-30,448,664,15,3
28,-30,517,465,15,3
29,30,400,551,15,1
30,-45,386,646,15,1
31,45,448,659,15,2
32,45,504,646,15,3
33,0,333,520,15,2
34,15,452,382,15,3
35,15,430,628,15,3
36,15,440,582,15,1
37,30,456,700,15,2
38,30,485,655,15,3
39,0,373,389,15,3
40,-30,435,776,15,2
41,15,615,499,15,3
42,30,0,657,15,2
43,-15,375,492,15,2
44,-60,566,477,15,2
45,60,452,477,15,3
46,15,0,369,15,3
47,-30,410,707,15,2
48,15,402,302,15,3
49,0,387,689,15,3
50,30,402,640,15,2
51,-45,393,457,15,1
52,-45,417,498,15,1
53,15,396,333,15,2
54,60,499,601,15,2
55,-15,420,406,15,3
56,0,346,428,15,3
57,-15,372,585,15,2
58,-30,405,704,15,2
59,30,402,537,15,1
60,15,370,735,15,3
61,-45,562,543,15,3
62,15,409,635,15,1
63,60,590,764,15,2
64,-45,422,370,15,3
65,45,438,353,15,1
66,30,509,678,15,3
67,-15,491,460,15,3
68,45,508,417,15,2
69,30,548,702,15,3
70,15,419,526,15,2
71,15,417,656,15,2
72,-60,0,314,15,2
73,15,355,709,15,2
74,-45,0,602,15,3
75,15,461,428,15,3
76,30,505,452,15,3
77,0,353,547,15,2
78,-30,368,592,15,1
79,30,447,477,15,1
80,-15,403,791,15,2
81,45,426,420,15,3
82,30,522,714,15,3
83,60,428,780,15,1
84,-60,405,616,15,1
85,15,485,620,15,2
86,60,434,520,15,1
87,45,0,328,15,2
88,-60,0,410,15,2
89,30,399,425,15,1
90,45,432,473,15,2
91,60,477,771,15,2
92,-15,351,596,15,1
93,15,330,506,15,1
94,45,493,652,15,2
95,60,473,681,15,2
96,45,341,560,15,1
97,30,393,564,15,2
98,30,364,308,15,2
99,30,342,702,15,2
100,-30,487,500,15,3
101,-45,357,777,15,3
102,-45,409,488,15,1
103,-45,580,414,15,1
104,30,422,414,15,3
105,60,466,681,15,3
106,0,313,437,15,2
107,0,352,649,15,1
108,60,383,394,15,1
109,-60,411,332,15,3
110,15,365,609,15,3
111,0,388,672,15,3
112,45,633,497,15,3
113,60,620,407,15,2
114,0,364,732,15,3
115,0,316,320,15,3
116,30,388,676,15,3
117,30,323,504,15,1
118,45,390,373,15,1
119,-45,415,568,15,3
120,-15,310,737,15,1
121,-30,484,786,15,3
122,-45,540,529,15,2
123,30,363,450,15,1
124,-30,632,737,15,3
125,60,507,413,15,3
126,15,378,704,15,3
127,-30,475,629,15,3
128,-30,407,774,15,2
129,45,454,543,15,2
130,0,330,545,15,3
131,0,331,710,15,3
132,-45,417,311,15,3
133,-30,0,303,15,2
134,15,344,604,15,2
135,0,328,415,15,3
136,45,393,532,15,1
137,30,400,311,15,3
138,0,336,764,15,3
139,-45,333,707,15,1
140,30,401,345,15,1
141,45,0,660,15,2
142,0,324,611,15,2
143,60,0,554,15,3
144,-60,0,306,15,3
145,45,508,616,15,1
146,30,372,498,15,2
147,-45,476,480,15,3
148,-60,629,547,15,1
149,15,359,764,15,2
150,0,362,732,15,3
151,-15,388,447,15,2
152,-45,355,776,15,1
153,-15,557,512,15,2
154,-60,418,510,15,2
155,45,449,318,15,3
156,-45,458,774,15,2
157,-60,378,693,15,1
158,45,377,689,15,2
159,-45,350,660,15,1
160,-45,449,652,15,2
161,0,299,777,15,2
162,60,0,347,15,3
163,45,416,567,15,1
164,15,356,718,15,1
165,60,382,700,15,1
166,60,398,360,15,1
167,0,330,350,15,1
168,-45,382,613,15,1
169,-30,343,339,15,1
170,15,360,593,15,1
171,45,435,493,15,2
172,30,379,738,15,2
173,45,402,537,15,2
174,30,0,604,15,3
175,15,559,538,15,3
176,-30,364,453,15,1
177,30,390,405,15,3
178,-15,384,441,15,3
179,15,379,717,15,1
180,-45,590,659,15,3
181,0,340,675,15,2
182,15,340,688,15,1
183,0,348,492,15,3
184,30,354,401,15,1
185,0,315,657,15,1
186,0,341,698,15,3
187,-15,308,391,15,1
188,-60,514,319,15,1
189,15,344,536,15,3
190,15,362,428,15,1
191,-15,350,434,15,2
192,45,421,432,15,1
193,60,381,701,15,1
194,-60,0,311,15,2
195,-45,384,601,15,1
196,60,519,644,15,3
197,60,0,421,15,1
198,15,291,520,15,1
199,60,621,484,15,3
200,15,419,540,15,3
201,60,617,432,15,3
202,45,498,328,15,3
203,-15,403,662,15,3
204,-60,417,479,15,1
205,-30,327,355,15,1
206,0,353,349,15,2
207,-30,0,735,15,2
208,0,401,415,15,3
209,-15,0,516,15,2
210,0,373,645,15,3
211,30,533,654,15,3
212,45,528,544,15,2
213,-45,696,328,15,3
214,-30,362,562,15,2
215,30,402,682,15,2
216,-15,415,710,15,1
217,-60,488,683,15,3
218,60,570,327,15,3
219,60,559,404,15,3
220,-15,334,388,15,1
221,-15,343,469,15,1
222,60,518,606,15,3
