trial, dist, RT, interstim, Brightness, NumberofLED
1,-30,295,476,15,1
2,-15,240,786,15,1
3,45,357,658,15,1
4,-45,351,373,15,1
5,-30,383,520,15,1
6,-45,272,395,15,1
7,15,246,607,15,1
8,0,233,705,15,1
9,30,265,668,15,1
10,0,268,422,15,1
11,0,290,574,15,1
12,45,488,522,15,1
13,30,270,460,15,1
14,-30,206,538,15,1
15,60,271,538,15,1
16,-30,264,462,15,1
17,-15,239,423,15,1
18,30,243,623,15,1
19,0,279,728,15,1
20,45,271,788,15,1
21,45,314,515,15,1
22,45,262,629,15,1
23,-15,321,308,15,1
24,-60,308,446,15,1
25,15,298,517,15,1
26,-45,277,353,15,1
27,-60,272,368,15,1
28,-30,243,766,15,1
29,-15,298,574,15,1
30,-45,308,539,15,1
31,-45,258,761,15,1
32,-15,287,796,15,1
33,-15,243,664,15,1
34,-45,258,674,15,1
35,45,393,730,15,1
36,-15,312,595,15,1
37,-45,271,642,15,1
38,-30,239,458,15,1
39,-30,228,556,15,1
40,60,268,479,15,1
41,45,281,306,15,1
42,30,211,673,15,1
43,15,183,798,15,1
44,60,264,760,15,1
45,30,417,386,15,1
46,-45,352,421,15,1
47,-45,291,550,15,1
48,-45,266,499,15,1
49,45,290,468,15,1
50,-60,233,764,15,1
51,-45,283,797,15,1
52,0,282,421,15,1
53,-30,328,379,15,1
54,-30,300,643,15,1
55,0,266,530,15,1
56,60,296,405,15,1
57,30,193,467,15,1
58,-30,300,334,15,1
59,-45,278,441,15,1
60,-15,253,451,15,1
61,15,281,519,15,1
62,-30,267,460,15,1
63,45,251,682,15,1
64,15,256,766,15,1
65,15,253,620,15,1
66,15,257,460,15,1
67,-30,372,437,15,1
68,45,245,644,15,1
69,-60,255,650,15,1
70,30,258,464,15,1
71,0,254,561,15,1
72,60,245,453,15,1
73,-15,237,466,15,1
74,-60,255,624,15,1
75,30,222,708,15,1
76,-15,260,736,15,1
77,0,336,337,15,1
78,45,214,728,15,1
79,15,271,770,15,1
80,30,222,744,15,1
81,-30,297,476,15,1
82,-45,227,689,15,1
83,-45,317,519,15,1
84,-60,474,372,15,1
85,-30,476,377,15,1
86,15,267,467,15,1
87,15,233,696,15,1
88,-45,246,611,15,1
89,-15,242,593,15,1
90,60,246,427,15,1
91,45,247,741,15,1
92,-45,179,733,15,1
93,-15,242,703,15,1
94,-60,350,596,15,1
95,60,241,489,15,1
96,-60,291,307,15,1
97,60,200,397,15,1
98,30,244,441,15,1
99,45,280,473,15,1
100,60,327,337,15,1
101,60,277,329,15,1
102,-45,289,576,15,1
103,0,295,378,15,1
104,0,268,626,15,1
105,0,308,403,15,1
106,30,201,572,15,1
107,-15,321,335,15,1
108,30,260,496,15,1
109,15,241,499,15,1
110,-45,212,571,15,1
111,45,164,665,15,1
112,-15,299,349,15,1
113,-60,237,562,15,1
114,-45,274,650,15,1
115,-30,265,460,15,1
116,-45,235,710,15,1
117,-45,272,630,15,1
118,-45,230,729,15,1
119,-30,245,705,15,1
120,60,318,560,15,1
121,-15,228,748,15,1
122,30,257,624,15,1
123,15,277,668,15,1
124,-60,360,686,15,1
125,60,292,710,15,1
126,-30,283,602,15,1
127,-60,275,448,15,1
128,15,199,729,15,1
129,60,260,640,15,1
130,15,248,365,15,1
131,-30,224,442,15,1
132,30,260,374,15,1
133,45,234,783,15,1
134,-60,317,585,15,1
135,-30,397,556,15,1
136,30,252,415,15,1
137,60,304,333,15,1
138,-60,229,672,15,1
139,-30,205,787,15,1
140,0,273,403,15,1
141,-30,257,611,15,1
142,60,268,407,15,1
143,30,213,613,15,1
144,30,230,514,15,1
145,45,217,418,15,1
146,15,219,532,15,1
147,15,196,688,15,1
148,45,304,529,15,1
149,30,283,692,15,1
150,45,417,624,15,1
151,15,256,472,15,1
152,0,339,762,15,1
153,15,232,695,15,1
154,45,275,430,15,1
155,15,318,422,15,1
156,-15,219,719,15,1
157,-45,182,614,15,1
158,45,169,771,15,1
159,15,218,560,15,1
160,15,214,677,15,1
161,0,152,773,15,1
162,-15,194,633,15,1
163,-60,228,749,15,1
164,-45,238,507,15,1
165,15,257,602,15,1
166,-45,258,557,15,1
167,-45,372,303,15,1
168,-15,137,657,15,1
169,0,221,669,15,1
170,15,270,482,15,1
171,30,192,718,15,1
172,15,312,470,15,1
173,15,373,573,15,1
174,-45,250,661,15,1
175,30,248,589,15,1
176,45,195,641,15,1
177,0,253,620,15,1
178,30,191,672,15,1
179,45,208,511,15,1
180,30,240,509,15,1
181,15,203,734,15,1
182,-60,246,608,15,1
183,-45,224,697,15,1
184,15,251,474,15,1
185,0,274,314,15,1
186,-60,226,645,15,1
187,15,251,523,15,1
188,0,273,585,15,1
189,45,310,521,15,1
190,-30,202,738,15,1
191,-60,282,366,15,1
192,60,511,611,15,1
193,30,227,336,15,1
194,-30,250,525,15,1
195,-15,93,774,15,1
196,30,239,506,15,1
197,15,221,492,15,1
198,60,241,386,15,1
199,30,141,778,15,1
200,-15,313,758,15,1
