trial, dist, RT, interstim, Brightness, NumberofLED
1,-45,445,739,15,1
2,45,331,620,15,1
3,-45,263,554,15,1
4,45,370,578,15,1
5,-30,356,772,15,1
6,0,332,687,15,1
7,15,276,726,15,1
8,60,450,344,15,1
9,-45,394,679,15,1
10,-60,452,689,15,1
11,30,306,771,15,1
12,-60,406,425,15,1
13,-60,443,536,15,1
14,-60,451,339,15,1
15,-45,364,693,15,1
16,15,312,667,15,1
17,60,444,728,15,1
18,0,355,412,15,1
19,-30,379,799,15,1
20,60,420,376,15,1
21,-15,333,337,15,1
22,45,405,404,15,1
23,-30,397,307,15,1
24,15,356,696,15,1
25,30,352,791,15,1
26,-30,374,591,15,1
27,-30,337,664,15,1
28,-30,355,465,15,1
29,30,324,551,15,1
30,-45,444,646,15,1
31,45,350,659,15,1
32,45,391,646,15,1
33,0,330,520,15,1
34,15,385,382,15,1
35,15,325,628,15,1
36,15,377,582,15,1
37,30,379,700,15,1
38,30,354,655,15,1
39,0,337,389,15,1
40,-30,326,776,15,1
41,15,338,499,15,1
42,30,339,657,15,1
43,-15,569,492,15,1
44,-60,414,477,15,1
45,60,511,477,15,1
46,15,383,369,15,1
47,-30,349,707,15,1
48,15,367,302,15,1
49,0,354,689,15,1
50,30,433,640,15,1
51,-45,552,457,15,1
52,-45,425,498,15,1
53,15,403,333,15,1
54,60,456,601,15,1
55,-15,440,406,15,1
56,0,325,428,15,1
57,-15,352,585,15,1
58,-30,360,704,15,1
59,30,387,537,15,1
60,15,316,735,15,1
61,-45,344,543,15,1
62,15,373,635,15,1
63,60,486,764,15,1
64,-45,482,370,15,1
65,45,402,353,15,1
66,30,296,678,15,1
67,-15,451,460,15,1
68,45,535,417,15,1
69,30,348,702,15,1
70,15,513,526,15,1
71,15,394,656,15,1
72,-60,516,314,15,1
73,15,341,709,15,1
74,-45,428,602,15,1
75,15,361,428,15,1
76,30,389,452,15,1
77,0,310,547,15,1
78,-30,386,592,15,1
79,30,336,477,15,1
80,-15,372,791,15,1
81,45,436,420,15,1
82,30,403,714,15,1
83,60,468,780,15,1
84,-60,384,616,15,1
85,15,321,620,15,1
86,60,437,520,15,1
87,45,428,328,15,1
88,-60,424,410,15,1
89,30,321,425,15,1
90,45,409,473,15,1
91,60,455,771,15,1
92,-15,283,596,15,1
93,15,280,506,15,1
94,45,359,652,15,1
95,60,362,681,15,1
96,45,359,560,15,1
97,30,303,564,15,1
98,30,384,308,15,1
99,30,351,702,15,1
100,-30,409,500,15,1
101,-45,437,777,15,1
102,-45,388,488,15,1
103,-45,379,414,15,1
104,30,370,414,15,1
105,60,453,681,15,1
106,0,583,437,15,1
107,0,324,649,15,1
108,60,390,394,15,1
109,-60,339,332,15,1
110,15,318,609,15,1
111,0,338,672,15,1
112,45,439,497,15,1
113,60,544,407,15,1
114,0,311,732,15,1
115,0,377,320,15,1
116,30,308,676,15,1
117,30,376,504,15,1
118,45,383,373,15,1
119,-45,439,568,15,1
120,-15,327,737,15,1
121,-30,533,786,15,1
122,-45,433,529,15,1
123,30,339,450,15,1
124,-30,358,737,15,1
125,60,401,413,15,1
126,15,378,704,15,1
127,-30,349,629,15,1
128,-30,419,774,15,1
129,45,444,543,15,1
130,0,387,545,15,1
131,0,293,710,15,1
132,-45,576,311,15,1
133,-30,360,303,15,1
134,15,308,604,15,1
135,0,278,415,15,1
136,45,367,532,15,1
137,30,383,311,15,1
138,0,391,764,15,1
139,-45,425,707,15,1
140,30,429,345,15,1
141,45,325,660,15,1
142,0,335,611,15,1
143,60,423,554,15,1
144,-60,411,306,15,1
145,45,451,616,15,1
146,30,308,498,15,1
147,-45,316,480,15,1
148,-60,412,547,15,1
149,15,357,764,15,1
150,0,356,732,15,1
151,-15,306,447,15,1
152,-45,457,776,15,1
153,-15,359,512,15,1
154,-60,527,510,15,1
155,45,366,318,15,1
156,-45,460,774,15,1
157,-60,450,693,15,1
158,45,586,689,15,1
159,-45,433,660,15,1
160,-45,551,652,15,1
161,0,347,777,15,1
162,60,420,347,15,1
163,45,535,567,15,1
164,15,404,718,15,1
165,60,425,700,15,1
166,60,612,360,15,1
167,0,310,350,15,1
168,-45,360,613,15,1
169,-30,428,339,15,1
170,15,361,593,15,1
171,45,393,493,15,1
172,30,417,738,15,1
173,45,557,537,15,1
174,30,455,604,15,1
175,15,345,538,15,1
176,-30,395,453,15,1
177,30,384,405,15,1
178,-15,463,441,15,1
179,15,519,717,15,1
180,-45,601,659,15,1
181,0,341,675,15,1
182,15,408,688,15,1
183,0,337,492,15,1
184,30,322,401,15,1
185,0,357,657,15,1
186,0,331,698,15,1
187,-15,531,391,15,1
188,-60,526,319,15,1
189,15,357,536,15,1
190,15,370,428,15,1
191,-15,683,434,15,1
192,45,585,432,15,1
193,60,409,701,15,1
194,-60,445,311,15,1
195,-45,399,601,15,1
196,60,464,644,15,1
197,60,378,421,15,1
198,15,418,520,15,1
199,60,439,484,15,1
200,15,742,540,15,1
