trial, dist, RT, interstim, Brightness, NumberofLED
1,-45,317,405,15,1
2,0,287,478,15,1
3,-60,258,432,15,1
4,-45,326,728,15,1
5,60,284,411,15,1
6,-30,224,361,15,1
7,0,285,441,15,1
8,-15,233,444,15,1
9,-30,244,755,15,1
10,-60,294,578,15,1
11,60,294,459,15,1
12,30,283,777,15,1
13,-60,284,710,15,1
14,-45,297,479,15,1
15,-60,402,511,15,1
16,-15,444,536,15,1
17,-60,354,630,15,1
18,-60,284,433,15,1
19,30,324,625,15,1
20,30,367,326,15,1
21,45,378,775,15,1
22,-15,406,552,15,1
23,60,406,316,15,1
24,-15,485,356,15,1
25,-15,301,451,15,1
26,-15,287,377,15,1
27,0,274,551,15,1
28,-45,310,302,15,1
29,-45,486,346,15,1
30,60,275,529,15,1
31,-15,225,480,15,1
32,15,253,722,15,1
33,-30,264,376,15,1
34,-60,282,649,15,1
35,-60,273,756,15,1
36,-15,302,452,15,1
37,-30,379,785,15,1
38,0,253,670,15,1
39,-60,283,638,15,1
40,60,185,762,15,1
41,15,257,438,15,1
42,-45,246,609,15,1
43,60,263,494,15,1
44,60,265,769,15,1
45,-15,266,711,15,1
46,0,286,362,15,1
47,-45,316,471,15,1
48,-15,269,441,15,1
49,-45,287,658,15,1
50,0,256,355,15,1
51,-15,231,394,15,1
52,0,223,591,15,1
53,60,242,580,15,1
54,60,298,479,15,1
55,-30,256,595,15,1
56,-60,246,502,15,1
57,-45,300,701,15,1
58,-15,335,678,15,1
59,30,396,668,15,1
60,45,464,542,15,1
61,0,314,615,15,1
62,-30,239,472,15,1
63,60,264,437,15,1
64,-30,253,479,15,1
65,60,248,402,15,1
66,-30,274,324,15,1
67,15,275,763,15,1
68,-15,242,658,15,1
69,15,222,794,15,1
70,-30,332,487,15,1
71,45,391,436,15,1
72,-45,325,325,15,1
73,-30,292,356,15,1
74,-30,237,352,15,1
75,-15,219,739,15,1
76,45,335,488,15,1
77,-45,254,646,15,1
78,-60,295,374,15,1
79,45,247,668,15,1
80,-30,296,362,15,1
81,-45,243,409,15,1
82,-45,245,385,15,1
83,-45,271,382,15,1
84,-15,224,666,15,1
85,15,314,414,15,1
86,-60,263,430,15,1
87,0,262,330,15,1
88,-45,257,303,15,1
89,60,309,464,15,1
90,45,267,677,15,1
91,15,286,525,15,1
92,15,235,354,15,1
93,15,211,720,15,1
94,15,252,735,15,1
95,-45,272,704,15,1
96,-45,334,481,15,1
97,30,278,547,15,1
98,-30,339,328,15,1
99,-30,282,365,15,1
100,15,264,708,15,1
101,60,278,469,15,1
102,-45,257,368,15,1
103,45,288,798,15,1
104,45,265,450,15,1
105,15,241,760,15,1
106,-60,456,576,15,1
107,45,290,367,15,1
108,-30,244,313,15,1
109,-60,261,457,15,1
110,0,263,361,15,1
111,15,231,584,15,1
112,45,262,550,15,1
113,-15,222,589,15,1
114,-45,259,395,15,1
115,-60,248,317,15,1
116,-60,258,428,15,1
117,30,240,570,15,1
118,60,302,530,15,1
119,-60,324,434,15,1
120,-45,249,556,15,1
121,15,244,476,15,1
122,-15,167,788,15,1
123,30,241,366,15,1
124,-15,221,547,15,1
125,-60,253,780,15,1
126,15,206,677,15,1
127,-15,257,707,15,1
128,0,306,719,15,1
129,-45,245,614,15,1
130,60,291,318,15,1
131,45,252,554,15,1
132,45,260,499,15,1
133,45,233,502,15,1
134,-30,213,593,15,1
135,-30,256,702,15,1
136,15,368,317,15,1
137,-30,247,509,15,1
138,60,245,574,15,1
139,-15,254,379,15,1
140,0,221,561,15,1
141,0,213,638,15,1
142,60,183,616,15,1
143,30,248,661,15,1
144,45,230,686,15,1
145,-30,247,612,15,1
146,-30,247,410,15,1
147,0,223,582,15,1
148,-45,241,685,15,1
149,30,235,774,15,1
150,60,251,613,15,1
151,-30,244,786,15,1
152,30,325,518,15,1
153,-15,230,553,15,1
154,-15,239,534,15,1
155,30,189,575,15,1
156,0,299,601,15,1
157,60,279,690,15,1
158,-45,282,748,15,1
159,-30,278,749,15,1
160,-15,294,357,15,1
161,-30,266,624,15,1
162,30,348,708,15,1
163,15,249,583,15,1
164,45,236,488,15,1
165,-15,256,738,15,1
166,-30,242,659,15,1
167,-60,246,787,15,1
168,-15,236,463,15,1
169,-30,292,328,15,1
170,-60,277,421,15,1
171,45,259,762,15,1
172,-15,262,657,15,1
173,30,371,375,15,1
174,15,282,736,15,1
175,-45,366,571,15,1
176,-15,254,584,15,1
177,0,258,592,15,1
178,-45,264,724,15,1
179,-30,232,603,15,1
180,-60,322,779,15,1
181,-60,278,413,15,1
182,-30,249,552,15,1
183,45,295,391,15,1
184,-15,219,730,15,1
185,0,272,540,15,1
186,15,240,448,15,1
187,-60,234,778,15,1
188,-15,257,771,15,1
189,15,256,632,15,1
190,15,287,338,15,1
191,-30,232,695,15,1
192,-60,272,611,15,1
193,-60,318,317,15,1
194,30,282,463,15,1
195,-60,343,779,15,1
196,-45,311,632,15,1
197,60,291,324,15,1
198,60,435,759,15,1
199,45,277,550,15,1
200,60,304,662,15,1
