TrialNumber,Eccentricity,ReactionTime_s_
1,15,0.2457881
2,10,0.2725756
3,15,0.2435951
4,40,0.0931156
5,25,0.2334626
6,-15,-0.0629565
7,-35,0.2413881
8,5,0.2256791
9,5,0.2260885
10,-15,0.2146289
11,-5,0.2061352
12,0,0.1946653
13,-5,0.2347415
14,30,0.1310426
15,5,0.2254712
16,-10,0.4364167
17,5,0.2202209
18,10,0.2194006
19,-25,0.3905458
20,0,0.2038804
21,25,0.2302661
22,-10,0.2982867
23,-20,0.2191557
24,5,0.2601516
25,35,0.2621257
26,40,0.2487917
27,-40,0.2790219
28,-30,0.2392328
29,-20,0.2206804
30,25,0.1651536
31,30,0.0759259
32,25,0.2383543
33,-35,0.2355047
34,-20,0.2064496
35,-40,0.06824
36,15,0.1486708
37,30,0.209277
38,25,0.1175844
39,15,0.0981232
40,-30,0.1504251
41,-15,0.0633216
42,-30,0.2494688
43,0,-0.0294892
44,-15,0.2232221
45,0,0.2476227
46,20,0.2506728
47,-25,0.2001485
48,10,0.2235971
49,-40,0.2489039
50,-10,0.1302687
51,-20,0.1504249
52,10,0.2198784
53,-20,0.2488554
54,15,0.2758133
55,-35,0.2484432
56,30,0.2181533
57,20,0.1170344
58,-30,0.2257692
59,5,0.242842
60,35,0.2172105
61,0,0.032356
62,35,-0.0535735
63,0,0.0556861
64,-15,0.2249402
65,25,0.2262482
66,0,-0.0247128
67,20,0.2569642
68,30,0.0477415
69,-35,0.2145274
70,10,0.177505
71,-5,0.2300794
72,0,0.0050636
73,-25,0.3899674
74,10,0.2880104
75,-15,0.0185958
76,40,0.2428053
77,15,0.1882831
78,10,0.2462907
79,-15,0.2463414
80,-15,0.1965985
81,-35,0.2249697
82,0,0.2379581
83,25,0.2452978
84,20,0.3723156
85,-20,0.0629667
86,-5,0.2363783
87,-15,0.2257661
88,0,0.0279826
89,25,0.1945602
90,-35,0.0892809
91,-25,0.2386882
92,-30,0.0896831
93,5,-0.0043009
94,-25,0.2058227
95,35,0.2464453
96,-20,0.2286171
97,20,0.0153884
98,35,0.1258215
99,40,0.2211709
100,-35,0.2291118
101,30,0.2638186
102,-25,0.1799408
103,0,0.3002823
104,20,-0.0128059
105,30,0.2594712
106,-10,0.2288951
107,-5,0.2267509
108,30,0.1877211
109,5,0.2085564
110,-15,0.2462692
111,20,0.3194303
112,0,0.2487931
113,35,0.1978798
114,40,0.2392069
115,-5,0.2523596
116,20,0.2654581
117,40,0.2618601
118,0,0.2573049
119,-30,0.1529775
120,0,0.2095572
121,35,0.2350892
122,35,0.2179441
123,-25,0.2464548
124,-5,0.2176401
125,0,-0.0300184
126,10,0.218811
127,-30,0.0027407
128,-25,0.0094554
129,-10,0.2351993
130,35,0.2394809
131,5,0.2386483
132,15,0.2347809
133,-20,0.2218824
134,-5,0.2408209
135,10,0.283679
136,-40,0.1705863
137,-10,0.2337419
138,5,0.2396757
139,-20,0.185048
140,-30,0.2491097
141,-40,0.2444844
142,-10,0.1894653
143,-30,0.2396133
144,-40,0.2855565
145,-30,0.2553029
146,-5,-0.0060885
147,30,0.2482516
148,15,0.1050454
149,0,0.1012065
150,-40,0.2399951
151,-25,0.1749485
152,0,0.2378443
153,0,0.057448
154,40,0.2255685
155,-10,0.243462
156,-40,0.0920977
157,25,0.2678225
158,-25,0.2704831
159,-35,0.2811032
160,-10,0.2442486
161,20,0.0580453
162,10,0.2247608
163,20,0.0423237
164,25,0.2686161
165,15,0.1802034
166,40,0.2439797
167,35,0.252982
168,0,0.2395935
169,-20,0.2533681
170,40,0.2682597
171,0,0.137607
172,40,0.1857221
173,-40,0.2468232
174,-35,-0.0479595
175,-10,0.2476551
176,-40,0.2577935
177,-35,0.166932
178,15,0.2235938
179,-5,0.2469739
180,30,-0.0239642
