TrialNumber,Eccentricity,ReactionTime_s_
1,-25,0.275747587
2,0,0.208006675
3,-25,0.212591268
4,-35,0.210190042
5,-5,0.217145559
6,-15,0.200240447
7,-20,0.18833451
8,-15,0.169304907
9,-40,0.039312023
10,-20,0.185109532
11,-30,0.160528028
12,-20,0.239357272
13,-40,0.216975628
14,-10,0.165606041
15,-15,0.195057604
16,-25,0.212694693
17,-25,0.177001643
18,-35,0.230724088
19,0,0.14683707
20,0,0.198741678
21,-20,0.238543195
22,-10,0.21648987
23,0,0.231689993
24,-5,0.222744714
25,-10,0.217057237
26,-10,0.173879732
27,-30,0.17334565
28,-5,0.324424968
29,-30,0.242460812
30,-10,0.263861562
31,-5,0.220674246
32,-35,0.07301466
33,-30,0.289908318
34,-25,0.243819517
35,-35,0.270359476
36,-15,0.221656815
37,-30,0.257744303
38,-15,0.181954007
39,-5,0.242576168
40,-25,0.245623286
41,-40,0.24848333
42,-20,0.203354525
43,-5,0.232125139
44,-35,0.216585944
45,-40,0.26544158
46,-30,0.251522513
47,0,0.225416609
48,-10,0.305132383
49,-30,0.281265995
50,-20,0.219266503
51,0,0.292272913
52,-5,0.288536366
53,-10,0.228433337
54,-40,0.20416311
55,-40,0.500319856
56,-25,0.26186073
57,-10,0.204691836
58,-30,0.226007961
59,0,0.294696486
60,0,0.187809186
61,-30,0.273222532
62,-25,0.209782015
63,-35,0.194386909
64,-25,0.248763726
65,-5,0.227867215
66,-30,0.231280854
67,-40,0.273675589
68,-35,0.271468812
69,-20,0.233311169
70,-15,0.222555884
71,-35,0.248898415
72,-15,0.246930688
73,-20,0.239557434
74,-40,0.269429272
75,-15,0.206728007
76,-15,0.200920295
77,-35,0.245201335
78,-40,0.231304476
79,-5,0.239871478
80,0,0.269479844
81,-10,0.28390684
82,-15,0.248725228
83,-20,0.2367417
84,-10,0.298276702
85,-20,0.276559586
86,-5,0.223638513
87,0,0.174859491
88,-35,0.28350922
89,-25,0.23246015
90,-40,0.243696258
91,30,0.215155171
92,10,0.193274506
93,35,0.220326342
94,25,0.211365113
95,25,0.200858019
96,10,0.255050209
97,10,0.180683471
98,0,0.244193051
99,20,0.254836848
100,35,0.239100041
101,30,0.275983717
102,35,0.218303002
103,5,0.200697234
104,10,0.158786189
105,40,0.210864865
106,10,0.207742967
107,25,0.220058605
108,40,0.232586559
109,0,0.177834936
110,30,0.193496702
111,40,0.004362495
112,15,0.2237681
113,30,0.242999596
114,30,0.22719146
115,0,0.313706799
116,10,0.235587498
117,35,0.200527125
118,25,0.194511074
119,5,0.205673115
120,40,0.189541996
121,0,-0.014501738
122,0,0.250503946
123,0,0.294750948
124,25,0.247819568
125,5,0.211358072
126,0,0.243784086
127,35,0.250102668
128,15,0.225896128
129,15,0.212911421
130,10,0.236801511
131,5,0.379191399
132,20,0.276266469
133,5,0.342530474
134,5,0.220408611
135,0,0.18824016
136,35,0.311256148
137,0,0.205324309
138,20,0.233245915
139,15,0.21129131
140,20,0.205771486
141,5,0.218082885
142,25,0.144046499
143,20,0.034886811
144,35,0.21026606
145,20,0.249828803
146,20,0.209877987
147,30,0.19858759
148,15,0.203585954
149,5,0.207756509
150,40,0.266403017
151,25,0.200365192
152,25,0.240744137
153,15,0.176072546
154,40,0.235145675
155,40,0.240621664
156,20,0.33582521
157,40,0.22744656
158,15,0.212485117
159,0,0.3057806
160,25,0.240160956
161,15,0.23854417
162,20,0.200527554
163,5,0.246753486
164,10,0.345871994
165,15,0.469781317
166,30,0.202281831
167,10,0.251283334
168,30,0.276225318
169,35,0.192933767
170,35,0.238360827
171,40,0.219143658
172,25,0.242460173
173,30,0.253149431
174,15,0.304100778
175,30,0.214439988
176,10,0.162329113
177,35,0.206288596
178,40,0.184628539
179,20,0.222966965
180,5,0.360196459
