TrialNumber,Eccentricity,ReactionTime_s_
1,20,0.209161227
2,0,0.210745886
3,5,0.314496896
4,-5,0.300260594
5,20,0.249827268
6,25,0.147630102
7,-15,0.255838001
8,-10,0.213348721
9,-20,0.297493394
10,10,0.220484379
11,0,0.147348808
12,-30,0.275583698
13,-35,0.178233321
14,20,0.178242425
15,-10,0.279768451
16,-15,0.26567446
17,-20,0.246157232
18,30,0.280749398
19,10,0.149914808
20,30,0.213908214
21,-20,0.208748494
22,15,0.2096334
23,35,0.308694086
24,-15,0.222667852
25,40,0.292622006
26,40,0.280361252
27,-15,0.231411754
28,15,0.20041125
29,-25,0.307727567
30,35,0.246771192
31,30,0.243435882
32,25,0.181295099
33,-30,0.233566899
34,-40,0.235854437
35,-15,0.145565249
36,-15,0.180947629
37,-5,0.26454896
38,-25,0.26832703
39,40,0.294192531
40,-10,0.305408054
41,-25,0.26673316
42,-15,0.238586644
43,-30,0.201846487
44,-40,0.288976682
45,-20,0.265452834
46,0,0.329495825
47,25,0.230629417
48,5,0.34726901
49,10,0.250306979
50,-10,0.231014014
51,-20,0.169077853
52,-5,0.182300757
53,-25,0.284801962
54,0,0.283606899
55,-30,0.22296137
56,25,0.266005622
57,-25,0.14653111
58,-35,0.203513695
59,30,0.181370771
60,-40,0.174634872
61,5,0.188924842
62,15,0.239991453
63,15,0.226071397
64,0,0.20946618
65,20,0.220382726
66,-10,0.203850557
67,-5,0.154177387
68,30,0.151556228
69,25,0.18875072
70,0,0.161927218
71,0,0.17930324
72,5,0.161777989
73,-10,0.175400489
74,-20,0.124137791
75,20,0.168791146
76,-5,0.262250926
77,10,0.243504098
78,-10,0.264445575
79,-25,0.192071019
80,20,0.317527991
81,-40,0.246247638
82,-10,0.273341653
83,-20,0.273378829
84,-5,0.225642501
85,-15,0.247113995
86,15,0.219776572
87,15,0.276070083
88,35,0.222427136
89,-35,0.28431409
90,-30,0.155430192
91,-25,0.15750442
92,-30,0.27130834
93,0,0.214011553
94,15,0.267559025
95,-5,0.161592225
96,-25,0.16383046
97,35,0.234475519
98,0,0.265509577
99,-35,0.225192426
100,5,0.169669243
101,-25,0.209209275
102,0,0.277162594
103,10,0.31531256
104,20,0.18304536
105,-30,0.24256267
106,-5,0.210319457
107,0,0.153750365
108,-40,0.229534343
109,25,0.232586939
110,-30,0.290246677
111,10,0.185957917
112,-35,0.231625639
113,-5,0.250817431
114,-35,0.230972687
115,0,0.201993152
116,15,0.210968703
117,0,0.274230524
118,35,0.275455767
119,-40,0.244464945
120,5,0.235932068
121,5,0.232851902
122,-5,0.280592233
123,30,0.302958871
124,20,0.254843014
125,40,0.161402813
126,40,0.164749312
127,15,0.261917582
128,0,0.200880233
129,-20,0.261042357
130,35,0.170501863
131,25,0.177087911
132,20,0.16409745
133,20,0.218982026
134,-30,0.171292165
135,10,0.197463891
136,25,0.242361714
137,35,0.203610751
138,30,0.271639394
139,0,0.213945214
140,25,0.184822039
141,-10,0.174573503
142,25,0.307059439
143,-30,0.296873305
144,-15,0.291380983
145,40,0.191646428
146,5,0.249741645
147,30,0.125643507
148,0,0.189073018
149,0,0.141897383
150,30,0.219693349
151,5,0.199601561
152,-10,0.249557895
153,0,0.249189997
154,40,0.261978879
155,30,0.305427589
156,-35,0.182805458
157,0,0.105451442
158,35,0.137648604
159,10,0.185492905
160,-10,0.186111336
161,-40,0.263646286
162,-40,0.277501644
163,-40,0.160276756
164,15,0.218404695
165,10,0.183297346
166,-30,0.172860259
167,-15,0.160287815
168,20,0.263329191
169,-25,0.201761311
170,-20,0.23735593
171,10,0.287933632
172,-15,0.209921256
173,40,0.209624637
174,-20,0.245717899
175,-35,0.17889863
176,10,0.266745155
177,40,0.257690981
178,0,0.273075543
179,20,0.208394421
180,0,0.296632753
181,-5,0.154923143
182,25,0.284763267
183,-35,0.273196001
184,5,0.202243225
185,-35,0.250873771
186,35,0.198943459
187,0,0.249385556
188,35,0.265869179
189,40,0.193477989
190,5,0.183642553
191,-20,0.211001145
192,-40,0.185938738
