TrialNumber,Eccentricity,ReactionTime_s_
1,-35,0.1710165
2,-5,0.2023618
3,-5,0.1643803
4,-15,0.143296
5,-5,0.1342084
6,-20,0.1360629
7,-10,0.1349048
8,-25,0.2879201
9,-20,0.1643402
10,-40,0.2069481
11,-15,0.1638583
12,-10,0.1549129
13,-35,0.3956968
14,-15,0.1552886
15,0,0.1478359
16,-40,0.1860406
17,-10,0.1544605
18,-30,0.1214363
19,-20,0.1189
20,-15,0.1338439
21,-40,0.010324
22,-25,0.1419315
23,-30,-0.0117656
24,-15,0.1543237
25,-30,0.1553361
26,-5,0.1455156
27,-10,0.2007162
28,0,0.1886919
29,-20,0.1519047
30,-20,0.1466362
31,-25,0.1565362
32,0,0.4034311
33,-35,0.214906
34,-15,0.1523227
35,-35,0.1483543
36,0,0.162029
37,-35,0.1537434
38,-30,0.1622072
39,-40,0.120394
40,-40,0.1805117
41,0,0.1813859
42,-40,0.1973166
43,-25,0.1398665
44,-30,0.1419731
45,0,0.0791312
46,-35,0.1454598
47,-40,0.1641975
48,-15,0.1437848
49,-40,0.1884148
50,-15,0.1368495
51,-10,0.1778777
52,-10,0.1418584
53,-10,0.1591691
54,-10,0.1696329
55,0,0.1656331
56,-40,0.1917571
57,-5,0.1625138
58,0,0.1698693
59,-25,0.1883939
60,-20,0.179052
61,-25,0.158491
62,-35,0.1939119
63,-30,0.1271437
64,0,0.1489446
65,-5,0.1458478
66,0,0.1508371
67,-20,0.1618343
68,-10,0.15518
69,-30,0.1659976
70,-30,0.1597349
71,-10,0.1443168
72,-20,0.1440483
73,-30,0.1791621
74,-35,0.1714567
75,-25,0.1534205
76,-15,0.1439451
77,-25,0.1660823
78,-25,0.2224636
79,-5,0.1711975
80,-20,0.1629113
81,-25,0.1784541
82,-5,0.1288394
83,-15,0.151555
84,-40,0.1766385
85,-35,0.1623268
86,-30,0.1602344
87,-5,0.1845019
88,-35,0.1377903
89,-20,0.1614498
90,-5,0.1675835
91,0,0.1616688
92,25,0.1770215
93,10,0.141877
94,35,0.1548444
95,35,0.1567436
96,30,0.143927
97,20,0.1043447
98,15,0.0506057
99,40,0.17041
100,15,0.1207255
101,15,0.1395161
102,40,0.1758861
103,30,0.1543712
104,25,0.1674246
105,25,0.1452786
106,20,0.1616944
107,30,0.1512169
108,10,0.1277433
109,10,0.1334757
110,20,0.149228
111,30,0.1651917
112,5,0.1670958
113,30,0.1655341
114,20,0.1649092
115,40,0.1586918
116,35,0.177166
117,5,0.1480208
118,20,0.132409
119,0,0.1522342
120,10,0.1482946
121,40,0.125257
122,25,0.1571232
123,5,0.18243
124,20,0.1632338
125,5,0.1357264
126,40,0.1601158
127,25,0.1531785
128,30,0.1364762
129,25,0.1692091
130,0,0.1555447
131,5,0.0738216
132,15,0.1356134
133,25,0.1868571
134,0,0.1639712
135,20,0.1670181
136,20,0.1319115
137,40,0.1261671
138,30,0.1576808
139,15,0.1356588
140,35,0.1860954
141,10,0.1446132
142,25,0.131707
143,35,0.1465338
144,0,0.1551405
145,35,0.1512184
146,40,0.1605131
147,10,0.1623797
148,10,0.144882
149,35,0.1412385
150,10,0.13657
151,20,0.0336447
152,15,0.15053
153,0,0.145548
154,0,0.1640334
155,35,0.1796004
156,35,0.1688184
157,40,0.1816439
158,30,0.1490409
159,35,0.1771856
160,20,0.1322152
161,5,0.0734647
162,40,0.3510565
163,40,0.1618628
164,30,0.1550965
165,5,0.2072814
166,15,0.1477776
167,5,0.1619243
168,15,0.1461397
169,30,0.1622954
170,10,0.116223
171,5,0.1216439
172,0,0.1550706
173,0,0.156144
174,25,0.1711693
175,5,0.1652747
176,25,0.0603983
177,10,0.1414458
178,15,0.1662136
179,15,0.1359917
180,0,0.2927707
