TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.332237
2,-25,0.21547542
3,-35,0.025132746
4,-5,0.163987299
5,5,0.386383854
6,-30,0.197585074
7,0,0.201026911
8,-40,0.137266837
9,-10,0.07623333
10,-10,0.184626364
11,-15,0.000877388999999999
12,5,0.076790471
13,-5,0.146489371
14,-30,0.040138806
15,10,0.318720361
16,10,0.088498625
17,0,0.224382059
18,-30,0.147253475
19,20,0.150322433
20,15,0.083921125
21,0,-0.027925379
22,30,0.178083398
23,15,0.173235555
24,-25,0.17438081
25,0,0.211332464
26,0,0.165168336
27,0,-0.018301184
28,0,0.02935393
29,25,0.076898159
30,25,0.199719802
31,-5,0.18027677
32,-15,0.066506488
33,15,0.244426498
34,-25,-0.023468585
35,30,0.184856047
36,20,0.346937644
37,0,0.144861149
38,40,-0.023697167
39,35,0.197112086
40,-35,0.039519877
41,5,0.070397215
42,20,0.367961644
43,-15,0.200874429
44,-40,0.160553317
45,5,0.222000712
46,10,0.183001349
47,25,0.274423977
48,20,0.233603622
49,10,0.134656268
50,-25,0.18105634
51,-15,0.044242208
52,5,0.190468509
53,20,0.176343724
54,35,0.229568078
55,40,0.150092629
56,-10,0.054330354
57,-30,0.370537895
58,40,0.181139368
59,30,0.075392079
60,35,0.19499952
61,-10,0.042408648
62,10,0.002690215
63,10,0.238524189
64,10,0.194681555
65,10,-0.002634025
66,15,0.092176743
67,35,0.249564054
68,-40,0.202089289
69,-5,0.20051345
70,0,0.205848232
71,25,0.179427488
72,-5,0.091880383
73,15,0.21980349
74,0,0.185590251
75,-35,0.223729296
76,-5,0.102927366
77,15,0.178429487
78,-20,0.294759001
79,-35,0.215208976
80,30,0.189816839
81,20,0.24648685
82,25,0.124119214
83,5,0.168938913
84,5,0.204555901
85,0,0.043469263
86,5,0.022903205
87,-30,0.137297816
88,-20,0.252166699
89,-15,0.248217424
90,40,0.190491547
91,15,0.10941781
92,40,-0.023528493
93,15,0.188643147
94,0,0.105786044
95,-20,-0.018924715
96,-25,0.015384424
97,-25,0.300919821
98,-40,0.113808866
99,35,0.169383057
100,-10,0.19592397
101,20,0.168964064
102,-35,0.032085608
103,-40,0.044948522
104,15,0.180349993
105,-25,0.154090869
106,20,0.330561712
107,-40,0.054293878
108,0,0.171534296
109,35,-0.010272973
110,-15,0.144459575
111,20,0.08701927
112,40,0.489719327
113,-20,0.173791636
114,25,0.175260189
115,40,0.147378487
116,25,0.276356101
117,-10,0.170836431
118,-40,0.225554443
119,-30,0.237944549
120,-10,-0.031758493
121,-25,0.198059206
122,-20,0.197852772
123,30,0.23016114
124,30,0.020571927
125,-35,0.132195507
126,25,0.02992244
127,40,0.189792998
128,10,0.060068957
129,-35,0.202726572
130,35,0.047680888
131,10,0.216190501
132,5,0.192960474
133,20,0.172012889
134,35,0.387617197
135,-15,0.260712135
136,-25,0.118229104
137,35,0.283795173
138,30,0.284398724
139,-20,0.318303025
140,40,0.166083463
141,0,0.234635598
142,-40,0.208611185
143,25,0.072209186
144,-20,0.066100995
145,-35,0.140953133
146,-10,0.273039049
147,-5,0.184727366
148,-5,0.08585083
149,0,0.358022182
150,-20,0.185527801
151,0,0.072789904
152,0,0.20954244
153,-10,0.070993961
154,5,0.124807495
155,15,0.283107236
156,-25,-0.035005277
157,-30,0.245652659
158,-5,0.222728442
159,-15,0.185758323
160,-20,0.171834124
161,-5,0.162664883
162,0,0.188623866
163,-40,0.196077908
164,-40,0.231469418
165,-15,0.194534718
166,0,0.164932794
167,-30,0.047800812
168,-15,0.122909089
169,35,0.102850353
170,-10,0.014801008
171,25,0.29406523
172,-35,0.207078712
173,-30,0.432572214
174,30,0.377901
175,40,0.14511587
176,-20,0.214873892
177,0,0.201787999
178,-30,0.198596342
179,30,0.320384253
180,-35,0.257965123
