TrialNumber,Eccentricity,ReactionTime_s_
1,15,0.873467726
2,35,0.375753932
3,20,0.281007021
4,-15,0.274826267
5,-15,0.21599643
6,40,0.415905461
7,-10,0.267699461
8,15,0.394043502
9,25,0.263375217
10,0,0.230430322
11,-30,0.237343499
12,-10,0.238548514
13,35,0.21567109
14,15,0.286851251
15,-25,0.269766473
16,25,0.281066941
17,-20,0.287156451
18,-15,0.274758703
19,-10,0.307345361
20,5,0.248805854
21,15,0.271666812
22,0,0.282735844
23,-25,0.399739601
24,10,0.275065671
25,30,0.255780626
26,5,0.222275708
27,-5,0.254215598
28,-25,0.295925347
29,35,0.251421329
30,10,0.316366102
31,-5,0.260706599
32,5,0.380734077
33,40,0.273686688
34,20,0.269132725
35,10,0.26300652
36,-25,0.316933863
37,15,0.242647705
38,-25,0.255299212
39,15,0.251979938
40,-35,0.250339601
41,5,0.269042256
42,-20,0.255147152
43,-35,0.282100992
44,0,0.240783883
45,-5,0.291533594
46,0,0.26205249
47,-40,0.236382797
48,10,0.294191901
49,-20,0.219106987
50,-20,0.291084247
51,-15,0.302479243
52,-5,0.278290861
53,-5,0.259818413
54,35,0.238932475
55,10,0.239923087
56,35,0.281823344
57,10,0.273217448
58,-30,0.283501092
59,40,0.26773605
60,-5,0.264386115
61,-30,0.269798199
62,30,0.273945007
63,30,0.270174421
64,-40,0.261553712
65,20,0.292950847
66,-5,0.252467255
67,-20,0.295497945
68,-30,0.254983301
69,25,0.280658547
70,25,0.284441177
71,35,0.4347836
72,30,0.266664375
73,35,0.273298876
74,40,0.224807213
75,0,0.0736735
76,-40,0.232036408
77,25,0.2487457
78,-30,0.248658737
79,-35,0.268394667
80,40,0.249417927
81,25,0.245398959
82,5,0.271922651
83,10,0.285229352
84,30,0.264910959
85,0,0.241327909
86,-30,-0.008588024
87,-25,0.233135405
88,-40,-0.044611884
89,-35,0.26823033
90,-30,0.304886499
91,-35,0.226733748
92,0,0.302762685
93,15,0.243721002
94,25,0.252056235
95,20,0.249269315
96,20,0.261156171
97,-10,0.252134122
98,30,0.305200018
99,-30,0.286808337
100,35,0.303917154
101,10,0.238561263
102,0,0.252791248
103,-10,0.349646571
104,0,0.271325771
105,0,0.257988405
106,15,0.279786069
107,30,0.392228703
108,-15,0.228509723
109,-10,0.240728133
110,-15,0.254629138
111,5,0.27971035
112,5,0.23080708
113,10,0.236743395
114,20,0.309307239
115,15,0.274901739
116,-20,0.270900679
117,-5,0.247838485
118,-10,0.252076699
119,-40,0.247211815
120,25,0.252302337
121,-15,0.255836272
122,-20,0.261892193
123,-40,0.250632768
124,5,0.299768112
125,-35,0.283146275
126,-15,0.259587216
127,-40,0.276467197
128,15,0.299412608
129,40,0.304602289
130,-5,0.280732564
131,30,0.270442334
132,0,0.267152155
133,0,0.255809268
134,-35,0.269332814
135,-5,0.256504686
136,0,0.268021345
137,-25,0.281283636
138,40,0.296806534
139,-10,0.276335951
140,-35,0.233184806
141,-15,0.251726217
142,0,0.240670754
143,40,0.28946105
144,-40,0.261394495
145,-20,0.311046352
146,-10,0.301903947
147,20,0.229025257
148,20,-0.011479847
149,-25,0.221981218
150,-40,0.235636343
151,-30,0.292535051
152,0,0.068788229
153,0,0.251833743
154,30,0.258566977
155,35,0.289332844
156,-25,0.229767389
157,-40,0.289909877
158,-25,0.255337172
159,-20,0.144621041
160,-10,0.170175474
161,5,0.260259092
162,-35,0.203692088
163,5,0.256446378
164,25,0.208433668
165,0,0.260241054
166,30,0.258734961
167,35,0.319605558
168,20,0.331744541
169,-35,0.249837205
170,10,0.201260632
171,40,0.35367495
172,-15,0.307451242
173,0,0.239426885
174,25,0.262968143
175,0,0.264880125
176,-30,0.255000555
177,20,0.241062517
178,-20,0.246687804
179,0,-0.041289592
180,40,0.232521371
