TrialNumber,Eccentricity,ReactionTime_s_
1,-5,0.3562736
2,-15,0.1685914
3,-25,0.2673786
4,-30,0.2076385
5,0,-0.0437819
6,-35,0.2785762
7,-5,0.234033
8,-30,0.1795367
9,-5,0.2016494
10,-40,0.3050703
11,-35,0.1893202
12,-30,0.2332941
13,0,0.1625888
14,-10,0.166181
15,-25,0.0676027
16,-10,0.2417059
17,-15,0.2212395
18,-40,0.0233505
19,-20,0.2684118
20,-40,0.2199375
21,-10,0.2028259
22,-30,-0.0229664
23,-25,0.334089
24,0,0.299955
25,-5,0.2040729
26,-20,0.260035
27,-25,0.2413885
28,-30,0.206979
29,-10,0.0117929
30,0,0.301605
31,-15,0.2442073
32,-40,0.2561954
33,-20,0.3294517
34,-40,0.2206612
35,-30,0.1733848
36,-10,0.1850864
37,-15,0.1737619
38,-40,0.1069885
39,0,0.1811047
40,-35,0.1739317
41,-35,0.175118
42,-5,0.2075327
43,-25,0.1717555
44,-15,0.1827475
45,-15,0.2218688
46,-30,0.1569057
47,-25,0.1859783
48,-35,0.1898546
49,-15,0.176873
50,-15,-0.0103441
51,-20,0.2455659
52,0,0.2242401
53,-35,0.1819176
54,-30,0.1917928
55,-15,0.1552079
56,-25,0.2724691
57,-5,0.3289572
58,0,0.3429906
59,-20,0.2536422
60,-5,0.101927
61,-10,0.2021303
62,-40,0.1798124
63,-25,0.240069
64,-20,0.1968863
65,0,0.1914329
66,-5,0.183116
67,-35,0.2080457
68,-35,0.2482116
69,0,0.2379928
70,-20,0.1838535
71,-40,0.2167581
72,-25,-0.0219302
73,-10,0.2548132
74,-25,0.1972816
75,-40,0.2486136
76,-10,0.2339965
77,-20,0.1622574
78,0,0.3565032
79,-30,0.1871912
80,-15,0.1649196
81,-35,0.3288058
82,-20,0.2318401
83,-10,0.1753148
84,-10,0.2253957
85,-40,0.1983185
86,-5,0.2075006
87,-20,0.1765425
88,-30,0.2105462
89,-35,0.2616393
90,-5,0.1987636
91,0,0.2447744
92,40,0.1913698
93,20,0.2304234
94,25,0.2690225
95,30,0.1991515
96,25,0.1657633
97,25,0.091411
98,15,0.1367151
99,40,0.0417949
100,20,0.2166016
101,10,0.146878
102,15,0.3931921
103,0,0.2937013
104,35,0.1865223
105,35,0.1810126
106,25,0.2104683
107,30,0.1853177
108,15,0.147316
109,35,0.2075386
110,0,0.0020696
111,15,0.1864722
112,5,0.1988125
113,25,0.2330932
114,35,0.15223
115,30,0.1745869
116,40,0.0356387
117,35,0.1770381
118,40,0.2268443
119,35,0.1969791
120,0,0.1764102
121,25,0.100167
122,35,0.1855608
123,20,0.2052703
124,0,0.031428
125,10,0.1949945
126,10,0.2136127
127,15,0.1721723
128,25,0.0630192
129,25,0.1922225
130,10,0.1534422
131,30,0.2084658
132,20,0.2110038
133,15,0.1301673
134,15,-0.0035184
135,5,0.2037221
136,5,0.2454636
137,20,0.1546378
138,0,0.2575166
139,10,0.1369693
140,10,0.1990743
141,20,0.0559044
142,5,0.2685533
143,40,0.1500553
144,0,0.2298528
145,40,0.1718922
146,40,0.2399986
147,5,0.1913049
148,30,0.1886861
149,35,0.3585337
150,30,0.1796933
151,40,0.0197641
152,35,0.1880326
153,30,0.1907226
154,0,0.158792
155,5,0.169394
156,40,0.1914674
157,5,0.2798839
158,15,0.1385075
159,25,0.1942033
160,20,0.2680346
161,15,0.2096886
162,30,0.1925616
163,20,0.2284409
164,10,0.0449702
165,30,0.2408047
166,30,0.2420986
167,5,0.198195
168,35,0.0984297
169,0,0.3003139
170,10,0.2243289
171,5,0.095013
172,40,0.3033944
173,10,0.1847629
174,10,0.1787866
175,20,0.1818971
176,5,0.2104875
177,25,0.1826506
178,0,0.1052665
179,20,0.3594609
180,15,0.1665161
