TrialNumber,Eccentricity,ReactionTime_s_
1,-5,0.2091593
2,0,0.2538189
3,-40,0.1722617
4,0,0.2244259
5,-35,0.1738023
6,-5,0.1757813
7,0,0.2406998
8,-15,0.2136311
9,-20,0.1867748
10,-35,0.2138755
11,-25,0.2510395
12,-15,0.1534299
13,-35,0.2044199
14,-5,0.2089593
15,-35,0.0524573
16,-20,0.196851
17,-10,0.1617005
18,-10,0.1630676
19,-35,0.1754698
20,-15,0.2474838
21,-40,0.1656752
22,-25,0.1776632
23,-35,0.216391
24,-40,0.192767
25,-15,0.1918465
26,-25,0.192032
27,-15,0.1929697
28,-40,0.1926548
29,-25,0.1947101
30,0,0.2266433
31,-40,0.1853251
32,-10,0.1847173
33,-5,0.1952251
34,-35,0.23777
35,-15,0.2143425
36,-30,0.2156863
37,-35,0.199371
38,0,0.2046252
39,-30,0.2155106
40,-40,0.2454561
41,-30,0.1892279
42,-5,0.2114953
43,-35,0.1909002
44,-20,0.2105015
45,-20,0.1972143
46,-10,0.1571923
47,-15,0.1677205
48,0,0.2891908
49,-25,0.2384601
50,-15,0.1950767
51,-20,0.215749
52,-40,0.1968174
53,-20,0.1967441
54,-30,0.1844933
55,-30,0.2155784
56,-10,0.1955886
57,-5,0.1794822
58,-40,0.1887238
59,-10,0.2150687
60,-5,0.1996077
61,-10,0.202064
62,-30,0.2074309
63,-40,0.2400398
64,-10,0.1834489
65,-25,0.1976512
66,-20,0.1896257
67,-20,0.1609578
68,-25,0.1628767
69,0,0.2107755
70,-20,0.1728637
71,-30,0.1732664
72,-25,0.1916155
73,-5,0.2165855
74,-15,0.191336
75,0,0.2521663
76,0,0.189257
77,0,0.1970091
78,-5,0.1787676
79,-15,0.2115852
80,-30,0.3131272
81,-30,0.2046683
82,-25,0.2289389
83,-35,0.2045903
84,-25,0.1560095
85,-10,0.2246088
86,-20,0.236881
87,-5,0.1969168
88,-40,0.188144
89,-30,0.2431216
90,-10,0.2208645
91,10,0.1586473
92,5,0.1577206
93,35,0.1528085
94,5,0.1393586
95,40,0.1148995
96,30,0.2063777
97,5,0.2190376
98,15,0.1708227
99,20,0.1787356
100,15,0.1675112
101,35,0.1802225
102,10,0.149292
103,15,0.1715118
104,40,0.138286
105,0,0.2471498
106,5,0.2300943
107,30,0.1922969
108,30,0.1745786
109,20,0.2223192
110,15,0.1805751
111,20,0.1801228
112,25,0.1897203
113,25,0.1889402
114,30,0.1819489
115,25,0.1694962
116,10,0.2678833
117,0,0.2368084
118,25,0.1736609
119,25,0.1770177
120,35,0.1956817
121,30,0.1751149
122,5,0.1822482
123,30,0.0309647
124,5,0.188566
125,20,0.1823628
126,10,0.1979047
127,25,0.2088651
128,25,0.1994967
129,25,0.1988041
130,10,0.2121175
131,35,0.2115095
132,20,0.1767823
133,35,0.1795717
134,20,0.1851574
135,35,0.2064086
136,10,0.1869883
137,30,0.1761582
138,20,0.1651103
139,0,0.288542
140,40,0.2069953
141,0,0.271234
142,40,0.1849173
143,40,0.2110503
144,35,0.2155806
145,5,0.273299
146,0,0.2444724
147,0,0.2458262
148,0,0.2422856
149,25,0.2115258
150,30,0.2469175
151,15,0.2032847
152,20,0.2090713
153,30,0.159644
154,40,0.2038008
155,20,0.2186046
156,15,0.1701517
157,15,0.1962189
158,15,0.2339183
159,20,0.2208805
160,30,0.1704738
161,10,0.1609174
162,5,0.192003
163,5,0.2079462
164,0,0.2410017
165,35,0.1534359
166,25,0.241646
167,35,0.1734053
168,40,0.2054659
169,10,0.227378
170,15,0.1810173
171,10,0.1785381
172,40,0.2088467
173,40,0.2109477
174,0,0.2305584
175,40,0.236401
176,35,0.2008307
177,15,0.1993418
178,5,0.1573788
179,10,0.1677977
180,0,0.2427549
