TrialNumber,Eccentricity,ReactionTime_s_
1,-20,0.222711357
2,-20,0.216622704
3,20,0.262240384
4,0,0.196065837
5,-25,0.236100056
6,-25,0.300968803
7,0,0.226386976
8,10,0.240522256
9,-5,0.314521841
10,-10,0.202805911
11,5,0.248196907
12,-40,0.311181377
13,-5,0.248857869
14,5,0.245988851
15,-15,0.262142583
16,15,0.231922909
17,25,0.222922966
18,5,0.315348952
19,-20,0.312578781
20,-35,0.332494647
21,35,0.260677141
22,10,0.314567542
23,20,0.276342596
24,-5,0.29163094
25,25,0.309417794
26,0,0.286442641
27,15,0.253939315
28,30,0.27509357
29,30,0.22733252
30,-25,0.304798236
31,-35,0.269244908
32,-10,0.211164659
33,-40,0.306880723
34,-30,0.329727351
35,30,0.180303694
36,-30,0.201618967
37,0,0.248692311
38,35,0.258032434
39,-25,0.26026891
40,30,0.222336549
41,-30,0.24944757
42,15,0.234457298
43,-40,0.265760938
44,-10,0.247373605
45,5,0.217672632
46,40,0.25785896
47,5,0.299509264
48,-20,0.288232859
49,-5,0.236690183
50,25,0.203609978
51,-25,0.293273254
52,-15,0.208165681
53,-10,0.319377072
54,-30,0.312502595
55,40,0.290615335
56,-35,0.30612419
57,40,0.284388127
58,30,0.311951924
59,10,0.223897805
60,-35,0.262296366
61,0,0.31870687
62,25,0.246154838
63,30,0.268682852
64,-15,0.265537441
65,-15,0.301896545
66,-30,0.270231784
67,-30,0.279771438
68,20,0.319271313
69,-25,0.189460166
70,20,0.315959209
71,35,0.236215094
72,0,0.318340119
73,35,0.281012666
74,20,0.225327537
75,25,0.26931448
76,-25,0.319560042
77,-40,0.19530941
78,30,0.253185351
79,-20,0.193209519
80,-15,0.249985841
81,10,0.206986242
82,0,0.20687942
83,30,0.296116858
84,-20,0.242189164
85,-35,0.216054338
86,-5,0.216931615
87,-15,0.233238489
88,25,0.310837263
89,0,0.21485765
90,20,0.213215062
91,-20,0.289448911
92,10,0.219830002
93,-10,0.28539881
94,30,0.25825293
95,-30,0.231443676
96,25,0.213195934
97,40,0.246467889
98,-15,0.298767018
99,15,0.205963216
100,0,0.297848134
101,10,0.287270251
102,-40,0.217557738
103,-5,0.259010595
104,0,0.300026429
105,-5,0.306907848
106,0,0.187454173
107,-10,0.298590472
108,-25,0.187175081
109,-40,0.22963612
110,35,0.213892763
111,0,0.214080241
112,40,0.200488163
113,25,0.218496057
114,35,0.321278778
115,15,0.229222861
116,20,0.211283335
117,20,0.229705155
118,15,0.297670047
119,-5,0.290972912
120,5,0.271243154
121,-35,0.224325814
122,15,0.284778835
123,-40,0.250509746
124,0,0.315700289
125,-20,0.304833607
126,5,0.22077823
127,5,0.259796643
128,-30,0.269329005
129,0,0.277090404
130,0,0.226379746
131,-15,0.234794623
132,40,0.296794956
133,-5,0.187591871
134,-10,0.224507334
135,20,0.273236267
136,10,0.268453001
137,-35,0.264968284
138,-35,0.22340907
139,-20,0.249553861
140,-35,0.294190914
141,25,0.276383669
142,40,0.317778203
143,-15,0.284783246
144,-40,0.280496862
145,40,0.242825521
146,35,0.292265866
147,-5,0.217030374
148,35,0.216829202
149,40,0.215667831
150,-30,0.226369595
151,0,0.304402323
152,35,0.227930902
153,-30,0.246448678
154,-20,0.250295486
155,5,0.261558143
156,25,0.316752612
157,-15,0.260648975
158,30,0.233231411
159,10,0.272283359
160,10,0.293138591
161,-10,0.305542921
162,10,0.257457136
163,0,0.217559875
164,-40,0.277156144
165,35,0.213410236
166,0,0.20934139
167,5,0.188978161
168,20,0.334452933
169,-10,0.284464099
170,-10,0.296976584
171,-35,0.238911134
172,0,0.202015531
173,15,0.311138977
174,-25,0.290471304
175,15,0.289490707
176,15,0.276283099
177,0,0.255049444
178,-25,0.262706326
179,-40,0.318073294
180,40,0.260296549
