TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.144906
2,-20,0.1486686
3,-40,0.1762464
4,0,0.1081594
5,-40,0.1525843
6,-25,0.1741542
7,-5,0.3684928
8,-10,0.1537664
9,-25,0.1630439
10,-35,0.1543794
11,-10,0.0836038
12,-30,0.1512937
13,-20,0.1421175
14,-35,0.152349
15,-35,0.1318876
16,-15,0.142115
17,-15,0.1386252
18,-15,0.1712305
19,-15,0.1932009
20,0,0.158124
21,-20,0.1623654
22,-25,0.1492622
23,0,0.1575689
24,-10,0.1113257
25,-20,0.131488
26,-40,0.1786576
27,-40,0.201586
28,-20,0.1456611
29,0,0.1566598
30,-10,0.1645243
31,-5,0.133306
32,-30,0.1601294
33,-10,0.1435435
34,-15,0.1762597
35,-5,0.1895165
36,0,0.150823
37,-25,0.1535283
38,-30,0.1574138
39,-15,0.1574468
40,-20,0.1831182
41,-30,0.167407
42,-25,0.1570063
43,-35,0.1482717
44,-40,0.1837888
45,-20,0.120999
46,-30,0.1371878
47,-35,0.1868864
48,-10,0.178517
49,-30,0.1474815
50,-30,0.1614374
51,-35,0.2056524
52,-15,0.1893675
53,-40,0.2210849
54,-40,0.2034059
55,-25,0.1521011
56,-40,0.1446841
57,-15,0.189649
58,-30,0.1640226
59,-25,0.1422559
60,-35,0.1653849
61,0,0.1724299
62,-25,0.1653673
63,-5,0.1697803
64,-40,0.1926679
65,-35,0.1866461
66,-35,0.1669704
67,-35,0.1748958
68,0,0.238384
69,-30,0.1686287
70,-10,0.1738203
71,0,0.1439301
72,-5,0.1322893
73,-15,0.1598902
74,-10,0.1489198
75,-5,0.1762523
76,-5,0.153791
77,-20,0.1108658
78,-20,0.1361432
79,-10,0.1518949
80,-5,0.1551389
81,-40,0.1824553
82,-30,0.1540065
83,-25,0.1449363
84,-5,0.0846955
85,-15,0.1730669
86,-25,0.158203
87,-20,0.1372857
88,0,0.1745825
89,-5,0.1486693
90,-10,0.1408336
91,25,0.1390804
92,10,0.1382368
93,40,0.1215749
94,25,0.1573722
95,40,0.1450828
96,35,0.1333892
97,35,0.0961595
98,0,0.0330379
99,5,0.1411597
100,10,0.1412559
101,35,0.1564179
102,25,0.1479418
103,40,0.2031957
104,25,0.1413598
105,5,0.1533011
106,40,0.1535554
107,20,0.1655315
108,20,0.1630319
109,0,0.1561918
110,20,0.1472173
111,5,0.1504134
112,15,0.1611248
113,5,0.1289898
114,25,0.1681983
115,40,0.1635626
116,15,0.1671109
117,20,0.1720375
118,40,0.1633501
119,15,0.1428663
120,20,0.1274854
121,5,0.1574255
122,30,0.1332354
123,35,0.1608939
124,30,0.1512147
125,15,0.1590385
126,10,0.1398558
127,0,0.1651776
128,25,0.1496964
129,30,0.1505444
130,35,0.1593127
131,40,0.1615446
132,35,0.1497371
133,15,-0.0267838
134,30,0.162258
135,40,0.1394718
136,20,0.1735338
137,35,0.1569006
138,25,0.1269455
139,30,0.1534602
140,0,0.1645132
141,5,0.143359
142,0,0.1817243
143,0,0.1200699
144,5,0.0393478
145,20,0.1568042
146,10,0.1748168
147,20,0.1429732
148,15,0.1838087
149,0,0.141398
150,40,0.1556924
151,20,0.1670987
152,35,0.2114777
153,5,0.163881
154,10,0.1685254
155,25,0.1949435
156,0,0.2393565
157,10,0.1440326
158,30,0.1803755
159,25,0.1966521
160,20,0.1615045
161,35,0.164032
162,25,0.1661716
163,15,0.152626
164,30,0.1665845
165,5,0.1611158
166,40,0.1613405
167,30,0.1641642
168,30,0.0038917
169,35,0.1751948
170,0,0.1821163
171,30,0.1467931
172,0,0.1293792
173,15,-0.0099203
174,15,0.1410688
175,10,0.1367938
176,15,0.0126492
177,10,0.1419925
178,10,0.0480624
179,10,0.1498639
180,5,0.1332855
