TrialNumber,Eccentricity,ReactionTime_s_
1,10,0.298957989
2,-5,-0.026010619
3,25,0.083069445
4,-15,0.203017491
5,30,0.211797438
6,0,-0.038279477
7,-30,0.118588192
8,40,0.20085665
9,40,0.307227931
10,35,0.246158982
11,-35,0.198635269
12,-20,0.183523515
13,0,0.183703732
14,-5,0.156806799
15,20,-0.031602343
16,-40,0.152529827
17,15,0.287479676
18,0,0.184817766
19,30,0.121738455
20,10,0.192392486
21,25,0.242503034
22,-35,0.261045287
23,0,0.218611215
24,20,0.294735642
25,10,0.143437267
26,15,0.07901928
27,-25,-0.024805494
28,-35,0.176954153
29,-30,0.08601979
30,-5,0.19621534
31,-40,0.05620743
32,20,0.044423677
33,-35,0.110299281
34,-15,0.254391917
35,-35,0.087280222
36,5,0.222863216
37,35,0.182752745
38,-30,0.216188994
39,0,0.095224349
40,-20,0.206428545
41,40,0.18255096
42,35,0.057327583
43,0,0.216962748
44,-25,0.304965949
45,-15,0.134197825
46,-40,-0.00200688
47,-35,0.133415197
48,20,0.164538702
49,-10,0.229991539
50,20,0.082545176
51,-5,0.240896808
52,-10,0.229992435
53,-5,0.216189252
54,35,0.196551622
55,30,0.021890848
56,-30,0.050664483
57,30,0.223537131
58,-15,-0.025647303
59,0,0.221686951
60,5,0.319648247
61,-25,0.204674733
62,30,0.112815449
63,0,0.198604515
64,-15,0.336040573
65,0,0.122974844
66,-40,0.144238479
67,0,0.270475994
68,10,0.286767795
69,20,0.330005718
70,35,0.044797518
71,20,0.323562926
72,-40,0.238506167
73,30,0.027557556
74,-5,0.185616007
75,-40,0.302456772
76,15,0.056314601
77,30,0.341758069
78,10,0.238263678
79,-40,0.223483731
80,15,0.107667107
81,-20,0.23594463
82,10,0.072117625
83,-10,0.232269002
84,40,0.250346269
85,25,0.314334584
86,0,0.051720157
87,-10,0.210916869
88,-20,0.295348949
89,-25,0.205758132
90,25,0.029830027
91,35,0.250894898
92,0,0.115569284
93,40,0.260522797
94,5,0.181874752
95,20,0.097303566
96,5,0.167890411
97,-30,0.12807707
98,-30,0.34610834
99,35,0.227907829
100,-10,0.121411846
101,0,0.044395675
102,0,0.247269584
103,15,0.198673099
104,15,0.191159257
105,-40,0.227633867
106,-15,0.095039157
107,5,0.220948076
108,5,0.165188937
109,40,0.21417356
110,-10,0.147605423
111,-25,0.181695065
112,25,0.212012506
113,0,0.164927801
114,5,0.185101356
115,25,0.199206502
116,-20,-0.020041015
117,-5,0.184607736
118,-15,0.091071477
119,25,0.116482784
120,10,0.28566999
121,15,0.191314979
122,-35,0.319792923
123,-30,0.200560648
124,5,0.21488046
125,-20,0.19972936
126,-20,0.064783207
127,5,0.188770154
128,25,0.146098009
129,25,0.031852832
130,30,0.226051016
131,-10,0.155464989
132,-5,0.165791685
133,-15,0.433042234
134,-25,0.099346841
135,-35,0.18459376
136,-20,0.051120566
137,-25,0.078385022
138,-25,0.188708019
139,40,0.337561702
140,20,0.10493378
141,15,0.162018127
142,0,0.076355439
143,25,0.325680871
144,-5,0.224438296
145,-40,0.166267172
146,-15,0.180659387
147,-30,0.326230184
148,30,0.229340787
149,30,0.214839486
150,40,0.02467094
151,10,0.231676764
152,15,0.102388583
153,10,0.218191869
154,-20,0.244610995
155,-10,0.191603418
156,10,0.072220809
157,0,0.20317348
158,-25,0.027425277
159,-10,0.186596894
160,-30,0.189788475
161,20,0.206669683
162,0,0.207847237
163,35,0.17025312
164,35,0.233232927
165,5,0.224516247
166,-35,0.133837295
167,0,0.127074073
168,15,0.238066012
169,-10,0.194547457
170,-40,0.184821289
171,40,0.199863533
172,-35,0.235201089
173,-30,0.154575906
174,-25,0.221868372
175,35,0.190339698
176,0,0.191683126
177,-20,0.167175201
178,-5,0.099714146
179,-15,0.167602031
180,40,0.070248674
