TrialNumber,Eccentricity,ReactionTime_s_
1,-15,0.350789221
2,15,0.392252076
3,5,0.308496124
4,0,0.201915867
5,-35,0.253740081
6,-20,0.239461939
7,-15,0.294906134
8,25,0.239549364
9,0,0.218827565
10,-25,0.274767433
11,15,0.228160659
12,-5,0.268122574
13,-35,0.269731825
14,5,0.347603366
15,40,0.330669514
16,-40,0.282711253
17,30,0.289861566
18,-35,0.258974141
19,-30,0.245295794
20,-5,0.211374619
21,20,0.243932654
22,-35,0.26220693
23,-20,0.233615665
24,0,0.24626587
25,0,0.21752615
26,-20,0.304623233
27,25,0.307298921
28,15,0.249948042
29,-35,0.23354272
30,-5,0.106380709
31,30,0.18893813
32,-10,0.278210838
33,-20,0.335226419
34,-25,0.437516493
35,35,0.26569187
36,10,0.439473417
37,-10,0.389057759
38,30,0.239652689
39,-35,0.451597987
40,5,0.214914822
41,-5,0.231608503
42,-25,0.226417067
43,40,0.482737354
44,15,0.230154011
45,40,0.268304404
46,-5,0.200780184
47,25,0.256476674
48,0,0.27053118
49,20,0.119441106
50,-10,0.223856903
51,25,0.243322454
52,-40,0.320111235
53,40,0.608035376
54,-40,0.292527758
55,-15,0.520172693
56,25,0.470226019
57,40,0.427814342
58,40,0.322334352
59,-10,-0.006688004
60,20,0.28174919
61,35,0.236292995
62,-25,0.24088749
63,10,0.220291462
64,-35,0.063039938
65,0,0.161363429
66,10,0.258536277
67,10,0.272472715
68,20,0.278145227
69,5,0.247093908
70,-40,0.333670948
71,-15,0.251850948
72,5,0.220005833
73,35,0.258830548
74,-15,0.260471354
75,10,0.189036068
76,-30,0.222139948
77,-30,0.202196221
78,-25,0.281181509
79,-5,0.213108874
80,25,0.240028399
81,-30,0.213695347
82,40,0.258516069
83,0,0.258543781
84,-25,0.29213212
85,20,-0.034845679
86,-15,0.261851513
87,20,0.255085631
88,25,0.253555341
89,20,0.207729759
90,15,0.286232159
91,0,0.29416607
92,-40,0.315729065
93,30,0.269891228
94,-20,0.078822966
95,10,0.298223605
96,40,0.247385778
97,5,0.22284262
98,-30,0.2909629
99,-15,0.203232034
100,35,0.188979416
101,15,0.247139563
102,0,0.268772648
103,-35,0.341060176
104,30,0.21085241
105,-20,0.406952814
106,35,0.157648756
107,-10,0.229017319
108,35,0.25179393
109,-20,0.274110694
110,-20,0.247937699
111,-40,0.369231008
112,20,0.293559746
113,-15,0.292260725
114,-40,0.417787684
115,0,0.364674792
116,-30,0.230349687
117,5,0.248923849
118,-30,0.405744803
119,-10,0.228933396
120,-25,0.304513854
121,-15,0.259337992
122,0,0.223420026
123,-15,0.240342628
124,30,0.340918056
125,-30,0.171166287
126,5,0.117770154
127,30,0.197798783
128,15,0.238692919
129,-25,0.165264281
130,25,0.137919571
131,0,0.135649999
132,35,0.190336459
133,30,0.313339657
134,-5,0.278319014
135,35,0.286231274
136,-5,0.273011039
137,40,0.307646056
138,0,0.255802815
139,-30,0.26029565
140,0,0.215046746
141,-10,0.279483725
142,-5,0.310607617
143,40,0.255678563
144,0,0.361484351
145,-10,0.339398096
146,20,0.198190578
147,-30,0.280546217
148,0,0.40428124
149,0,0.231377921
150,10,0.240543241
151,-35,0.233488655
152,35,0.167788106
153,0,0.243109142
154,30,0.237617988
155,-20,0.312291774
156,-25,0.363931981
157,30,-0.018234657
158,-40,0.268967996
159,15,0.228565321
160,15,0.233460684
161,10,0.120174862
162,20,0.229114913
163,-10,0.252913072
164,5,0.235603775
165,25,0.0664727
166,-20,0.099091474
167,10,0.251287453
168,0,0.029688673
169,10,0.091093691
170,5,0.224515254
171,-10,0.255458064
172,-40,0.312779637
173,25,0.29770014
174,-5,0.020851098
175,0,0.254135576
176,35,0.232644967
177,-35,0.255348866
178,15,0.242212401
179,-25,0.180305825
180,-40,0.420518053
