TrialNumber,Eccentricity,ReactionTime_s_
1,5,0.2473385
2,35,0.1772402
3,35,0.2678269
4,30,0.3060484
5,25,0.2303263
6,25,0.2281188
7,30,0.2171909
8,0,0.3485557
9,40,0.1938092
10,10,0.2979249
11,40,0.1747677
12,35,0.2088124
13,15,0.1995334
14,10,0.2385186
15,35,0.2517703
16,40,0.2299788
17,15,0.2045836
18,25,0.1835213
19,30,0.2334591
20,25,0.2568514
21,15,0.1960776
22,0,0.2724772
23,15,0.2005984
24,25,0.1870923
25,30,0.2194269
26,20,0.2247899
27,20,0.2474074
28,25,0.2329171
29,0,0.3269178
30,25,0.2783956
31,0,0.3625714
32,0,0.3247422
33,25,0.2607912
34,20,0.2349861
35,5,0.0633881
36,5,0.2581043
37,20,0.2250956
38,40,0.2654128
39,30,0.2450887
40,5,0.3401917
41,35,0.2204193
42,20,0.2716725
43,10,0.1984212
44,25,0.2404367
45,5,0.0176302
46,0,0.2722516
47,35,0.2483072
48,20,0.3491512
49,5,0.2351166
50,10,0.2201193
51,30,0.2575068
52,35,0.2650624
53,15,0.2226715
54,30,0.1239614
55,40,0.2621333
56,0,0.3307231
57,5,0.3051353
58,10,0.3009044
59,30,0.3035517
60,5,0.1942489
61,20,0.2454056
62,40,0.1906997
63,40,0.3025378
64,5,0.2178199
65,15,0.2781446
66,40,0.1754673
67,40,0.292621
68,35,0.2805186
69,25,0.2043607
70,20,0.2445037
71,0,0.2454464
72,30,0.1872976
73,15,0.2802319
74,0,0.2159204
75,10,0.2209635
76,35,0.2280799
77,20,0.1922682
78,30,0.2477619
79,20,0.377383
80,15,0.2540457
81,5,0.2183563
82,0,0.2125124
83,10,0.1212168
84,10,0.2125623
85,40,0.2238611
86,10,0.3394747
87,15,0.2268825
88,10,0.1868157
89,15,0.2152917
90,35,0.3655368
91,-5,0.2740015
92,-10,0.213309
93,-35,0.2166109
94,0,0.243706
95,-15,0.2603059
96,-10,0.2381342
97,-40,0.2527
98,-5,0.1882328
99,-30,0.2283793
100,-35,0.2087081
101,-25,0.1929035
102,-5,0.2200384
103,-35,0.1813743
104,-15,0.2389742
105,-10,0.1980221
106,0,0.0664833
107,-5,0.2950132
108,-15,0.1786741
109,-5,0.1917461
110,-10,0.1826485
111,-20,-0.0052544
112,-10,0.1568401
113,0,0.1977381
114,0,0.2640598
115,-30,0.16161
116,-20,0.2297701
117,-35,0.1776805
118,-35,0.1645357
119,-20,0.2293152
120,-15,0.1856908
121,-10,0.151525
122,-20,0.4582333
123,-40,0.2100785
124,-25,0.2396485
125,-35,0.2950395
126,-15,0.2594488
127,-30,0.186101
128,-30,0.3263603
129,-40,0.3217404
130,-5,0.2026225
131,-35,0.1795479
132,-40,0.2792998
133,-10,0.2351776
134,-30,0.2398087
135,-35,0.2503421
136,-15,0.2217989
137,-25,0.3129106
138,-5,0.2195313
139,-40,0.1557164
140,0,0.2821115
141,-40,0.1895839
142,0,0.2711844
143,-30,0.2228993
144,-30,0.2396219
145,-35,0.2266206
146,-20,-0.0085109
147,-5,0.2194496
148,-5,0.1912851
149,-10,0.1648237
150,-25,-0.0010928
151,-20,0.2145261
152,-15,0.2151679
153,-10,-0.0433484
154,-25,0.2009192
155,-20,0.2761707
156,-20,0.2110994
157,-40,0.2235872
158,-30,0.3538245
159,-40,0.2435507
160,0,0.2671783
161,-15,0.1748326
162,0,0.0980254
163,-15,0.1933857
164,-25,0.1831907
165,-30,0.4734736
166,-10,0.2565383
167,-5,0.1779521
168,-20,0.2857541
169,-25,0.1507898
170,-35,0.3196579
171,-15,0.229617
172,0,0.2198182
173,-25,0.202585
174,-20,0.225685
175,-30,0.165668
176,0,0.2883309
177,-40,0.1832055
178,-25,0.2371474
179,-25,0.2090301
180,-40,0.3707155
