TrialNumber,Eccentricity,ReactionTime_s_
1,-35,0.587678903
2,0,0.370575956
3,-5,0.384820305
4,-10,0.344025994
5,-10,0.414556971
6,-25,0.340027873
7,-15,0.446448182
8,-10,0.365593034
9,-20,0.331837141
10,-25,0.498001541
11,-35,0.479577764
12,-15,0.641483292
13,-20,0.406340739
14,-25,0.377704998
15,-40,0.414673713
16,-35,0.505865191
17,-40,0.544868323
18,-40,0.570002078
19,-35,0.48888634
20,-15,0.59924357
21,0,0.412290917
22,-25,0.40732111
23,-30,0.471777045
24,-35,0.448359092
25,-20,0.424679444
26,-40,0.479727489
27,0,0.340793262
28,0,0.285237784
29,-30,0.41209755
30,-25,0.470033153
31,-30,0.417622609
32,-35,0.450723814
33,-5,0.288870979
34,-20,0.323824687
35,-40,0.508733651
36,-10,0.569607259
37,-20,0.358085747
38,-5,0.381835137
39,-35,0.410895262
40,-25,0.346633387
41,-20,0.411654516
42,-15,0.348928855
43,-5,0.475809139
44,-10,0.404172576
45,-15,0.358467315
46,-30,0.360257864
47,-5,0.314848659
48,-10,0.28620924
49,-30,0.416689432
50,0,0.337195241
51,-25,0.4670142
52,-40,0.59581795
53,-40,0.599574615
54,-40,0.449018019
55,-5,0.396963908
56,-25,0.419240879
57,-20,0.408685862
58,0,0.358286844
59,-15,0.391928825
60,-5,0.400476934
61,-40,0.53991319
62,-35,0.446186122
63,-15,0.347436668
64,0,0.436875158
65,-40,0.376970024
66,-5,0.464358878
67,-10,0.444107236
68,-30,0.507614879
69,-20,0.358616876
70,-10,0.395832738
71,-10,0.383536354
72,-30,0.486346591
73,-20,0.390985705
74,-35,0.489948197
75,-10,0.393700478
76,-5,0.345384763
77,-35,0.461708326
78,-15,0.53386595
79,0,0.573272564
80,-30,0.447249613
81,-25,0.438075642
82,-30,0.537752316
83,-30,0.536150773
84,-15,0.429162093
85,-20,0.431264347
86,-5,0.403013989
87,0,0.384116954
88,-25,0.395082575
89,-15,0.508047767
90,0,0.262556314
91,35,0.474306179
92,40,0.427038363
93,30,0.616225617
94,10,0.41865737
95,15,0.3450491
96,20,0.343174247
97,15,0.40371498
98,40,0.462680436
99,35,0.579980039
100,15,0.47294956
101,15,0.327961119
102,20,0.447551981
103,5,0.423231954
104,10,0.367884605
105,10,0.30194656
106,0,0.308004062
107,20,0.554712655
108,0,0.346167972
109,35,0.400533732
110,15,0.395384905
111,20,0.345502532
112,0,0.31645414
113,35,0.44827257
114,40,0.537684025
115,25,0.364816036
116,30,0.440920931
117,5,0.355300973
118,30,0.447186458
119,25,0.60806697
120,25,0.409761272
121,0,0.401167332
122,5,0.390372446
123,35,0.600147207
124,35,0.329364917
125,10,0.374611623
126,40,0.427742022
127,10,0.304205119
128,0,0.357006088
129,40,0.439279645
130,5,0.373444822
131,0,0.467844125
132,30,0.481070138
133,30,0.329369564
134,35,0.525635255
135,20,0.405648223
136,25,0.348408223
137,40,0.533840413
138,20,0.423663875
139,15,0.435406706
140,35,0.86198965
141,30,0.316458684
142,5,0.349328467
143,30,0.370280552
144,10,0.349997185
145,25,0.380554742
146,40,0.447521338
147,30,0.368290274
148,20,0.306165423
149,35,0.403410633
150,5,0.350734478
151,20,0.361902421
152,30,0.431097326
153,40,0.620167572
154,5,0.349457236
155,25,0.404823642
156,10,0.36803711
157,15,0.284931771
158,15,0.325724815
159,5,0.314973815
160,15,0.311583702
161,35,0.361933933
162,25,0.44323216
163,40,0.598336883
164,0,0.385005227
165,20,0.398866756
166,30,0.368942826
167,10,0.315921938
168,5,0.325317035
169,0,0.292387994
170,10,0.328142811
171,0,0.262681102
172,25,0.315799066
173,20,0.279851246
174,10,0.498568017
175,40,0.630332059
176,25,0.409162499
177,0,0.328362433
178,15,0.412617585
179,25,0.439647175
180,5,0.462495792
