TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.560436232
2,-20,0.440695363
3,-40,0.740625233
4,-15,0.546258316
5,5,0.394304211
6,-35,0.687024542
7,-15,0.412815421
8,-10,0.504826959
9,30,0.657192318
10,-30,0.626617354
11,20,0.539574142
12,-25,0.594574362
13,15,0.56463389
14,10,0.647878939
15,-30,0.494099548
16,30,0.401180871
17,0,0.491279598
18,-10,0.417343996
19,15,0.585173185
20,-30,0.694921482
21,10,0.586807394
22,35,0.612144651
23,-15,0.52882078
24,-25,0.591157027
25,10,0.449035556
26,-35,0.595858122
27,-25,0.63662906
28,0,0.434015735
29,-10,0.509559729
30,-20,0.574863659
31,-25,0.664885685
32,-20,0.591960028
33,10,0.354714183
34,5,0.371320411
35,30,0.539212613
36,-35,0.668564741
37,-15,0.527479096
38,20,0.545027411
39,30,0.616862157
40,20,0.637809271
41,-20,0.45785415
42,0,0.361143642
43,25,0.567333571
44,0,0.409954859
45,0,0.542637503
46,-10,0.557698786
47,35,0.502972719
48,-35,0.526984891
49,-5,0.555639639
50,0,0.379065447
51,20,0.331523093
52,40,0.759765181
53,25,0.509939177
54,-15,0.413569699
55,-35,0.675128199
56,-10,0.412003777
57,-30,0.43201909
58,-5,0.412099323
59,5,0.431646702
60,30,0.540856219
61,0,0.370204078
62,15,0.548801612
63,-5,0.388245619
64,-15,0.54090887
65,5,0.55317879
66,20,0.639024162
67,-25,0.533385485
68,0,0.554563357
69,25,0.624808517
70,-40,0.641994057
71,35,0.777917659
72,10,0.403621473
73,-40,0.636466652
74,0,0.369016464
75,10,0.470422416
76,-10,0.413909585
77,5,0.550072964
78,-35,0.640388339
79,10,0.420901741
80,30,0.485763539
81,-25,0.461749181
82,-30,0.519287178
83,5,0.366264897
84,0,0.385506028
85,30,0.564297023
86,5,0.417718863
87,25,0.464958296
88,-35,0.571284903
89,15,0.546879221
90,15,0.470749598
91,20,0.33152275
92,-20,0.516939396
93,30,0.612433689
94,-15,0.5117827
95,0,0.371562667
96,15,0.334412846
97,25,0.547224769
98,35,0.709118758
99,0,0.545099097
100,-30,0.48027467
101,-40,0.431125488
102,-20,0.383814418
103,25,0.395490856
104,-25,0.450176819
105,-35,0.539231565
106,-15,0.484836465
107,10,0.389296149
108,-5,0.419488682
109,30,0.590370162
110,-35,0.664815175
111,15,0.49042456
112,-35,0.479634918
113,-30,0.690927047
114,0,0.335394301
115,25,0.651363057
116,35,0.507739985
117,30,0.710826796
118,-20,0.494962634
119,20,0.47151815
120,15,0.375103768
121,-25,0.390807499
122,-5,0.532334692
123,35,0.736129908
124,-20,0.614351578
125,25,0.505909936
126,5,0.375921573
127,40,0.760689348
128,35,0.490618464
129,-25,0.51939336
130,-10,0.553460616
131,-20,0.401141539
132,-10,0.501965442
133,10,0.433013573
134,20,0.494213027
135,35,0.537772744
136,5,0.46129503
137,-25,0.600025722
138,-5,0.387322933
139,5,0.382824569
140,20,0.522093706
141,15,0.510466631
142,-5,0.389111324
143,15,0.435894618
144,40,0.673384101
145,0,0.48724023
146,-5,0.476239384
147,-30,0.620463533
148,0,0.154180244
149,-30,0.650048346
150,25,0.700951041
151,0,0.297936783
152,-30,0.511005468
153,0,0.361547145
154,10,0.468698164
155,-20,0.544995131
156,25,0.506835835
157,35,0.640277011
158,-15,0.454149902
159,-5,0.386671442
160,0,0.334880656
161,-10,0.389386112
162,-40,0.71690491
163,-40,0.564606698
164,40,0.632695021
165,40,0.667702818
166,0,0.388430463
167,35,0.521727083
168,40,0.482010079
169,40,0.487599905
170,40,0.615059273
171,20,0.547270522
172,40,0.580523602
173,-10,0.431450549
174,-40,0.513330623
175,-15,0.468664068
176,-5,0.370380093
177,-40,0.692611566
178,-40,0.681285384
179,-40,0.696041435
180,40,0.649077377
