TrialNumber,Eccentricity,ReactionTime_s_
1,-35,0.737545922
2,-5,0.538354773
3,-40,0.743484467
4,-30,0.59781214
5,-40,0.496850061
6,-25,0.580733455
7,0,0.688101302
8,-40,0.840073865
9,-30,0.562251663
10,-5,0.497628465
11,-5,0.554596689
12,0,0.311205406
13,-25,0.617033373
14,-15,0.322123776
15,-35,0.546828721
16,-40,0.58680615
17,-10,0.3823583
18,-35,0.744419464
19,-15,0.315258588
20,-35,0.543146305
21,-10,0.375040318
22,0,0.39018158
23,-10,0.290983259
24,0,0.452528264
25,-15,0.422685069
26,-15,0.379816411
27,0,0.258649624
28,-5,0.316715676
29,0,0.387903208
30,-10,0.450369485
31,-25,0.742044328
32,-40,1.14337994
33,-30,0.754312555
34,-20,0.735773824
35,-35,0.550823498
36,-15,0.495130492
37,-25,0.503629992
38,-35,0.876683929
39,-25,1.104985556
40,-10,0.656658475
41,-20,0.572119095
42,-20,0.479961569
43,-25,0.743687321
44,-5,0.56721562
45,-30,1.119971219
46,-15,0.406260117
47,-30,0.729571265
48,-20,1.202229747
49,0,0.40299032
50,-10,0.470221214
51,-25,0.477722988
52,-35,0.870383498
53,-20,0.476613517
54,-40,0.67620405
55,-10,0.402755995
56,-40,1.174373233
57,-5,0.376814882
58,-5,0.450200196
59,-25,0.551442516
60,-25,0.755376039
61,-10,0.669742025
62,-20,0.444825272
63,-35,0.751360021
64,-15,0.659117951
65,-30,0.615596708
66,-5,0.438482106
67,-20,0.608439698
68,-15,0.567154278
69,-30,0.921904089
70,-10,0.52768931
71,-40,0.930266399
72,0,0.35170534
73,-30,0.653760746
74,-10,0.446299777
75,0,0.443911895
76,-25,0.460731836
77,-30,0.652587589
78,0,0.378325699
79,-20,0.428093066
80,-40,0.806127907
81,-5,0.524918745
82,-35,0.5343175
83,-40,0.899086449
84,-15,0.420431082
85,-20,0.537106306
86,-35,0.749244757
87,-20,0.404718143
88,-30,0.591206929
89,-15,0.412718991
90,-5,0.393722714
91,5,0.609756095
92,10,0.464956578
93,15,0.513037439
94,30,0.551229939
95,35,0.369826592
96,15,0.388618608
97,20,0.475485597
98,5,0.358493591
99,5,0.382454479
100,35,0.670359598
101,10,0.445540508
102,30,0.35232258
103,30,0.394789633
104,0,0.320048382
105,25,0.51371661
106,30,0.487036244
107,30,0.399359572
108,15,0.512289268
109,35,0.369525168
110,25,0.521226931
111,25,0.293087221
112,40,0.456633092
113,25,0.337923629
114,35,0.469381046
115,40,0.282280595
116,40,0.585320045
117,20,0.427187845
118,5,0.384721644
119,30,0.553883158
120,40,0.534446147
121,15,0.558212904
122,20,0.50664618
123,20,0.48329849
124,0,0.372728447
125,35,0.681060189
126,20,0.438509298
127,0,0.340211941
128,40,1.012644918
129,25,0.874755572
130,20,0.642117834
131,25,0.483016613
132,30,0.513700172
133,35,0.557823845
134,20,0.547672303
135,35,0.650949473
136,35,0.474894949
137,10,0.527331491
138,0,0.449970703
139,15,0.411325468
140,0,0.414850309
141,35,0.557796862
142,30,0.481707683
143,5,0.539997706
144,5,0.438751141
145,10,0.546383537
146,0,0.352269063
147,0,0.559169024
148,15,0.923511211
149,25,0.427359113
150,10,0.472682713
151,40,0.698708303
152,40,0.530818727
153,35,0.50898843
154,20,0.460803851
155,15,0.496053406
156,10,0.514688742
157,20,0.407117544
158,5,0.45243653
159,0,0.391483125
160,0,0.517205349
161,0,0.434625467
162,40,0.645802987
163,15,0.477382648
164,30,0.523878499
165,30,0.437222739
166,5,0.467646923
167,40,0.602495802
168,5,0.550484822
169,10,0.592103086
170,10,0.500037686
171,40,0.734006071
172,25,0.611182092
173,10,0.437242736
174,5,1.015689731
175,10,0.476834738
176,15,0.28997272
177,15,0.259451159
178,20,0.381859461
179,25,0.333188856
180,25,0.474121986
