TrialNumber,Eccentricity,ReactionTime_s_
1,-10,0.5575324
2,15,0.3701187
3,20,0.3745445
4,5,0.3689443
5,5,0.3963989
6,0,0.4115237
7,-35,0.4844857
8,-5,0.3689714
9,-5,0.3797111
10,-40,0.5215545
11,30,0.6470915
12,25,0.4402382
13,20,0.4733787
14,-20,0.5629087
15,5,0.4572872
16,35,0.7417251
17,-15,0.4285785
18,0,0.4930859
19,20,0.5368984
20,30,0.5088298
21,-25,0.4328651
22,25,0.5971608
23,-15,0.5471453
24,-35,0.5408552
25,-40,0.7617626
26,10,0.5220518
27,-25,0.5421719
28,40,0.4638521
29,-20,0.591522
30,10,0.3889631
31,5,0.4683244
32,20,0.451888
33,30,0.4977736
34,-25,0.4379991
35,25,0.4416382
36,-25,0.5592741
37,5,0.4864387
38,20,0.568006
39,20,0.3842454
40,-10,0.3854396
41,10,0.4345037
42,-10,0.431519
43,40,0.4589314
44,-20,0.3979015
45,25,0.3621044
46,40,1.0268867
47,-15,0.505275
48,-5,0.5202926
49,-20,0.4010312
50,-25,0.429193
51,-5,0.4553045
52,25,0.4393591
53,30,0.5090563
54,5,0.3522881
55,-35,0.4357776
56,0,0.6014202
57,0,0.380339
58,10,0.4177128
59,-30,0.5718173
60,-40,0.4641689
61,-15,0.401825
62,15,0.4351111
63,0,0.5586235
64,0,0.345915
65,-25,0.4874743
66,-35,0.4273711
67,-15,0.5407874
68,10,0.6161051
69,-35,0.7680656
70,30,0.4856848
71,-40,0.5007144
72,0,0.5249298
73,30,0.6621212
74,40,0.4613585
75,20,0.4419163
76,-40,0.5280768
77,-5,0.444517
78,-15,0.5468036
79,40,0.4842883
80,40,0.6229967
81,25,0.5081594
82,-30,0.4590603
83,5,0.3573688
84,-20,0.4066823
85,15,0.3856953
86,-5,0.4497492
87,-40,0.6409583
88,20,0.5482652
89,-10,0.411147
90,-40,0.3560849
91,10,0.3792403
92,-20,0.4350599
93,15,0.369673
94,-30,0.5735129
95,-25,0.4439137
96,-25,0.7182076
97,-10,0.4224027
98,30,0.3407947
99,35,0.4857352
100,35,0.4573379
101,-35,0.3696322
102,-30,0.4043413
103,-5,0.4361287
104,-30,0.6239272
105,0,0.4524944
106,35,0.4462989
107,35,0.3798386
108,-15,0.4539581
109,-10,0.3255639
110,-10,0.3638856
111,35,0.4740891
112,15,0.4851697
113,0,0.4637435
114,40,0.4927232
115,40,0.4076683
116,-20,0.5300396
117,0,0.4372682
118,10,0.4439505
119,-35,0.9178688
120,-25,0.5709579
121,25,0.3991049
122,0,0.4298418
123,35,0.4334253
124,-15,0.4936966
125,0,0.3931635
126,-5,0.4855534
127,15,0.4385987
128,-30,0.3476575
129,15,0.2992532
130,15,0.353164
131,-35,0.5517148
132,10,0.4243351
133,-10,0.3581333
134,-10,0.3493448
135,40,0.3199973
136,5,0.6711176
137,-40,0.6273401
138,0,0.4543308
139,15,0.3631695
140,0,0.3460053
141,-20,0.5375374
142,-20,0.3657818
143,-40,0.4951571
144,0,0.4387675
145,-30,0.5143646
146,-15,0.4710827
147,-30,0.4060345
148,-35,0.5061639
149,0,0.3470372
150,35,0.5718914
151,35,0.5980154
152,0,0.3534099
153,35,0.5666109
154,25,0.4423772
155,-40,0.476362
156,30,0.3526552
157,0,0.4687184
158,-10,0.4936324
159,25,0.5018279
160,5,0.3898549
161,40,0.4698378
162,-5,0.5922055
163,-15,0.445775
164,0,0.4264819
165,20,0.4196017
166,-35,0.5830087
167,-25,0.4707147
168,30,0.4759242
169,10,0.4815838
170,15,0.509623
171,0,0.4374655
172,30,0.4732968
173,10,0.5118962
174,5,0.4213335
175,-5,0.4353762
176,20,0.5341253
177,-30,0.5602792
178,25,0.4946634
179,-20,0.460017
180,-30,0.4027516
