TrialNumber,Eccentricity,ReactionTime_s_
1,-25,0.352267455
2,0,0.270093148
3,-35,0.351249672
4,25,0.277719611
5,0,0.356801881
6,-30,0.434160152
7,-15,0.35118852
8,15,0.384664894
9,0,0.387603848
10,0,0.306755162
11,40,0.333669467
12,30,0.425445034
13,5,0.419426921
14,20,0.381401675
15,-40,0.409071581
16,30,0.436135987
17,35,0.595211463
18,25,0.474998537
19,30,0.495591746
20,35,0.535225428
21,10,0.339396845
22,40,0.463248053
23,-30,0.519440846
24,-10,0.372964496
25,-10,0.375811903
26,10,0.514212599
27,0,0.252492035
28,-35,0.420121893
29,-40,0.444594557
30,25,0.396352416
31,0,0.343780132
32,10,0.359775214
33,40,0.408968013
34,-40,0.219119213
35,-40,0.248271031
36,35,0.404568443
37,-35,0.310458887
38,5,0.396921509
39,15,0.344463616
40,30,0.421189158
41,40,0.498550736
42,-35,0.408094588
43,-40,0.427022832
44,20,0.389299098
45,-15,0.450723646
46,20,0.404905745
47,-10,0.427795183
48,-35,0.447313807
49,10,0.377173039
50,0,0.389640253
51,-25,0.35718515
52,-20,0.568079277
53,-10,0.369142365
54,-30,0.469834298
55,35,0.187478356
56,-30,0.514296125
57,-5,0.079769903
58,-10,0.371793619
59,-5,0.384107362
60,-15,0.414700612
61,-30,0.519103267
62,-10,0.349862691
63,35,0.346860377
64,15,0.338242578
65,5,0.413371945
66,-30,0.438144704
67,20,0.310319711
68,25,0.42949549
69,-20,0.388145712
70,30,0.439468176
71,0,0.203624199
72,40,0.434548988
73,0,0.431291427
74,0,0.390830289
75,20,0.469102334
76,0,0.340613837
77,-20,0.4877198
78,0,0.299611669
79,-20,0.325620234
80,25,0.374569943
81,15,0.380353861
82,30,0.436490881
83,0,0.29408366
84,30,0.353134159
85,0,0.300238995
86,-35,0.344749297
87,-20,0.556309727
88,-15,0.20886149
89,-20,0.323323306
90,10,0.353869072
91,-10,0.381208115
92,-15,0.521405632
93,-5,0.324698844
94,10,0.409215648
95,35,0.372479797
96,15,0.329194223
97,-25,0.4935437
98,5,0.371215916
99,-15,0.397370184
100,-40,0.439707527
101,-35,0.479668428
102,-20,0.348348749
103,0,0.30172
104,-40,0.208910122
105,-5,0.372249182
106,15,0.37289267
107,5,0.271530657
108,30,0.345473983
109,-15,0.247719311
110,-5,0.303201964
111,40,0.539807263
112,-5,0.328146271
113,-15,0.361605079
114,-40,0.356400166
115,-25,0.426525043
116,40,-0.013123251
117,35,0.49095601
118,-30,0.402406412
119,0,0.455758598
120,20,0.265724662
121,15,0.400962004
122,-30,0.364810836
123,5,0.317882118
124,35,0.426943029
125,25,0.555667779
126,5,0.354419074
127,40,0.53586015
128,-35,0.496217082
129,-15,0.375539839
130,10,0.410239108
131,-5,0.553999137
132,-40,0.535669378
133,20,0.532143809
134,-35,0.506500155
135,35,0.411349472
136,10,0.351082986
137,10,0.458882164
138,40,0.428403198
139,5,0.42425041
140,-25,0.523636266
141,-5,0.388091112
142,-25,0.444682834
143,10,0.397314396
144,-25,0.38669839
145,25,0.501856583
146,-10,0.418974519
147,-20,0.280608465
148,0,0.354897603
149,-30,0.614849982
150,15,0.391828768
151,-20,0.508250191
152,-10,0.431006935
153,-20,0.500281335
154,25,0.481865182
155,-15,0.464781864
156,0,0.395085134
157,5,0.400346758
158,-25,0.512724617
159,25,0.498007259
160,0,0.505910139
161,40,0.43063748
162,-40,0.640487777
163,-5,0.395844854
164,30,0.490385103
165,20,0.403460475
166,5,0.440643277
167,20,0.503615039
168,15,0.509226361
169,-35,0.538961429
170,-25,0.529179758
171,15,0.406076902
172,-5,0.409630834
173,20,0.364424166
174,-30,0.427154921
175,0,0.386347116
176,-25,0.445521561
177,-10,0.37448004
178,30,0.393427834
179,35,0.458329857
180,25,0.455400371
