TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.3584764
2,-5,0.3351163
3,-40,0.255676
4,-35,0.3417121
5,-30,0.2413622
6,-10,0.2200399
7,-40,0.2598006
8,-35,0.5124208
9,-10,0.2514104
10,-35,0.2645863
11,-25,0.2120402
12,-40,0.3084443
13,-25,0.3458994
14,-25,0.2339894
15,-20,0.1755948
16,-35,0.3108834
17,0,0.2502262
18,-10,0.2607425
19,-10,0.3132237
20,-35,0.3070725
21,-20,0.2736911
22,-10,0.2485692
23,-5,0.3143695
24,-5,0.3167035
25,-25,0.2972738
26,0,0.2897262
27,-15,0.1968406
28,-30,0.3390826
29,-40,0.4115151
30,-30,0.3309797
31,-10,0.279798
32,-20,0.2917462
33,0,0.2623972
34,-15,0.2813993
35,-40,0.2573199
36,0,0.4239656
37,-5,0.2960255
38,-20,0.1963247
39,-10,0.3903635
40,-10,0.2768919
41,0,0.29556
42,-30,0.2624017
43,-25,0.2661081
44,-5,0.2065265
45,-25,0.3001213
46,-15,0.2712617
47,0,0.2884198
48,-25,0.2355799
49,-20,0.3403147
50,-5,0.3172128
51,-15,0.3228923
52,-5,0.3039845
53,-5,0.2690065
54,-25,0.2175157
55,-25,0.2405407
56,-30,0.223407
57,-5,0.2331869
58,-15,0.309535
59,-20,0.2406993
60,-35,0.320594
61,-10,0.3324564
62,-20,0.2418653
63,0,0.3128435
64,0,0.3030512
65,-30,0.3372681
66,-15,0.3705276
67,-30,0.2708883
68,-15,0.2794057
69,-35,0.3804743
70,-40,0.3351837
71,-20,0.2779696
72,-30,0.3466601
73,-10,0.3236083
74,-30,0.217237
75,-30,0.2391185
76,-35,0.4092645
77,-35,0.384633
78,-15,0.2693273
79,-20,0.2600753
80,-5,0.3760008
81,-15,0.3643262
82,-25,0.3229257
83,-15,0.4417935
84,0,0.2800723
85,-35,0.3887886
86,-40,0.417597
87,-20,0.2343784
88,-40,0.2736217
89,-40,0.2458674
90,-40,0.323552
91,10,0.2124042
92,5,0.2768904
93,5,0.3262419
94,0,0.2980609
95,0,0.2509625
96,25,0.2214588
97,15,0.3044418
98,10,0.2356654
99,35,0.2759535
100,35,0.3394617
101,40,0.3259033
102,30,0.2621543
103,20,0.1647281
104,35,0.2965772
105,40,0.2772251
106,40,0.3696069
107,30,0.3501063
108,0,0.379606
109,0,0.3347749
110,30,0.337164
111,15,0.2357494
112,15,0.2205039
113,30,0.3624614
114,15,0.2562559
115,20,0.3081012
116,40,0.3992407
117,10,0.3020047
118,20,0.2982157
119,0,0.3616693
120,5,0.3053204
121,0,0.3026559
122,20,0.2642686
123,10,0.2643769
124,15,0.3179788
125,25,0.3259339
126,30,0.3114987
127,35,0.3022361
128,10,0.293152
129,5,0.260321
130,10,0.2106339
131,5,0.2263773
132,35,0.3558673
133,35,0.3306674
134,15,0.2005303
135,35,0.3347492
136,40,0.4866821
137,30,0.2352327
138,15,0.2889776
139,20,0.2393812
140,25,0.2724414
141,25,0.3129925
142,25,0.3390178
143,30,0.290252
144,5,0.3226116
145,40,0.3527035
146,35,0.2968116
147,35,0.3772262
148,25,0.2852074
149,15,0.2284424
150,20,0.3970091
151,25,0.3343912
152,5,0.3113111
153,10,0.3372305
154,0,0.3263234
155,0,0.2677862
156,5,0.2485435
157,40,0.3510038
158,30,0.3442098
159,15,0.3071907
160,40,0.3012734
161,10,0.2283788
162,20,0.3086907
163,5,0.2892519
164,40,0.4624795
165,0,0.3217864
166,25,0.2521004
167,20,0.2116686
168,25,0.2275564
169,40,0.3763763
170,35,0.2702712
171,30,0.3002831
172,20,0.3482753
173,20,0.2309011
174,15,0.3212595
175,5,0.3152292
176,25,0.2557313
177,30,0.3345177
178,10,0.4338333
179,10,0.2380153
180,0,0.328628
