TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.5953923
2,-20,0.3700188
3,0,0.330066
4,30,0.3486831
5,0,0.3920818
6,0,0.3545743
7,20,0.4593249
8,-10,0.3941856
9,-30,0.3713857
10,-5,0.3473411
11,-15,0.4023505
12,-40,0.4000342
13,-35,0.5246665
14,35,0.3570294
15,-15,0.346043
16,-5,0.3649114
17,-35,0.539474
18,25,0.4678574
19,-20,0.3471316
20,0,0.3947415
21,40,0.4461123
22,-20,0.4078295
23,0,0.3637271
24,35,0.5076582
25,5,0.3734567
26,40,0.4549821
27,-5,0.3985265
28,-25,0.3740459
29,-25,0.4341172
30,-10,0.3704706
31,-30,0.4404826
32,-5,0.4235563
33,0,0.376726
34,-30,0.3138165
35,0,0.3473764
36,-30,0.4434875
37,-10,0.454332
38,40,0.4362502
39,25,0.4038164
40,-35,0.3464216
41,15,0.3645679
42,0,0.3805318
43,10,0.3336234
44,30,0.3419056
45,-5,0.3753962
46,35,0.4281553
47,-40,0.496006
48,30,0.4199301
49,-5,0.4038254
50,-5,0.3865489
51,40,0.3950055
52,-30,0.3597675
53,-25,0.3079934
54,-40,0.3753047
55,20,0.3851463
56,5,0.3275895
57,5,0.311107
58,-15,0.3330168
59,30,0.3515462
60,-40,0.3758918
61,0,0.2886499
62,40,0.408907
63,-40,0.4546901
64,0,0.4041921
65,-40,0.3528798
66,20,0.3879
67,35,0.4743578
68,-15,0.3461781
69,-20,0.4096024
70,20,0.3263219
71,40,0.3789001
72,10,0.3650892
73,-25,0.3523626
74,5,0.333468
75,30,0.4286963
76,15,0.3665234
77,25,0.3465269
78,-5,0.3453316
79,0,0.3642499
80,25,0.3266369
81,20,0.3648599
82,40,0.427421
83,15,0.3524556
84,0,0.2970572
85,25,0.3380756
86,5,0.4119895
87,25,0.3911343
88,5,0.4211285
89,-40,0.5116443
90,0,0.3813191
91,10,0.3724827
92,-15,0.4410346
93,10,0.4425376
94,-15,0.4260852
95,-10,0.3943499
96,10,0.4273091
97,5,0.3977281
98,-35,0.4153629
99,30,0.3334707
100,-10,0.2962107
101,-15,0.4209758
102,20,0.475302
103,-25,0.4378304
104,-10,0.388862
105,-30,0.3856864
106,-25,0.3514237
107,35,0.3352917
108,-40,0.4642579
109,15,0.4508038
110,10,0.3748526
111,35,0.5815484
112,-10,0.4019734
113,-5,0.4284376
114,20,0.3717849
115,-25,0.3934553
116,25,0.4209729
117,-35,0.3637416
118,-35,0.3662439
119,35,0.4168603
120,-15,0.4600255
121,-35,0.5079701
122,15,0.383578
123,-5,0.428013
124,-10,0.4324642
125,-15,0.427167
126,-30,0.4780749
127,-15,0.3361536
128,5,0.3574738
129,5,0.3563159
130,-20,0.4911686
131,0,0.4198978
132,5,0.4246441
133,0,0.344827
134,20,0.4025685
135,-10,0.3961467
136,-35,0.3699778
137,25,0.3769706
138,-20,0.3536872
139,0,0.4312607
140,-40,0.3405889
141,-20,0.4128925
142,-30,0.40687
143,-25,0.4133773
144,15,0.3880329
145,0,0.364532
146,15,0.3479485
147,0,0.3926616
148,0,0.357686
149,30,0.3759361
150,25,0.3476698
151,-30,0.4710701
152,25,0.3764342
153,15,0.392859
154,10,0.4247676
155,10,0.498309
156,20,0.4469772
157,10,0.4487121
158,-40,0.4053647
159,35,0.3568483
160,35,0.4262873
161,40,0.4191386
162,-20,0.3953554
163,0,0.4077831
164,-20,0.350528
165,-10,0.4044887
166,30,0.3612537
167,40,0.4129006
168,-25,0.3440476
169,-20,0.3585196
170,40,0.3720542
171,10,0.3805866
172,30,0.3901063
173,-25,0.4264662
174,-35,0.3981279
175,-35,0.4882577
176,20,0.358113
177,15,0.4381961
178,15,0.363174
179,35,0.4410495
180,-30,0.3714447
