TrialNumber,Eccentricity,ReactionTime_s_
1,-15,0.461804553
2,-30,0.539954071
3,-25,0.455294418
4,-10,0.479137416
5,-20,0.454407229
6,0,0.473492819
7,-25,0.481754264
8,-5,0.404188024
9,0,0.327380774
10,-30,0.447473222
11,-10,0.571604764
12,-30,0.402439808
13,-5,0.352424357
14,-40,0.428997386
15,-35,0.488269636
16,-20,0.466722535
17,0,0.311408956
18,0,0.480422462
19,-20,0.4113906
20,-35,0.632477625
21,-40,0.50952939
22,-35,0.413403246
23,-40,0.528711583
24,-15,0.400193197
25,0,0.33570202
26,-10,0.414383227
27,-10,0.465068763
28,-20,0.534093971
29,-20,0.50373648
30,-15,0.466963174
31,-40,0.431866565
32,-20,0.386258734
33,-25,0.353862013
34,-15,0.312085245
35,-20,0.330094071
36,-30,0.406650177
37,-40,0.343095557
38,-5,0.468628944
39,-10,0.421433931
40,-30,0.488676556
41,-25,0.518294492
42,-35,0.452087308
43,-25,0.53236835
44,-30,0.500828788
45,-5,0.352197477
46,-40,0.479430822
47,-15,0.416138951
48,-5,0.43273772
49,-15,0.457302108
50,-20,0.351386831
51,-15,0.318236385
52,0,0.398522183
53,-10,0.313871069
54,-5,0.328680112
55,-40,0.462459669
56,-25,0.425925786
57,-25,0.426980495
58,-40,0.541484423
59,-35,0.50375548
60,-35,0.417554445
61,-35,0.532943766
62,-20,0.442910571
63,-35,0.571949835
64,0,0.39519361
65,0,0.322889494
66,-25,0.474995004
67,-15,0.528775925
68,-5,0.35366365
69,-40,0.55886499
70,-5,0.323215895
71,-30,0.437052828
72,-5,0.378603291
73,-10,0.386801015
74,-35,0.453200996
75,-20,0.43735921
76,-25,0.385079613
77,-10,0.306182593
78,0,0.401780133
79,-30,0.451717268
80,-15,0.674918578
81,-30,0.381144236
82,-30,0.343728346
83,-10,0.430696191
84,-40,0.44012692
85,0,0.37598746
86,-5,0.341941237
87,-35,0.504126092
88,-15,0.438976008
89,-10,0.475693528
90,-25,0.438336508
91,25,0.494117266
92,10,0.390848784
93,15,0.377432424
94,20,0.387372595
95,35,0.46982012
96,10,0.365848168
97,40,0.519052079
98,10,0.347116449
99,25,0.336275341
100,0,0.36088229
101,30,0.452631434
102,30,0.532794607
103,40,0.52760091
104,10,0.357363099
105,20,0.382305672
106,0,0.317073182
107,5,0.359621963
108,0,0.256969561
109,25,0.409300408
110,35,0.385654694
111,0,0.326951754
112,25,0.350770725
113,30,0.324621201
114,15,0.312577281
115,40,0.40987491
116,30,0.414802365
117,30,0.419161441
118,25,0.415093303
119,35,0.384481416
120,15,0.346491639
121,10,0.291589249
122,15,0.311079741
123,20,0.295716026
124,20,0.528159629
125,40,0.474329501
126,40,0.488620935
127,0,0.314497609
128,10,0.461793663
129,15,0.333491943
130,25,0.43003027
131,35,0.502782409
132,20,0.326666471
133,20,0.26727765
134,5,0.375011741
135,0,0.313375819
136,15,0.465550101
137,20,0.423992446
138,5,0.356033027
139,20,0.40031894
140,10,0.433353919
141,5,0.2756789
142,25,0.330593545
143,0,0.456733157
144,20,0.413262166
145,35,0.49526861
146,15,0.637518381
147,30,0.395553605
148,10,0.397044233
149,25,0.415690525
150,30,0.442769396
151,40,0.459126973
152,15,0.651141857
153,0,0.397790953
154,40,0.519346416
155,5,0.403626616
156,40,0.447772173
157,5,0.374251657
158,25,0.442865919
159,40,0.518000625
160,5,0.298357558
161,5,0.29754069
162,35,0.401403532
163,35,0.338494795
164,0,0.384236121
165,15,0.335348698
166,5,0.37587133
167,30,0.412455491
168,30,0.579352681
169,35,0.40962153
170,5,0.319597021
171,30,0.378198947
172,10,0.289726942
173,0,0.350540443
174,25,0.436699852
175,35,0.499595872
176,35,0.420726484
177,40,0.563561618
178,10,0.393302842
179,20,0.476924317
180,15,0.377502553
