TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.4836025
2,25,0.5885893
3,25,0.391033
4,30,0.4338306
5,15,0.4424661
6,10,0.4155199
7,15,0.4527733
8,20,0.3685591
9,35,0.5398002
10,35,0.4587128
11,5,0.5741541
12,5,0.406502
13,30,0.4084693
14,15,0.3487126
15,40,0.6302057
16,20,0.4196489
17,35,0.5334603
18,10,0.4650817
19,20,0.4006858
20,10,0.4456524
21,20,0.2893334
22,40,0.4615286
23,25,0.3929331
24,15,0.5037751
25,35,0.3930681
26,10,0.3510456
27,0,0.3875184
28,5,0.4448725
29,0,0.4905744
30,10,0.4969102
31,40,0.621633
32,15,0.4081945
33,5,0.446205
34,30,0.4439689
35,40,0.3938974
36,30,0.4162703
37,25,0.2838048
38,30,0.3325906
39,15,0.4852734
40,5,0.4972203
41,20,0.47608
42,15,0.4402368
43,0,0.4064905
44,30,0.5741193
45,20,0.5208293
46,35,0.5501711
47,10,0.4430194
48,15,0.4914022
49,5,0.546567
50,30,0.4086956
51,20,0.4025517
52,35,0.3639782
53,15,0.3811861
54,0,0.3677138
55,25,0.4528701
56,30,0.5143105
57,0,0.4527495
58,20,0.4502881
59,15,0.471157
60,0,0.42573
61,40,0.6471374
62,10,0.5401002
63,35,0.3874841
64,40,0.4215625
65,10,0.4263703
66,5,0.399083
67,10,0.4742547
68,35,0.541344
69,30,0.6663986
70,25,0.4653207
71,10,0.3902064
72,0,0.409843
73,20,0.4507955
74,40,0.4389171
75,40,0.562599
76,20,0.4658869
77,25,0.3523305
78,5,0.6327355
79,5,0.3190996
80,40,0.5307697
81,25,0.6083646
82,25,0.3781161
83,5,0.43977
84,35,0.6418018
85,30,0.5065708
86,40,0.5770715
87,0,0.4747425
88,25,0.48286
89,0,0.4569101
90,35,0.5046497
91,-25,0.5403752
92,-30,0.448159
93,-5,0.4405357
94,-25,0.4274697
95,0,0.3512308
96,-10,0.3956684
97,-5,0.4088697
98,-20,0.4155094
99,0,0.3718343
100,-10,0.3799422
101,-40,0.4259855
102,-30,0.3852008
103,-20,0.403537
104,-35,0.5452139
105,-30,0.4178095
106,-10,0.4711239
107,-15,0.3993857
108,-25,0.4390238
109,-15,0.5172696
110,0,0.43389
111,-20,0.4465046
112,-15,0.3741918
113,-40,0.5452737
114,0,0.4840898
115,-10,0.4338673
116,-15,0.4303127
117,-5,0.441871
118,-35,0.515208
119,0,0.4864466
120,-10,0.8700265
121,-35,0.8427617
122,-20,0.4379626
123,-5,0.4378155
124,0,0.4099982
125,-10,0.3571049
126,-40,0.3952995
127,-25,0.4075074
128,-5,0.4627547
129,-25,0.539364
130,-30,0.4759781
131,-25,0.6370399
132,-30,0.5125418
133,-40,0.5012372
134,-5,0.4772649
135,-15,0.4632494
136,-30,0.4431104
137,-35,0.4367884
138,-15,0.4452122
139,-5,0.5089183
140,0,0.5898141
141,-25,0.5182535
142,-40,0.5246485
143,-10,0.4758586
144,-15,0.5476806
145,-35,0.3892872
146,-35,0.6833064
147,-35,0.4192896
148,-40,0.471699
149,-15,0.5815724
150,-20,0.4815354
151,-40,0.512218
152,-30,0.4921311
153,0,0.4915879
154,-20,0.4725126
155,-10,0.3916391
156,-5,0.4068952
157,-5,0.5124321
158,-15,0.3580483
159,-10,0.4191647
160,-25,0.4241654
161,-20,0.3642243
162,-20,0.3420941
163,0,0.4464191
164,-30,0.4117426
165,-30,0.6755143
166,-40,0.5659366
167,-35,0.5286317
168,-30,0.4335392
169,-10,0.3754566
170,-25,0.5153689
171,-20,0.5426588
172,-25,0.5120181
173,-40,0.6305443
174,-5,0.5616641
175,-40,0.4855704
176,-35,0.5386664
177,-20,0.5894908
178,0,0.5013978
179,-15,0.4174484
180,-35,0.4764236
