TrialNumber,Eccentricity,ReactionTime_s_
1,40,0.572709246
2,-35,0.586270945
3,-20,0.491195998
4,25,0.443781975
5,0,0.482604813
6,0,0.41325174
7,40,0.494361172
8,40,0.605764278
9,30,0.563511971
10,35,0.529583081
11,20,0.454754825
12,-25,0.595365558
13,-20,0.578773593
14,0,0.408108995
15,-40,0.573227363
16,0,0.524093163
17,-35,0.659799735
18,-40,0.538945298
19,25,0.466755646
20,-10,0.546138777
21,-30,0.400585337
22,30,0.497644362
23,-5,0.529769605
24,0,0.462142542
25,-40,0.578410763
26,0,0.405037072
27,-15,0.438317713
28,40,0.568983814
29,15,0.511901544
30,-15,0.499694068
31,20,0.485977189
32,10,0.411520296
33,-35,0.648539973
34,-40,0.441083141
35,-15,0.547738916
36,5,0.489476447
37,-25,0.495801351
38,40,0.577103558
39,-20,0.586488008
40,-5,0.446677859
41,5,0.449933525
42,35,0.71810908
43,15,0.455592669
44,25,0.659204758
45,-5,0.588395908
46,10,0.533080544
47,5,0.463931898
48,15,0.512718924
49,-40,0.577561784
50,20,0.493728549
51,5,0.409202675
52,30,0.5119548
53,30,0.500073619
54,35,0.545157328
55,25,0.464284796
56,-30,0.560955096
57,10,0.459841464
58,-30,0.507735944
59,-25,0.491430289
60,25,0.482891689
61,5,0.517335733
62,35,0.546871879
63,10,0.518564357
64,-40,0.504541992
65,30,0.474316519
66,35,0.435062746
67,-25,0.574402115
68,-25,0.501066369
69,-35,0.566892384
70,-20,0.548997055
71,10,0.41881983
72,-30,0.524256365
73,0,0.462573141
74,25,0.562659397
75,15,0.513121387
76,0,0.441534648
77,-5,0.508712031
78,15,0.471572341
79,-20,0.605005779
80,-35,0.464108941
81,40,0.532490873
82,20,0.453090936
83,-15,0.406233453
84,0,0.354932983
85,20,0.418590952
86,25,0.3994385
87,0,0.451140475
88,-25,0.433948425
89,0,0.382872934
90,0,0.382382892
91,-15,0.475313758
92,30,0.494753713
93,35,0.489016766
94,10,0.424425576
95,-40,0.595005425
96,30,0.545313567
97,20,0.47832288
98,-25,0.473830799
99,15,0.448937163
100,-20,0.465378883
101,10,0.475113001
102,30,0.473910871
103,0,0.449756469
104,-40,0.521373076
105,-30,0.614557656
106,-35,0.59467861
107,-25,0.563688785
108,-5,0.446841421
109,-15,0.525576457
110,-30,0.668353032
111,5,0.461018749
112,-10,0.540279163
113,10,0.432275326
114,0,0.448971086
115,-25,0.515135453
116,35,0.439937729
117,15,0.460269963
118,-40,0.538849493
119,15,0.483466428
120,20,0.408004446
121,0,0.393837423
122,25,0.524927449
123,-10,0.445236158
124,0,0.494170836
125,25,0.6174263
126,-15,0.486919144
127,30,0.429216682
128,-30,0.561172954
129,40,0.512833273
130,-40,0.546899131
131,-10,0.415961877
132,10,0.436612435
133,-10,0.463031983
134,15,0.450635843
135,-10,0.419851591
136,15,0.43276064
137,40,0.539398092
138,-30,0.504434531
139,-15,0.483203885
140,-15,0.422484455
141,5,0.399370992
142,-35,0.595230568
143,0,0.472130733
144,20,0.496297876
145,20,0.514630238
146,-25,0.513240384
147,-20,0.534068171
148,10,0.358668718
149,-5,0.468441251
150,0,0.384075832
151,5,0.416218717
152,-10,0.42421184
153,-5,0.420105873
154,20,0.527776737
155,30,0.500019486
156,40,0.460645136
157,-35,0.521243753
158,5,0.428642086
159,-15,0.54930192
160,-10,0.510034805
161,-20,0.439835459
162,-10,0.455284429
163,-5,0.424184163
164,-5,0.402731802
165,-10,0.402134555
166,-20,0.421510516
167,-35,0.52482234
168,-30,0.51671312
169,-5,0.548773536
170,35,0.610719234
171,-20,0.446832755
172,0,0.404549154
173,40,0.576323472
174,5,0.51196477
175,-35,0.614088322
176,25,0.638817098
177,35,0.546722533
178,-30,0.497173581
179,0,0.45222383
180,35,0.605558055
