TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.3891191
2,10,0.4154115
3,15,0.4270513
4,30,0.5088909
5,20,0.3791298
6,40,0.3280022
7,10,0.3655571
8,35,0.446726
9,0,0.4438458
10,5,0.4800211
11,30,0.4787035
12,15,0.4196866
13,25,0.3778388
14,25,0.3441593
15,30,0.2894796
16,40,0.3119816
17,10,0.3093718
18,0,0.4026768
19,30,0.3559121
20,0,0.4419774
21,10,0.2788699
22,25,0.5050567
23,5,0.3992404
24,30,0.4655751
25,25,0.276861
26,15,0.3870719
27,0,0.3930277
28,10,0.3826618
29,35,0.4557097
30,5,0.3981101
31,30,0.3359239
32,15,0.3828275
33,15,0.4378304
34,0,0.3988911
35,20,0.4361963
36,10,0.3754164
37,30,0.3758525
38,25,0.4253431
39,20,0.4692456
40,15,0.3696951
41,5,0.3672858
42,15,0.4088949
43,40,0.5159083
44,5,0.4196999
45,5,0.3662762
46,5,0.4337731
47,25,0.4507886
48,30,0.5030444
49,30,0.4419522
50,0,0.4045994
51,40,0.4821833
52,20,0.4982972
53,10,0.4856185
54,35,0.4114537
55,25,0.4364243
56,5,0.3927373
57,40,0.3171725
58,0,0.4785319
59,20,0.4163735
60,35,0.4712148
61,30,0.4916353
62,20,0.3423299
63,35,0.4629102
64,15,0.4670903
65,0,0.3777401
66,25,0.3525561
67,40,0.3722654
68,15,0.3903479
69,10,0.245969
70,20,0.4033655
71,35,0.5278249
72,10,0.5037145
73,35,0.4772376
74,40,0.5166423
75,35,0.6965214
76,5,0.3989093
77,20,0.4550043
78,10,0.4708255
79,35,0.4836801
80,25,0.3881745
81,40,0.4436526
82,0,0.4317611
83,25,0.4897912
84,20,0.4761519
85,35,0.5760197
86,20,0.4471226
87,40,0.2805122
88,15,0.4031762
89,40,0.2636723
90,5,0.5272851
91,-10,0.4222823
92,0,0.3347236
93,-15,0.390442
94,-15,0.4748808
95,-40,0.4118171
96,-40,0.4342913
97,-5,0.4295191
98,-15,0.4580528
99,-5,0.5294578
100,-5,0.3899959
101,-35,0.48592
102,-25,0.4571863
103,-25,0.5124978
104,-35,0.4965182
105,-5,0.4903006
106,-30,0.3578904
107,-15,0.3568463
108,-25,0.3942432
109,-10,0.3586319
110,0,0.3585008
111,-30,0.5178463
112,-20,0.4731926
113,-35,0.5584054
114,-25,0.3964987
115,-35,0.4490763
116,0,0.5679686
117,-25,0.3562797
118,-40,0.7386911
119,-10,0.455985
120,-15,0.4392773
121,-30,0.6270307
122,-40,0.4394005
123,-5,0.3822592
124,-25,0.5122532
125,-30,0.5383305
126,-20,0.5042876
127,-20,0.4132647
128,-30,0.4977606
129,-10,0.4166761
130,-35,0.4434095
131,-30,0.5430316
132,-10,0.4064046
133,-25,0.4543211
134,-25,0.4410468
135,-10,0.3972058
136,-20,0.3906422
137,-35,0.5289869
138,0,0.3764944
139,-20,0.338421
140,-25,0.369525
141,-40,0.4590769
142,-15,0.3847627
143,-5,0.3437686
144,-40,0.3438705
145,-5,0.418728
146,-30,0.4116447
147,-30,0.4978322
148,-10,0.296815
149,-30,0.3949355
150,0,0.3730355
151,0,0.3829588
152,-20,0.5037772
153,-20,0.4133971
154,-10,0.4509842
155,0,0.4334449
156,-5,0.414681
157,-5,0.4044893
158,-35,0.4341508
159,-40,0.5277682
160,-25,0.6013694
161,0,0.4715998
162,-35,0.4063484
163,-35,0.4872042
164,0,0.4492862
165,-15,0.4338424
166,-20,0.4632232
167,-35,0.4738622
168,-20,0.5179225
169,-30,0.5169329
170,-40,0.5320596
171,-15,0.4110707
172,0,0.4914899
173,-10,0.5402921
174,-40,0.790575
175,-5,0.4571353
176,-15,0.5791411
177,-40,0.636462
178,-15,0.5063762
179,-20,0.6079778
180,-10,0.4919907
