TrialNumber,Eccentricity,ReactionTime_s_
1,35,0.3244222
2,10,0.3313541
3,35,0.3461862
4,10,0.2619313
5,25,0.3219266
6,20,0.3123431
7,20,0.2835068
8,30,0.314596
9,10,0.2360907
10,5,0.2922934
11,25,0.2378795
12,20,0.24098
13,15,0.3362562
14,25,0.3085347
15,25,0.2614121
16,30,0.3505642
17,25,0.310882
18,35,0.4114976
19,10,0.4495632
20,35,0.3998222
21,10,0.3198773
22,0,0.2729789
23,10,0.4027706
24,30,0.388061
25,10,0.2841819
26,15,0.3757268
27,10,0.2051019
28,0,0.2582405
29,20,0.3440985
30,0,0.369844
31,30,0.2722136
32,20,0.4294573
33,25,0.3281279
34,35,0.3947474
35,30,0.3505469
36,40,0.290116
37,25,0.2849906
38,0,0.3723706
39,20,0.3362209
40,35,0.2503607
41,40,0.4130009
42,40,0.3929726
43,15,0.2821883
44,15,0.417918
45,0,0.3398876
46,35,0.3924567
47,40,0.3759571
48,15,0.3185413
49,5,0.4236305
50,20,0.3229561
51,35,0.3617073
52,5,0.3648413
53,15,0.3606095
54,5,0.4164437
55,0,0.335791
56,15,0.3605996
57,35,0.4036101
58,15,0.3309415
59,5,0.2704703
60,30,0.3245685
61,40,0.3410279
62,40,0.2679485
63,10,0.233948
64,40,0.4718149
65,0,0.3033776
66,5,0.3127401
67,25,0.3759147
68,15,0.2887059
69,20,0.4143084
70,0,0.3235252
71,25,0.3169329
72,30,0.3639058
73,5,0.359425
74,0,0.2825145
75,30,0.4554689
76,5,0.3720231
77,20,0.4428856
78,25,0.3227476
79,35,0.3536294
80,5,0.3121803
81,20,0.2662379
82,5,0.4384781
83,0,0.3495849
84,30,0.443218
85,30,0.4176144
86,10,0.2480817
87,40,0.4036177
88,40,0.4066672
89,15,0.3191821
90,40,0.4181567
91,-25,0.3305367
92,-30,0.3786237
93,-25,0.377222
94,-15,0.4154921
95,-20,0.4061634
96,-5,0.3152489
97,-10,0.3613684
98,-20,0.4204965
99,-30,0.3443873
100,-10,0.2849403
101,-35,0.3301914
102,-25,0.3482527
103,0,0.312704
104,-5,0.2735061
105,-30,0.2950788
106,-30,0.3542357
107,0,0.3141799
108,-5,0.2296935
109,-40,0.4090125
110,0,0.3087648
111,-10,0.3115418
112,-15,0.2777201
113,-35,0.3938054
114,-30,0.2983886
115,-20,0.4121437
116,-10,0.3657537
117,-40,0.2940689
118,0,0.4055735
119,-20,0.3843241
120,-10,0.2723938
121,-10,0.3828416
122,-25,0.32143
123,-30,0.4179422
124,-35,0.3802946
125,-30,0.6277406
126,-10,0.4017103
127,-40,0.5359065
128,0,0.2703073
129,-15,0.3059544
130,-25,0.3875076
131,0,0.4230299
132,-10,0.3792564
133,0,0.4456974
134,-15,0.3424445
135,-15,0.3767137
136,-30,0.385122
137,-30,0.3278144
138,-5,0.3808401
139,0,0.3439001
140,-5,0.3554024
141,-5,0.3006188
142,-40,0.4153255
143,-5,0.3461801
144,-35,0.3183021
145,-35,0.4710431
146,-25,0.3710371
147,-40,0.4140147
148,-25,0.2865063
149,-20,0.3682231
150,-40,0.3678447
151,-40,0.5261846
152,0,0.3826876
153,-35,0.4141671
154,-40,0.4078054
155,-5,0.3483318
156,-15,0.4046604
157,-25,0.3296572
158,-35,0.3914235
159,-35,0.3932441
160,-10,0.3881355
161,-20,0.3323892
162,-15,0.2863043
163,-25,0.2871427
164,-20,0.2827689
165,-25,0.4183615
166,-30,0.3668762
167,-5,0.2488829
168,-15,0.3363472
169,-10,0.3028861
170,-35,0.2812434
171,-15,0.283638
172,-20,0.3593832
173,-15,0.3635749
174,-20,0.2529843
175,-5,0.4376237
176,-20,0.4152245
177,-40,0.6015566
178,0,0.4109374
179,-35,0.4207559
180,-40,0.3230923
