TrialNumber,Eccentricity,ReactionTime_s_
1,-5,0.4213464
2,20,0.3984314
3,30,0.4012695
4,-15,0.3577369
5,-15,0.403323
6,-40,0.5157426
7,0,0.4966984
8,-20,0.5057212
9,-20,0.3497297
10,-5,0.4299058
11,25,0.4920043
12,5,0.4338833
13,25,0.3960647
14,0,0.4728128
15,40,0.4290475
16,-30,0.3851785
17,-40,0.5063396
18,-15,0.4168782
19,0,0.4815636
20,35,0.4529344
21,-40,0.4992571
22,-30,0.41903
23,-10,0.3870241
24,0,0.4971273
25,-35,0.4439209
26,0,0.317859
27,20,0.4541519
28,-30,0.5878258
29,35,0.4440783
30,-20,0.449005
31,10,0.46887
32,-10,0.5031812
33,10,0.3842976
34,30,0.5165947
35,-15,0.4533272
36,-25,0.4176216
37,-10,0.4752255
38,20,0.4839818
39,-15,0.3829651
40,25,0.4673366
41,40,0.468775
42,25,0.5357996
43,-35,0.5171894
44,25,0.4818234
45,0,0.4395177
46,10,0.5137568
47,35,0.4942326
48,5,0.4632958
49,15,0.4162777
50,40,0.51968
51,-10,0.4113841
52,30,0.4395629
53,5,0.328754
54,0,0.3211085
55,-20,0.5398416
56,20,0.3923874
57,20,0.4758814
58,30,0.5686567
59,15,0.5211229
60,5,0.4309506
61,5,0.5334282
62,-35,0.393052
63,40,0.502333
64,0,0.3869366
65,-40,0.5235072
66,-30,0.4165478
67,35,0.3806917
68,10,0.4311478
69,-25,0.3853155
70,-30,0.446039
71,-30,0.4015218
72,-25,0.5244987
73,-35,0.4640048
74,25,0.4145436
75,0,0.4548521
76,30,0.6057455
77,0,0.3973682
78,-20,0.409988
79,0,0.4795495
80,-25,0.4640768
81,-10,0.4956118
82,10,0.4754232
83,0,0.4936078
84,-15,0.5321777
85,40,0.5305543
86,-20,0.4149841
87,5,0.4167573
88,35,0.4192762
89,15,0.4273551
90,0,0.4233194
91,-35,0.4648257
92,40,0.526146
93,-40,0.4695738
94,-25,0.427634
95,35,0.5145826
96,35,0.4416987
97,-35,0.4693777
98,10,0.4128638
99,-10,0.3719453
100,-5,0.5294575
101,-35,0.4256924
102,-20,0.4668202
103,-30,0.4869664
104,-40,0.5822093
105,10,0.51466
106,25,0.506527
107,-25,0.5983999
108,-40,0.6385676
109,35,0.4258959
110,10,0.3345726
111,15,0.3472286
112,-15,0.4227361
113,-25,0.3548112
114,-25,0.3641918
115,30,0.3570032
116,0,0.4664206
117,-15,0.3527632
118,25,0.4786783
119,30,0.4585824
120,15,0.5164511
121,-10,0.3930084
122,35,0.4941728
123,20,0.5152037
124,20,0.4846851
125,-40,0.4612102
126,40,0.4548162
127,5,0.5098267
128,40,0.4904056
129,15,0.510887
130,-5,0.417814
131,-10,0.5085116
132,5,0.4940242
133,15,0.3699939
134,0,0.4122704
135,15,0.4757098
136,0,0.4772998
137,-20,0.4058198
138,-10,0.4342609
139,-5,0.4081812
140,-30,0.4476497
141,5,0.4117686
142,20,0.3920877
143,0,0.3753776
144,30,0.4580038
145,-25,0.4275374
146,20,0.3454269
147,30,0.4265142
148,-25,0.4107783
149,-5,0.4580611
150,20,0.3831056
151,-20,0.3856231
152,-15,0.5519085
153,15,0.394605
154,5,0.4433428
155,25,0.3345602
156,0,0.3967237
157,-35,0.536692
158,-40,0.4303318
159,40,0.5059183
160,-5,0.5151966
161,-30,0.5325219
162,-35,0.4070319
163,10,0.4634206
164,-15,0.4179588
165,25,0.4743671
166,-5,0.4901547
167,-5,0.3241392
168,10,0.3749811
169,40,0.5945886
170,0,0.4162893
171,0,0.4628083
172,-30,0.4108503
173,-35,0.371834
174,35,0.4302817
175,-20,0.3932593
176,-40,0.4943766
177,-10,0.5296973
178,15,0.3633241
179,-5,0.4589069
180,30,0.5115891
