TrialNumber,Eccentricity,ReactionTime_s_
1,-15,0.3664022
2,-10,0.3115636
3,-5,0.2721022
4,-35,0.3207171
5,-20,0.4160964
6,0,0.2965286
7,-20,0.2970905
8,-15,0.3034296
9,-35,0.3670536
10,-30,0.2877634
11,-35,0.5198915
12,-25,0.4119476
13,-40,0.4852772
14,-30,0.3610907
15,-5,0.2991104
16,-15,0.3749172
17,-25,0.3921316
18,-20,0.353001
19,-5,0.3893862
20,-30,0.332672
21,-5,0.3749494
22,-10,0.3552328
23,-30,0.3789379
24,0,0.3976916
25,-35,0.563706
26,-30,0.3920362
27,-10,0.366539
28,0,0.360556
29,-20,0.3697721
30,-30,0.4570352
31,-30,0.4633154
32,-25,0.3807907
33,-25,0.3851468
34,-5,0.3312866
35,-25,0.3685143
36,-40,0.3095914
37,-20,0.3869463
38,-40,0.4894274
39,-40,0.3758986
40,-35,0.3511591
41,-40,0.4092027
42,-10,0.4658068
43,-10,0.403467
44,-30,0.4326926
45,-25,0.4329801
46,0,0.3517662
47,-20,0.3571388
48,-40,0.4287306
49,-15,0.3863805
50,-5,0.4403576
51,-5,0.3599253
52,-10,0.3525149
53,-40,0.4096232
54,-35,0.4006985
55,-5,0.3152208
56,-20,0.4077091
57,0,0.3523312
58,-15,0.3685452
59,-20,0.3712324
60,0,0.3809999
61,-25,0.3794459
62,0,0.3805153
63,0,0.3780953
64,-35,0.399695
65,-40,0.4568487
66,-30,0.3271054
67,-30,0.3480372
68,-15,0.4259872
69,-25,0.3597255
70,-35,0.4042256
71,-10,0.5245341
72,-35,0.4817091
73,-15,0.4267376
74,0,0.3382534
75,-5,0.3689168
76,-25,0.3998638
77,-10,0.3014187
78,-40,0.3826896
79,-35,0.3299872
80,-20,0.4056627
81,-40,0.3913841
82,0,0.3137384
83,-20,0.3861753
84,-10,0.4063429
85,-15,0.3654392
86,-15,0.3871211
87,-10,0.3643457
88,-25,0.352045
89,-15,0.4767333
90,-5,0.441498
91,30,0.3404934
92,15,0.3681316
93,15,0.3146809
94,20,0.3950145
95,25,0.4167673
96,35,0.5307583
97,15,0.4009637
98,5,0.2593077
99,15,0.3279287
100,20,0.4463104
101,20,0.3915516
102,20,0.3517009
103,30,0.3799011
104,10,0.3156523
105,0,0.4259548
106,0,0.2768075
107,40,0.7094256
108,40,0.3323666
109,25,0.340632
110,25,0.4018815
111,10,0.2849842
112,5,0.3461423
113,0,0.291499
114,0,0.2576314
115,35,0.4352127
116,5,0.3602316
117,15,0.4027652
118,25,0.3876705
119,0,0.3345186
120,40,0.5542369
121,35,0.4538222
122,20,0.4335265
123,25,0.4885596
124,40,0.4197448
125,15,0.3672435
126,10,0.3990943
127,30,0.5107919
128,30,0.3616056
129,30,0.386771
130,25,0.483311
131,25,0.4219565
132,10,0.4332788
133,25,0.3643333
134,10,0.3942709
135,0,0.3849211
136,35,0.4616843
137,25,0.4214212
138,40,0.5234029
139,35,0.4296488
140,20,0.4116306
141,30,0.4061543
142,10,0.3446908
143,30,0.3543886
144,30,0.3715004
145,5,0.3969414
146,35,0.4742696
147,5,0.3727
148,30,0.3681669
149,20,0.444027
150,10,0.3339683
151,35,0.48507
152,25,0.452708
153,40,0.4242416
154,20,0.4201342
155,40,0.4358989
156,0,0.2687812
157,35,0.3570246
158,30,0.379897
159,20,0.3161431
160,35,0.3030717
161,15,0.3371258
162,40,0.4177043
163,20,0.3107262
164,5,0.3064724
165,10,0.3243974
166,5,0.2724906
167,5,0.269456
168,35,0.2883471
169,0,0.4075868
170,0,0.271945
171,40,0.7052179
172,0,0.3570013
173,5,0.337939
174,10,0.3742606
175,15,0.3020474
176,10,0.4764622
177,15,0.3667422
178,15,0.3384439
179,40,0.553962
180,5,0.3935679
