TrialNumber,Eccentricity,ReactionTime_s_
1,-35,0.63506581
2,-20,0.393565745
3,0,0.42168967
4,-25,0.562854338
5,-40,0.597942082
6,-35,0.604739397
7,-15,0.71937077
8,-20,0.533632677
9,-15,0.415361822
10,-5,0.413475854
11,-5,0.474771474
12,-30,0.823676709
13,-30,1.551042214
14,-35,0.701342001
15,-10,1.057247272
16,-15,0.527012834
17,0,0.431411876
18,-25,0.752145333
19,-20,0.527938793
20,-30,0.561376011
21,-20,0.859560857
22,-15,0.442414135
23,-25,0.525674519
24,-30,0.565444904
25,-20,0.550970252
26,-40,0.99538316
27,-30,0.583387238
28,0,0.447481708
29,-25,0.85247244
30,-5,0.497280545
31,-30,0.544342277
32,-25,0.990147789
33,-20,0.515442448
34,-30,0.959597669
35,-15,0.484382849
36,-40,0.628992496
37,0,0.424206489
38,-20,0.589755134
39,-20,0.585000506
40,-15,0.512274615
41,-40,1.036914887
42,-35,0.870182427
43,-40,1.184857533
44,-40,0.650799967
45,-15,0.513514611
46,-10,0.488440971
47,-5,0.530740252
48,-40,0.99337989
49,-10,0.39936029
50,-40,0.663867064
51,-35,1.215597862
52,0,0.453942897
53,-5,0.597541237
54,-5,0.402851213
55,-10,0.493880022
56,-30,0.574073547
57,-25,0.367230599
58,-15,0.435233099
59,-25,0.544931707
60,-10,0.360224354
61,-10,0.633646925
62,-25,0.530789522
63,-35,0.553551428
64,-35,0.982945406
65,0,0.439741806
66,-15,0.504704196
67,-35,0.660206782
68,-5,0.434572146
69,-35,0.641432276
70,-5,0.418162109
71,-35,0.566077059
72,-25,0.519880364
73,-10,0.60540156
74,-10,0.491425873
75,-5,0.393730157
76,-20,0.518057966
77,0,0.440167668
78,-10,0.72579029
79,0,0.367022603
80,-30,0.453541273
81,-40,0.769627025
82,-40,1.007783975
83,0,0.518761675
84,-30,0.580573165
85,-20,0.549384128
86,0,0.49162629
87,-25,0.594691315
88,-15,0.531513038
89,-5,0.558600236
90,-10,0.487196036
91,25,0.524737418
92,25,0.392945373
93,25,0.571213632
94,20,0.509176848
95,30,0.45893377
96,15,0.477787097
97,0,0.454082162
98,5,0.357859762
99,0,0.554580985
100,10,0.494237078
101,0,0.40098489
102,40,0.979812878
103,35,0.625298451
104,5,0.410450048
105,40,0.468575901
106,5,0.383666646
107,15,0.511761847
108,15,0.528379069
109,20,0.716239367
110,20,0.531121234
111,20,0.603087887
112,25,0.399849696
113,40,0.592231461
114,30,0.506484566
115,35,0.544456988
116,35,0.571747147
117,0,0.395291032
118,20,0.490503346
119,10,0.450998905
120,25,0.557175178
121,35,0.874110737
122,20,0.425991183
123,40,0.56411014
124,35,0.619768604
125,25,0.372942503
126,30,0.472056903
127,20,0.409474982
128,5,0.437909748
129,0,0.481926891
130,5,0.438792775
131,30,0.586479259
132,25,0.553789472
133,15,0.473340366
134,25,0.646551129
135,15,0.498165849
136,15,0.485624444
137,0,0.528856043
138,15,0.353638747
139,10,0.557069405
140,10,0.406610625
141,35,0.644166699
142,15,0.488044127
143,35,0.721957899
144,30,0.430269696
145,15,0.405249495
146,35,0.40142283
147,0,0.40341815
148,40,0.526217451
149,35,0.606910981
150,20,0.34547926
151,0,0.433677046
152,10,0.57176472
153,10,0.486035446
154,0,0.418924219
155,10,0.470501755
156,30,0.513079417
157,25,0.440903726
158,5,0.352871881
159,20,0.442701843
160,5,0.444993454
161,30,0.395583157
162,5,0.556370073
163,40,0.83163792
164,25,0.489890053
165,30,0.522322825
166,10,0.448294653
167,40,0.495100245
168,15,0.418962711
169,10,0.631849018
170,10,0.389437601
171,30,0.407934875
172,40,0.543099037
173,30,0.706398756
174,20,0.380525931
175,35,0.416297156
176,5,0.46269907
177,5,0.338029342
178,40,0.576460971
179,40,0.549869791
180,0,0.392491221
