TrialNumber,Eccentricity,ReactionTime_s_
1,35,0.4824677
2,15,0.4602306
3,25,0.3845752
4,35,0.4745679
5,30,0.4390189
6,5,0.3319126
7,10,0.4903718
8,20,0.5589553
9,0,0.3356085
10,20,0.4395292
11,40,0.5625037
12,40,0.6918479
13,35,0.4193148
14,20,0.5018434
15,25,0.3682579
16,25,0.343491
17,35,0.4263831
18,0,0.481606
19,40,0.5002112
20,15,0.3781407
21,15,0.4237052
22,5,0.3427524
23,20,0.4297818
24,30,0.445238
25,30,0.7344621
26,20,0.3940097
27,30,0.5083695
28,15,0.4515642
29,10,0.553903
30,35,0.4948736
31,15,0.4496391
32,30,0.3812743
33,0,0.6927223
34,15,0.4953827
35,15,0.4296787
36,20,0.5573084
37,25,0.6376499
38,0,0.4070583
39,20,0.4591461
40,25,0.4434705
41,35,0.4206344
42,40,0.4715706
43,35,0.4661307
44,40,0.4455063
45,5,0.4643367
46,40,0.4472637
47,25,0.4300026
48,20,0.5514038
49,10,0.4152414
50,20,0.3748601
51,15,0.3597583
52,25,0.4423044
53,35,0.4664727
54,15,0.3707138
55,5,0.3600433
56,0,0.4478692
57,40,0.6810942
58,5,0.3291653
59,10,0.3716159
60,10,0.336426
61,30,0.4711797
62,35,0.5380492
63,25,0.5673948
64,10,0.5770602
65,20,0.5832803
66,40,0.5191771
67,0,0.3813605
68,0,0.50316
69,30,0.4677179
70,30,0.5291397
71,10,0.4303246
72,0,0.4314099
73,5,0.4548743
74,35,0.4907932
75,15,0.3811468
76,25,0.4230014
77,5,0.6308322
78,40,0.4946124
79,10,0.4416487
80,5,0.4395768
81,10,0.4413535
82,5,0.4420248
83,30,0.5326046
84,25,0.6811749
85,0,0.5276431
86,40,0.5924365
87,10,0.4007294
88,0,0.373296
89,30,0.4866919
90,5,0.4154751
91,-35,0.4017699
92,-25,0.4803076
93,0,0.4145964
94,-30,0.4001902
95,0,0.383595
96,0,0.3843401
97,-20,0.4243021
98,-30,0.3728637
99,-5,0.3996321
100,-5,0.4712594
101,-40,0.5212376
102,-10,0.3400149
103,-40,0.4747362
104,-30,0.495064
105,-35,0.6436657
106,-40,0.3908564
107,-30,0.4751479
108,-40,0.4497279
109,-5,0.4202307
110,-10,0.4702777
111,-35,0.4066668
112,-5,0.4213843
113,-10,0.4371699
114,-35,0.4546956
115,0,0.4792331
116,-30,0.4965302
117,-20,0.7964355
118,-40,0.375648
119,-15,0.377609
120,-35,0.3255038
121,0,0.3545236
122,-35,0.6193193
123,-5,0.4079595
124,-10,0.4716922
125,-40,0.4916258
126,-35,0.4960803
127,-40,0.5437825
128,-30,0.5958717
129,-10,0.4307805
130,-20,0.3670855
131,-40,0.4009083
132,-5,0.4141039
133,-25,0.3358477
134,0,0.379044
135,-25,0.5058988
136,-5,0.3516966
137,0,0.8356305
138,-15,0.3853995
139,-10,0.5612278
140,-30,0.4615404
141,-15,0.4695319
142,-10,0.3985099
143,-30,0.4766825
144,-25,0.4147973
145,-20,0.375271
146,-40,0.7245293
147,-5,0.4474862
148,-15,0.368829
149,-20,0.4659502
150,-25,0.6366657
151,-5,0.3902855
152,-15,0.3511878
153,-10,0.5333185
154,-35,0.4651006
155,0,0.4143914
156,-15,0.53242
157,-40,0.4646834
158,-30,0.4824637
159,-25,0.436136
160,-20,0.424314
161,-20,0.3160644
162,-35,0.5080458
163,-30,0.4553334
164,-25,0.4549847
165,-15,0.3817643
166,-35,0.4432238
167,-15,0.4769101
168,-20,0.3870641
169,0,0.4488531
170,-10,0.3555343
171,-25,0.6963645
172,0,0.5221158
173,-25,0.5815712
174,-15,0.3959045
175,-20,0.4805887
176,-25,0.3715701
177,-10,0.4661938
178,-15,0.3401913
179,-20,0.3650903
180,-5,0.3961597
