TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.630164481
2,-10,0.510201176
3,15,0.499277459
4,35,0.533955483
5,40,0.547126143
6,40,0.481112326
7,15,0.570322827
8,-40,0.511189792
9,10,0.549788435
10,-5,0.561616825
11,-30,0.677321587
12,25,0.576609684
13,-30,0.600145183
14,-35,0.66709918
15,20,0.575419688
16,35,0.483512575
17,-30,0.661635093
18,15,0.450306226
19,15,0.483819025
20,-40,0.688623024
21,-40,0.57584579
22,40,0.368272831
23,-30,0.567939984
24,-25,0.521169869
25,0,0.494605313
26,-5,0.512156359
27,40,0.512548251
28,-35,0.511505968
29,-5,0.542772219
30,-20,0.513170034
31,-10,0.51527405
32,-35,0.51212405
33,-25,0.529317238
34,10,0.556307095
35,-10,0.455280072
36,-30,0.564494175
37,35,0.433411923
38,-20,0.464325183
39,35,0.660248494
40,5,0.532162638
41,-40,0.68266607
42,-20,0.481426643
43,15,0.519778371
44,10,0.542953156
45,25,0.608749467
46,-35,0.682626957
47,10,0.613660466
48,0,0.499256741
49,-15,0.657690846
50,-15,0.513560152
51,-25,0.479798867
52,20,0.401861795
53,35,0.426016921
54,0,0.436935286
55,-10,0.44848041
56,35,0.554206254
57,-35,0.532809001
58,30,0.45703979
59,0,0.375249214
60,-5,0.560681748
61,0,0.441911299
62,15,0.538238811
63,0,0.489456339
64,-15,0.627944015
65,-5,0.445300643
66,5,0.467797841
67,25,0.463268901
68,5,0.572241286
69,-25,0.525623222
70,-30,0.521989469
71,-20,0.564481705
72,-15,0.550766157
73,-10,0.506331641
74,-35,0.575725802
75,-20,0.47814303
76,40,0.503756307
77,-35,0.469208447
78,15,0.711517028
79,20,0.512532674
80,-30,0.569718245
81,-20,0.595849086
82,-30,0.531337704
83,-15,0.481311854
84,-10,0.491877073
85,10,0.498966902
86,15,0.458148512
87,5,0.436458965
88,5,0.481546263
89,-5,0.474395684
90,30,0.478638065
91,-10,0.636653675
92,5,0.505571016
93,-15,0.501698838
94,40,0.609820741
95,-5,0.551576383
96,40,0.48444819
97,25,0.5338969
98,-20,0.512453366
99,40,0.450688681
100,20,0.536346339
101,0,0.570468484
102,-25,0.548566933
103,-5,0.484418016
104,-25,0.553496661
105,-40,0.832834596
106,25,0.502791382
107,5,0.483407688
108,30,0.461737224
109,-25,0.624817952
110,0,0.427718895
111,-20,0.545909414
112,30,0.588849091
113,-15,0.645786532
114,-35,0.620507754
115,-25,0.525292389
116,25,0.621768115
117,35,0.499349534
118,0,0.501325122
119,-25,0.492246721
120,5,0.458610017
121,0,0.738797105
122,20,0.609531367
123,-35,0.534765682
124,10,0.498403131
125,0,0.448620789
126,-40,0.577921544
127,30,0.578695317
128,0,0.588221384
129,-5,0.476019433
130,-40,0.590615893
131,10,0.519710931
132,0,0.447377019
133,10,0.638594131
134,30,0.772607935
135,10,0.440852313
136,-5,0.538206542
137,-10,0.517220206
138,-35,0.537747523
139,-30,0.539040334
140,-20,0.403516884
141,15,0.530671845
142,15,0.452764232
143,20,0.635381173
144,-25,0.759367674
145,-40,0.563970031
146,30,0.619573833
147,25,0.549783626
148,30,0.528776445
149,10,0.540903388
150,20,0.509324446
151,35,0.635484426
152,-20,0.597055798
153,0,0.523790889
154,20,0.504898189
155,40,0.54311418
156,-15,0.512906574
157,0,0.679546687
158,0,0.456620054
159,-30,0.592574121
160,5,0.51920569
161,25,0.534852218
162,35,0.594407066
163,25,0.563330876
164,30,0.616481581
165,0,0.496875324
166,0,0.495134908
167,-40,0.689874014
168,-15,0.992565532
169,-10,0.45860132
170,-15,0.560845661
171,40,0.78611963
172,20,0.581511874
173,-40,0.592796195
174,25,0.515606268
175,5,0.513499539
176,20,0.957320689
177,0,0.51074493
178,35,0.54405708
179,30,0.552180139
180,-10,0.460580702
