TrialNumber,Eccentricity,ReactionTime_s_
1,35,0.703230142
2,35,0.436315759
3,35,0.576147576
4,0,0.553436232
5,-30,0.623209111
6,-5,0.568779233
7,-10,0.54507284
9,-35,0.672362995
10,20,0.406839431
11,0,0.54315735
12,-15,0.523455832
13,0,0.610436232
14,10,0.462517185
15,30,0.670063067
16,5,0.492322056
17,25,0.406004082
18,0,0.51515735
19,-5,0.503517288
20,-10,0.474530392
21,-20,0.545980028
22,5,0.551503891
23,-35,0.648968146
24,30,0.633689009
25,15,0.587530817
26,10,0.523039318
27,-15,0.523269725
28,0,0.445954859
29,-20,0.554559013
30,0,0.420506028
31,35,0.64909613
32,-15,0.462828065
33,30,0.633964154
34,-20,0.601226782
35,-5,0.482927021
36,0,0.372143642
37,-30,0.64342152
38,-25,0.624058018
39,-20,0.630821697
40,-5,0.492791424
41,-40,0.772765181
42,35,0.614089648
43,-5,0.525050105
44,-30,0.619688178
45,15,0.489171405
46,20,0.576052886
47,-25,0.642612631
48,-25,0.544465495
49,-25,0.554113412
50,15,0.76519139
51,15,0.49106645
52,0,0.425954859
53,-10,0.483543371
54,40,0.775765181
55,15,0.56572593
56,-10,0.33140194
57,40,0.775689348
58,15,0.370977863
59,0,0.502099097
60,-10,0.462389477
61,5,0.362376742
62,20,0.386893208
63,5,0.49260793
64,15,0.464535394
65,-15,0.61798107
66,25,0.572513295
67,0,0.413506028
68,-20,0.542985407
69,10,0.456548836
70,-35,0.677508929
71,-30,0.432188895
72,15,0.574350271
73,-5,0.453872804
74,-40,0.775689348
75,-5,0.447326398
76,-25,0.623555363
77,20,0.583283913
78,-10,0.510753002
79,-30,0.652064189
80,30,0.713693027
81,25,0.61513347
82,0,0.593099097
83,25,0.589999938
84,-10,0.530149127
85,35,0.66316306
86,-5,0.415122544
87,-25,0.54596255
88,25,0.678377974
89,35,0.747443359
90,-30,0.650711741
91,0,0.48224023
92,30,0.563718083
93,-30,0.624829266
94,30,0.623209045
95,25,0.584083872
96,20,0.615566348
97,25,0.60895386
98,-5,0.462768134
99,40,0.733384101
100,5,0.512646022
101,10,0.543326899
102,-10,0.530465856
103,-25,0.4239945
104,-15,0.55387026
105,10,0.402974628
106,0,0.49724023
107,-35,0.649324238
108,-30,0.573619965
109,-35,0.63484036
110,-35,0.621747147
111,20,0.669852995
112,35,0.426299569
113,35,0.697004867
114,10,0.572529907
115,5,0.493674218
116,30,0.543095328
117,-30,0.613695106
118,-30,0.652476724
119,-25,0.722103996
120,5,0.435949112
121,5,0.472677436
122,0,0.322180244
123,-10,0.552123624
124,10,0.454370333
125,0,0.368880656
126,10,0.428919644
127,20,0.50344292
128,-10,0.650344407
129,0,0.322180244
130,30,0.643333439
131,-20,0.52737777
132,30,0.434436121
133,25,0.441478227
134,-25,0.486525152
135,-15,0.436780782
136,0,0.344880656
137,20,0.550551728
138,25,0.58362537
139,-35,0.603128386
140,-20,0.57465597
141,-35,0.671138063
142,0,0.421430463
143,35,0.751133385
144,5,0.423074768
145,-15,0.577130944
146,-15,0.447859551
147,5,0.575861222
148,15,0.408713469
149,20,0.536108563
150,-5,0.55337842
151,10,0.565593151
152,-20,0.415502048
153,-20,0.650748501
154,-35,0.485794589
155,20,0.477238976
156,-15,0.591223605
157,30,0.66582988
158,-15,0.57566366
159,0,0.393430463
160,40,0.68795021
161,-35,0.65391088
162,40,0.703702818
163,-40,0.742384101
164,-25,0.565280814
165,-20,0.493090268
166,15,0.507238635
167,25,0.665572407
168,40,0.590010079
169,-40,0.643695021
170,40,0.578599905
171,-40,0.715702818
172,-40,0.634010079
173,40,0.622059273
174,0,0.527437864
175,-40,0.589599905
176,-40,0.647059273
177,40,0.568523602
178,40,0.695077377
179,-40,0.563523602
180,-40,0.724077377
