TrialNumber,Eccentricity,ReactionTime_s_
1,-35,0.3311418
2,-15,0.3973529
3,-35,0.3295783
4,0,0.3211433
5,-15,0.4053219
6,-15,0.3735333
7,-25,0.4301871
8,-20,0.4849183
9,-15,0.5120788
10,-5,0.4379489
11,-35,0.382639
12,0,0.4480533
13,-35,0.4641471
14,-25,0.4077673
15,0,0.4027981
16,-15,0.3324683
17,-15,0.3525594
18,0,0.3507793
19,0,0.3464283
20,-40,0.4088502
21,-30,0.3397492
22,-25,0.3208617
23,-5,0.3856432
24,-30,0.3303499
25,-35,0.4292488
26,-10,0.3381186
27,-30,0.4127709
28,-35,0.4327258
29,-40,0.4191758
30,-30,0.4346519
31,-40,0.515786
32,-15,0.4517447
33,-5,0.4320654
34,-10,0.3752475
35,0,0.3702019
36,-5,0.3122927
37,-10,0.3480043
38,-5,0.394083
39,-20,0.368013
40,-40,0.4013216
41,-35,0.4291436
42,0,0.3765293
43,-10,0.3594964
44,-30,0.3650033
45,-20,0.3517623
46,-20,0.3757905
47,-15,0.3571329
48,-30,0.3547769
49,0,0.3270528
50,-25,0.3322966
51,-10,0.3818073
52,-25,0.3521182
53,0,0.3253857
54,-25,0.4353123
55,-20,0.37271
56,-35,0.386144
57,-35,0.4804252
58,-20,0.4102474
59,-20,0.3460363
60,-5,0.3874458
61,-20,0.4557166
62,-40,0.4384885
63,-20,0.3791856
64,-10,0.3495362
65,-30,0.4943681
66,-30,0.4413145
67,-15,0.3841295
68,-25,0.3728764
69,-35,0.3810429
70,-25,0.4641182
71,-5,0.3784687
72,0,0.3374682
73,-5,0.3557042
74,-10,0.3376209
75,-5,0.3753449
76,-10,0.377332
77,-40,0.4747187
78,-15,0.33228
79,-30,0.3616919
80,-25,0.3415348
81,-40,0.4427729
82,-40,0.4642724
83,-40,0.3978387
84,-10,0.3976756
85,-25,0.3844052
86,-5,0.4023463
87,-40,0.4900426
88,-30,0.3849334
89,-20,0.3883363
90,-10,0.445065
91,35,0.5086921
92,0,0.3156481
93,15,0.300019
94,15,0.3093149
95,40,0.795928
96,0,0.3161725
97,15,0.3751816
98,40,0.3963229
99,25,0.3243868
100,20,0.3287874
101,15,0.4133972
102,0,0.3767462
103,25,0.3860217
104,30,0.4640537
105,30,0.4220143
106,10,0.3231485
107,30,0.46075
108,10,0.3399141
109,15,0.2829343
110,0,0.4051329
111,5,0.3118941
112,15,0.4533608
113,35,0.3511402
114,25,0.39627
115,20,0.4179193
116,5,0.4002741
117,10,0.3655184
118,20,0.3838333
119,25,0.3626691
120,35,0.4477134
121,10,0.3367514
122,25,0.3260133
123,30,0.3458613
124,25,0.4380558
125,40,0.4418534
126,5,0.404408
127,30,0.3831354
128,30,0.4057204
129,35,0.3771244
130,35,0.3718817
131,20,0.3360767
132,5,0.3126588
133,0,0.3569129
134,20,0.373516
135,0,0.3496646
136,20,0.3445203
137,40,0.4051141
138,10,0.3414031
139,35,0.3913943
140,40,0.3573357
141,35,0.3879731
142,30,0.3629917
143,40,0.4647345
144,0,0.3561005
145,30,0.3277707
146,5,0.3893961
147,25,0.402169
148,40,0.5196901
149,0,0.3597911
150,5,0.3622533
151,15,0.3605859
152,20,0.4048557
153,40,0.4513874
154,5,0.3799118
155,10,0.3754828
156,35,0.3118152
157,15,0.4467614
158,30,0.3827763
159,5,0.4182317
160,15,0.3011037
161,25,0.3657252
162,30,0.3983937
163,20,0.3872691
164,10,0.4116245
165,15,0.4228679
166,25,0.3958193
167,5,0.3414513
168,0,0.3787251
169,35,0.5057214
170,5,0.4051172
171,10,0.4300246
172,25,0.3713108
173,20,0.4029845
174,10,0.3165021
175,40,0.3523929
176,0,0.4361652
177,10,0.3025957
178,35,0.4090859
179,40,0.5589054
180,20,0.4757184
