TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.582495527
2,-40,0.510809057
3,-40,0.625229324
4,-25,0.453820217
5,-5,0.405223093
6,0,0.466480247
7,-5,0.483995422
8,-30,0.511243319
9,-40,0.721856165
10,-15,0.676833915
11,-30,0.567869173
12,-30,0.482571547
13,-35,0.454593355
14,-30,0.533932814
15,-10,0.504517873
16,-35,0.486779567
17,-35,0.576191202
18,-10,0.404475219
19,-15,0.368114842
20,-5,0.415815437
21,-25,0.636398576
22,-5,0.663639293
23,-15,0.453820025
24,-5,0.385360535
25,-40,0.495008759
26,-20,0.424950265
27,-40,0.461070574
28,-20,0.766032175
29,-10,0.465712431
30,0,0.355363127
31,-40,0.7017227
32,-35,0.539101328
33,-15,0.624721998
34,-15,0.400906585
35,-10,0.370617286
36,-10,0.569630258
37,-35,0.563050092
38,-15,0.519478856
39,-35,0.645853925
40,0,0.341567514
41,-40,0.785791712
42,-35,0.526716083
43,-5,0.474489158
44,0,0.440508435
45,0,0.495023611
46,-30,0.536657403
47,-20,0.484026674
48,-15,0.486855657
49,-40,0.575929327
50,-10,0.431773254
51,-10,0.492872777
52,-15,0.406892393
53,-15,0.385563241
54,-20,0.45602422
55,-40,0.717887436
56,-20,0.483546386
57,-35,0.541991281
58,-5,0.492052057
59,-20,0.496260534
60,-5,0.468502297
61,-30,0.52267198
62,-20,0.457112863
63,-10,0.456678881
64,-25,0.497724472
65,0,0.444928666
66,-30,0.487082477
67,-20,0.419544473
68,-25,0.367808927
69,-35,0.565931151
70,-35,0.500187963
71,-25,0.499510766
72,-30,0.499450727
73,-40,0.787235692
74,0,0.428108155
75,-5,0.437487675
76,-25,0.54920282
77,-25,0.441615632
78,0,0.350786189
79,0,0.330024078
80,-30,0.610415629
81,-10,0.425765123
82,-20,0.422189177
83,-15,0.404433342
84,-25,0.543753161
85,-30,0.484831793
86,-20,0.516247514
87,-10,0.460660443
88,-25,0.745964366
89,-5,0.418686815
90,-25,0.533044208
91,0,0.721938956
92,0,0.415608897
93,35,0.512088151
94,15,0.580297209
95,40,0.786105675
96,20,0.461519885
97,25,0.388986586
98,10,0.427942984
99,30,0.412355268
100,40,0.506652934
101,10,0.304166044
102,25,0.380634957
103,5,0.399210892
104,10,0.455331302
105,0,0.47290144
106,20,0.444199683
107,15,0.324562411
108,10,0.449924599
109,0,0.505913419
110,25,0.479104834
111,10,0.422930941
112,5,0.379897331
113,20,0.40661369
114,35,0.374711885
115,35,0.487922184
116,30,0.454869516
117,30,0.842779145
118,30,0.437444254
119,35,0.43737045
120,15,0.429212261
121,30,0.667183776
122,15,0.512231043
123,20,0.549081312
124,25,0.363291614
125,30,0.480198716
126,15,0.401006932
127,5,0.390537428
128,5,0.307805564
129,5,0.405158447
130,30,0.582269923
131,15,0.334569579
132,40,0.483834555
133,40,0.427788687
134,35,0.443255983
135,5,0.338654413
136,5,0.307934404
137,25,0.380514578
138,0,0.389776782
139,10,0.335746074
140,10,0.33568393
141,30,0.457309403
142,10,0.431024293
143,10,0.375711835
144,30,0.443277022
145,35,0.57335756
146,0,0.398226292
147,40,0.491218966
148,5,0.345987163
149,20,0.420076067
150,20,0.465838814
151,25,0.461962149
152,10,0.376126919
153,0,0.566177695
154,5,0.403626063
155,15,0.585437486
156,25,0.384410833
157,20,0.461454802
158,40,0.480279035
159,15,0.456873856
160,40,0.454972405
161,15,0.418007759
162,35,0.502249739
163,35,0.545873628
164,35,0.422113393
165,0,0.439515119
166,25,0.485344694
167,15,0.4287457
168,25,0.475114933
169,40,0.522792344
170,30,0.358420828
171,20,0.450555389
172,5,0.503327652
173,40,0.664882606
174,20,0.427641946
175,40,0.438337715
176,0,0.471236484
177,35,0.48820058
178,0,0.38400991
179,25,0.462958618
180,20,0.40254737
