TrialNumber,Eccentricity,ReactionTime_s_
1,-20,0.5946968
2,10,0.6465179
3,5,0.643067
4,5,0.4378194
5,-25,0.6693481
6,-40,0.8207492
7,25,0.8290284
8,-20,0.4544582
9,5,0.3804251
10,-30,0.5841878
11,0,0.4561406
12,0,0.3569552
13,-10,0.7256422
14,30,0.6238672
15,40,1.4378339
16,-30,0.6670877
17,25,0.5249649
18,25,0.4717229
19,20,0.647077
20,15,0.6436157
21,-40,0.6026148
22,-10,0.5856358
23,15,0.6493545
24,35,0.5779287
25,-15,0.5545246
26,5,0.4910545
27,-5,0.5132845
28,-15,0.59359
29,-20,0.4890928
30,0,0.5273726
31,25,0.7332921
32,-20,0.5612894
33,40,0.6760306
34,20,0.5735282
35,40,0.7418528
36,-15,0.634417
37,-25,0.6151948
38,-40,0.5914058
39,5,0.586523
40,30,0.6352291
41,-10,0.439115
42,-35,1.126257
43,-40,0.6519477
44,30,0.6107408
45,0,0.527403
46,-5,0.6664271
47,-15,0.42874
48,-10,0.6016392
49,35,0.3949615
50,35,0.8728597
51,-15,0.5994903
52,-35,0.7387545
53,-40,0.7650461
54,-5,1.0195119
55,10,0.7037791
56,-20,0.5745525
57,15,0.7596528
58,30,0.6112958
59,-25,0.5466586
60,40,0.6445871
61,-5,0.5545729
62,0,0.5269149
63,10,0.6202385
64,-25,0.6041626
65,-35,0.5237815
66,-10,0.6546288
67,-5,0.5536704
68,-35,0.6294061
69,10,0.4876267
70,25,0.6208344
71,-35,0.7215347
72,30,0.5446277
73,0,0.6579443
74,-10,0.6602552
75,-10,0.5649536
76,-20,0.5341068
77,-5,0.4774087
78,15,0.495699
79,-25,0.6357614
80,-15,0.5042513
81,0,0.4644018
82,-40,0.5609108
83,10,0.4953877
84,15,0.5122035
85,-5,0.5070259
86,35,0.5769502
87,35,0.6175376
88,20,0.6513161
89,40,0.8861715
90,20,0.5521992
91,-30,0.7012553
92,-35,0.6631554
93,-15,0.4588458
94,10,0.5443787
95,-5,0.9331316
96,40,0.7938659
97,-35,0.7133317
98,25,0.5736758
99,-25,0.6198888
100,0,0.447133
101,5,0.4797059
102,5,0.5080599
103,40,0.5530633
104,-35,0.645145
105,-30,0.6000748
106,40,0.4613413
107,0,0.4760112
108,15,0.4634041
109,30,0.6535646
110,35,0.6215535
111,20,0.8029286
112,20,0.7994398
113,10,0.4966168
114,0,0.5971411
115,-20,0.5118666
116,-25,0.4241202
117,35,0.4940916
118,-35,0.5803644
119,-40,0.6167708
120,-40,0.6598784
121,0,0.4988435
122,30,0.6852985
123,0,0.5509905
124,0,0.5143851
125,40,0.4418478
126,10,0.4977326
127,-20,0.5372322
128,-15,0.4789513
129,10,0.5180201
130,-30,0.4101569
131,0,0.514994
132,30,0.5466187
133,25,0.5856088
134,20,0.3930146
135,-25,0.536801
136,5,0.489797
137,40,0.6924299
138,-40,0.5579303
139,-40,0.6176184
140,-15,0.6145119
141,10,0.4505388
142,20,0.447773
143,25,0.4175199
144,-30,0.5637319
145,20,0.444879
146,-30,0.6138619
147,0,0.5599198
148,0,0.3865244
149,-30,0.4857371
150,20,0.4604348
151,30,0.3690933
152,-10,0.5962829
153,-30,0.3768467
154,15,0.4659707
155,35,0.4828898
156,-30,0.6653583
157,-15,0.5249419
158,25,0.4777709
159,35,0.6194414
160,25,0.6834941
161,-25,0.6028682
162,-35,0.6218743
163,15,0.620755
164,15,0.5464211
165,15,0.4421868
166,5,0.6065091
167,0,0.5143867
168,-20,0.6319441
169,5,0.5347972
170,0,0.4927481
171,-5,0.593025
172,-10,0.4596435
173,-10,0.4937428
174,35,0.5559749
175,-5,0.5410283
176,30,0.649501
177,0,0.5634276
178,-25,1.2327868
179,0,0.6233304
180,-20,0.6236136
