TrialNumber,Eccentricity,ReactionTime_s_
1,25,0.4760569
2,35,0.5919035
3,15,0.3897207
4,20,0.4178616
5,15,0.5002633
6,30,0.5007844
7,5,0.4198287
8,10,0.4117956
9,25,0.4982077
10,20,0.3470505
11,10,0.4292376
12,20,0.5599097
13,15,0.3378595
14,30,0.4325645
15,0,0.4749471
16,0,0.4197818
17,15,0.6504034
18,10,0.3765675
19,10,0.4301915
20,35,0.5093629
21,10,0.3832136
22,40,0.4070244
23,30,0.4977443
24,30,0.3778672
25,25,0.4284703
26,0,0.4248883
27,10,0.3867105
28,25,0.4071221
29,30,0.5287072
30,5,0.4753426
31,40,0.5460344
32,5,0.5761899
33,15,0.4080231
34,40,0.3629366
35,20,0.4850041
36,20,0.3372146
37,0,0.4771894
38,0,0.4273603
39,30,0.5500128
40,40,0.5169059
41,25,0.4295914
42,10,0.3849538
43,15,0.4273682
44,10,0.32035
45,40,0.3656783
46,30,0.3205717
47,0,0.4491177
48,20,0.3558066
49,35,0.3528108
50,35,0.5344935
51,0,0.4501264
52,35,0.3427645
53,30,0.4362578
54,15,0.4829806
55,40,0.3735226
56,5,0.389301
57,5,0.388266
58,40,0.706661
59,5,0.3627091
60,35,0.4239922
61,20,0.5627098
62,20,0.3404662
63,40,0.4667464
64,10,0.4188153
65,0,0.3991136
66,40,0.3602524
67,35,0.4601897
68,5,0.50104
69,35,0.535555
70,15,0.4050754
71,25,0.3869853
72,0,0.4546168
73,20,0.4775311
74,5,0.3878672
75,20,0.5166393
76,35,0.5100198
77,10,0.4418255
78,30,0.3303317
79,25,0.3050464
80,25,0.4364473
81,15,0.4940973
82,35,0.6430346
83,30,0.4327256
84,5,0.3855196
85,5,0.4754946
86,40,0.4422375
87,25,0.3876267
88,0,0.5080651
89,25,0.5909529
90,15,0.4743154
91,-40,0.6177052
92,-5,0.5558544
93,-15,0.3730238
94,0,0.4354466
95,-20,0.4601361
96,-30,0.4129563
97,-25,0.3675542
98,-25,0.4107951
99,-5,0.4168653
100,-40,0.4200592
101,-35,0.3998324
102,-40,0.5127405
103,-5,0.3544675
104,-10,1.2998284
105,-25,0.3878801
106,-35,0.4457408
107,-5,0.4496379
108,-40,0.4863286
109,-15,0.3735765
110,0,0.3652768
111,-20,0.5214439
112,0,0.5790008
113,-10,0.4108979
114,-40,0.5382911
115,-25,0.4622235
116,0,0.5133255
117,-15,0.5116128
118,-30,0.5820389
119,-20,0.3733303
120,-35,0.522233
121,-15,0.4259676
122,-40,0.4509736
123,-35,0.4210302
124,-20,0.4577861
125,-20,0.3791672
126,0,0.3964532
127,-35,0.510426
128,-10,0.4183493
129,-35,0.4514174
130,-25,0.4810432
131,-15,0.4067318
132,-10,0.4285865
133,-20,0.5345084
134,-35,0.4849895
135,-10,0.5618203
136,-5,0.4254246
137,-25,0.3742364
138,-5,0.4510094
139,-25,0.4195661
140,-25,0.4060077
141,-30,0.4533718
142,-30,0.3925087
143,-30,0.3426542
144,-30,0.5288653
145,-15,0.541716
146,-25,0.4315401
147,-40,0.3955682
148,-40,0.4767549
149,-35,0.4858898
150,-5,0.4856033
151,-20,0.3771691
152,-10,0.436826
153,-20,0.4284133
154,-30,0.4630523
155,-20,0.5092188
156,-30,0.4267656
157,-10,0.4887732
158,0,0.4594697
159,-30,0.4765899
160,-10,0.5725905
161,0,0.4442793
162,-5,0.3617798
163,-15,0.3842958
164,-35,0.461002
165,-5,0.4923623
166,-15,0.3837278
167,-25,0.3832849
168,-30,0.4202844
169,0,0.5772579
170,-40,0.5078369
171,0,0.5810828
172,-15,0.7474605
173,-20,0.431001
174,0,0.4689024
175,-40,0.4823607
176,-5,0.7145759
177,-15,0.5068519
178,-35,0.4241341
179,-10,0.4775499
180,-10,0.3567356
