TrialNumber,Eccentricity,ReactionTime_s_
1,-10,0.451096236
2,-40,0.460798742
3,25,0.486813797
4,0,0.412894874
5,0,0.391890033
6,-15,0.610898932
7,-30,0.511129362
8,40,0.597455997
9,25,0.584325801
10,-25,0.549457505
11,-40,0.537446565
12,0,0.487360903
13,0,0.584401587
14,25,0.531346611
15,-15,0.442961866
16,30,0.502354315
17,-35,0.479923619
18,-40,0.476153638
19,-25,0.484091624
20,-35,0.623525238
21,-30,0.430602741
22,5,0.650918288
23,0,0.57123581
24,-25,0.447310065
25,-10,0.48204258
26,20,0.44773806
27,35,0.503779265
28,25,0.44617886
29,-10,0.767388699
30,35,0.396346111
31,20,0.5134037
32,-15,0.396721539
33,30,0.524272964
34,-40,0.493768477
35,-25,0.386277551
36,10,0.679177705
37,10,0.59658301
38,15,0.563988004
39,-35,0.566361049
40,-5,0.39154243
41,-15,0.492497664
42,40,0.453194211
43,0,0.417544899
44,-10,0.360450006
45,-30,0.563928944
46,-15,0.368327962
47,-5,0.949215761
48,20,0.442095664
49,-30,0.494576563
50,35,0.773344721
51,35,0.428413332
52,5,0.378561351
53,40,0.541047018
54,10,0.383545308
55,-25,0.353682006
56,20,0.407032361
57,35,0.409498232
58,-25,0.366736743
59,-35,0.444380117
60,10,0.322010414
61,-35,0.621683649
62,35,0.568598235
63,0,0.360418074
64,5,0.403760852
65,-25,0.424575172
66,5,0.387524631
67,25,0.605580893
68,-25,0.455330516
69,35,0.458245523
70,-20,0.381288992
71,-30,0.36507062
72,-20,0.449782799
73,-30,0.413716092
74,-15,0.506457934
75,0,0.539634686
76,-30,0.445857322
77,40,0.464964625
78,0,0.390664783
79,-5,0.408894879
80,35,0.605072767
81,30,0.519599118
82,-5,0.713541027
83,-10,0.360729949
84,5,0.478598655
85,25,0.470434462
86,30,0.496275959
87,30,0.457963396
88,20,0.636395682
89,-15,0.510817125
90,-5,0.461639942
91,30,0.498371447
92,40,0.485247101
93,0,0.453665288
94,40,0.548597156
95,25,0.518766517
96,0,0.466740049
97,10,0.33578282
98,20,0.681416144
99,-30,0.624313347
100,0,0.427842053
101,-5,0.45711654
102,-10,0.521024207
103,0,0.461289498
104,-5,0.467536918
105,-5,0.446862524
106,40,0.486641546
107,-20,0.501888964
108,15,0.582078535
109,-40,0.556976661
110,0,0.561032994
111,-10,0.525767431
112,15,0.446775872
113,-35,0.512416203
114,-40,0.51838365
115,20,0.483832338
116,40,0.533560018
117,-25,0.427729525
118,5,0.412344428
119,10,0.372268625
120,-20,0.433336444
121,-35,0.519306867
122,10,0.624696721
123,25,0.512212033
124,40,0.610318936
125,-10,0.567043481
126,5,0.561359893
127,-15,0.529158375
128,15,0.421036147
129,-20,0.414444473
130,-20,0.514890182
131,0,0.411820373
132,-40,0.490965001
133,-20,0.444121681
134,20,0.404029322
135,0,0.443875299
136,-20,0.45508758
137,-10,0.431192439
138,5,0.615013443
139,0,0.489271127
140,25,0.621960411
141,15,0.422502369
142,-40,0.483097946
143,-15,0.390932773
144,5,0.654741261
145,-30,0.56957063
146,-25,0.486377967
147,15,0.441577023
148,0,0.40426939
149,5,0.385828295
150,15,0.43700791
151,-30,0.475500784
152,40,0.46325682
153,35,0.548215776
154,-10,0.476660238
155,20,0.470511278
156,-20,0.483278876
157,30,0.505401683
158,-15,0.429568092
159,30,0.524894033
160,35,0.548316402
161,10,0.406822414
162,15,0.42414718
163,20,0.362137491
164,15,0.327950606
165,30,0.702909411
166,-5,0.61441922
167,-35,0.514601076
168,30,0.507417429
169,-40,0.491028362
170,0,0.40402661
171,15,0.543462963
172,0,0.487047636
173,-35,0.46266951
174,10,0.535638771
175,-35,0.54682492
176,-40,0.645515529
177,-5,0.495188625
178,25,0.526895778
179,-20,0.51387794
180,10,0.476265555
