TrialNumber,Eccentricity,ReactionTime_s_
1,35,0.5952491
2,-35,0.6859564
3,0,0.6743339
4,-20,0.5029775
5,-15,0.5190708
6,10,0.6323306
7,20,0.46447
8,15,0.3515786
9,0,0.557779
10,5,0.5153302
11,-20,0.4394086
12,40,0.5917551
13,-10,0.8116452
14,10,0.6286311
15,-10,0.6178904
16,40,0.588432
17,5,0.442028
18,-5,0.6228698
19,25,0.4497705
20,-15,0.5655197
21,35,0.6543036
22,-20,0.5095781
23,40,0.6397542
24,-40,0.6007178
25,-5,0.4794007
26,0,0.4762659
27,25,0.6436652
28,30,0.7300602
29,-5,0.5130545
30,-5,0.5552201
31,-10,0.4479291
32,25,0.4418774
33,5,0.3341681
34,15,0.707907
35,30,0.6142948
36,-10,0.4536889
37,-15,0.6710533
38,30,0.7276451
39,0,0.3218657
40,-15,0.4214449
41,-20,0.7851298
42,-40,0.4230629
43,30,0.7254771
44,-30,0.4151536
45,-35,0.6770143
46,30,0.5476795
47,10,0.4284314
48,-15,0.4358666
49,5,0.4247059
50,-30,0.3427379
51,10,0.4542528
52,-30,0.5904395
53,-10,0.7987981
54,35,0.6455442
55,-30,0.4947978
56,15,0.4713362
57,30,0.8237232
58,0,0.5873591
59,-30,0.7769205
60,-15,0.5125627
61,5,0.4890462
62,15,0.5882736
63,0,0.4138836
64,-20,0.5834468
65,-30,0.5471317
66,5,0.6047807
67,-25,0.5767012
68,-30,0.5860462
69,-5,0.5737815
70,-20,0.4507903
71,20,0.6640479
72,0,0.600753
73,15,0.6481415
74,-25,0.6431884
75,-5,0.3878785
76,-30,0.5845941
77,-5,0.5657811
78,-40,0.509056
79,-35,0.5799841
80,0,0.4969824
81,-25,0.5710806
82,20,0.5478078
83,-10,0.5998702
84,35,0.5230484
85,40,0.465815
86,-10,0.4399266
87,10,0.5550625
88,-35,0.4778063
89,35,0.441797
90,0,0.5179227
91,-10,0.4466934
92,10,0.5069866
93,-35,0.5574395
94,5,0.6992368
95,-15,0.5426964
96,-20,0.5938565
97,10,0.5014942
98,-35,0.4986993
99,30,0.5418443
100,0,0.4283798
101,40,0.5413686
102,25,0.4939664
103,25,0.5252542
104,-35,0.5726311
105,-25,0.5542872
106,0,0.5037328
107,30,0.5535537
108,5,0.4501634
109,0,0.6169176
110,20,0.4967015
111,15,0.7643001
112,-10,0.4737475
113,20,0.5256356
114,15,0.6948996
115,5,0.8858807
116,0,0.6059153
117,0,0.6693163
118,35,0.6009743
119,-20,0.54124
120,0,0.5853089
121,15,0.6343383
122,-25,0.9105459
123,10,0.5582666
124,-40,0.5857171
125,-25,0.5978848
126,25,0.5607951
127,-10,0.5469004
128,20,0.5718384
129,-20,0.7906001
130,30,0.6896612
131,10,0.6369941
132,5,0.5951662
133,0,0.4583538
134,25,0.6502533
135,-40,0.5211752
136,-15,0.4820305
137,40,0.4839836
138,-35,0.5827184
139,-25,0.4799973
140,-5,0.525662
141,35,0.4610867
142,0,0.6195332
143,-30,0.4936411
144,40,0.4796961
145,-40,0.4591291
146,-40,0.4580137
147,20,0.7285023
148,-25,0.7125162
149,10,0.6812843
150,25,0.6394903
151,0,0.8293756
152,40,0.6678452
153,-5,0.5182271
154,40,0.4490624
155,-40,0.6518367
156,-5,0.6624347
157,-20,0.4874039
158,-35,0.5797748
159,15,0.5000063
160,-35,0.7169074
161,40,0.4513809
162,-25,0.5648853
163,20,0.7184538
164,0,0.595317
165,-40,0.6550518
166,25,0.7128419
167,0,0.5843137
168,-30,0.5450778
169,30,0.5757915
170,20,0.6968617
171,-15,0.5393496
172,15,0.5612588
173,35,0.8036816
174,35,0.5839039
175,35,0.8566699
176,-15,0.5246902
177,25,0.4842067
178,20,0.4640565
179,-25,0.5171926
180,-40,0.5808219
