TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.2710948
2,-10,0.2748271
3,20,0.1472518
4,-40,0.2532324
5,10,0.2263631
6,40,0.2582334
7,0,0.2321099
8,0,0.2383678
9,-20,0.2382604
10,0,0.2288994
11,30,0.2701334
12,0,0.2341085
13,-40,0.2515922
14,10,0.2257434
15,-30,0.1753357
16,0,0.2351544
17,40,0.3034134
18,0,0.2343561
19,-40,0.3070122
20,20,0.1448182
21,10,0.2714991
22,30,0.265877
23,30,0.2436735
24,30,0.2370116
25,-40,0.3214753
26,-10,0.2118094
27,-40,0.2602839
28,-10,0.1395015
29,30,0.0752313
30,0,0.3070528
31,0,0.2233631
32,-30,0.0971683
33,40,0.2595975
34,-40,0.2635895
35,-10,0.1001666
36,-40,0.2488964
37,40,0.2311219
38,0,0.226785
39,-10,0.2697931
40,-10,0.2694977
41,-30,0.2726633
42,-10,0.2688586
43,-10,0.2408198
44,-30,0.2679502
45,-30,0.2332959
46,0,0.2474733
47,20,0.2355264
48,0,0.2311944
49,30,0.2477166
50,0,0.1853292
51,30,0.2008456
52,-20,0.2262696
53,20,0.273347
54,10,0.358641
55,-30,0.286402
56,10,0.2403373
57,10,0.0796019
58,-30,0.0182198
59,-20,0.0916042
60,10,0.2294747
61,-40,0.2689305
62,-20,0.2601208
63,10,0.241886
64,-30,0.2493232
65,-20,0.258692
66,30,0.211575
67,-40,0.2571458
68,0,0.1590702
69,0,0.2346895
70,-20,0.1920949
71,40,0.270368
72,-20,0.2880643
73,20,0.2626482
74,-20,0.2156747
75,0,-0.05053
76,10,0.0889172
77,40,0.1976935
78,10,0.1839231
79,-30,0.2572686
80,-40,0.2174864
81,20,0.2558617
82,40,-0.055268
83,40,0.295193
84,-20,0.0389511
85,20,0.1905547
86,40,0.3812128
87,-10,0.2244194
88,20,0.1150763
89,30,0.215842
90,40,0.1261854
91,0,0.1061399
92,0,0.2524409
93,0,0.1616349
94,20,0.2323791
95,-30,0.00473460000000001
96,-20,0.0013899
97,-10,0.1076871
98,0,0.1955549
99,0,0.1091622
100,20,0.1963566
