TrialNumber,Eccentricity,ReactionTime_s_
1,10,0.1817411
2,-10,0.1334449
3,-30,0.1975644
4,-30,0.1371549
5,-30,0.0387745
6,0,0.1594257
7,0,0.1629043
8,0,0.150194
9,-20,0.1658879
10,-10,0.1522554
11,40,0.1462152
12,0,0.1350557
13,-20,0.1795227
14,0,0.1632233
15,20,0.1788661
16,-10,0.1562237
17,-20,0.1677591
18,10,0.1815024
19,-20,0.188563
20,0,0.1924248
21,40,0.3176187
22,0,0.1936724
23,-40,0.1826828
24,-40,0.1673552
25,40,0.1501256
26,20,0.1374299
27,-20,-0.0451368
28,20,0.1550763
29,0,0.1674219
30,40,0.3356857
31,-10,0.344905
32,0,0.1741195
33,30,0.1832594
34,0,0.183389
35,-20,0.1624356
36,30,0.1730804
37,-40,0.045427
38,10,0.1717741
39,-30,0.3074715
40,-10,0.1683678
41,0,0.156533
42,30,0.1605043
43,-40,0.1966609
44,40,0.1486165
45,20,0.1640803
46,0,0.1863821
47,-40,0.2377402
48,20,0.1696034
49,10,0.176941
50,20,0.19785
51,30,0.1668154
52,-10,0.2115765
53,10,0.1856443
54,-40,0.1790472
55,-30,0.1740963
56,-20,0.1715576
57,0,0.1773222
58,-10,0.1585028
59,30,0.1634614
60,-40,0.1876349
61,20,0.1716521
62,-30,0.1729251
63,10,0.1656501
64,30,0.1778657
65,-30,0.1594015
66,20,0.1295923
67,0,0.2143043
68,-10,0.1821894
69,-20,0.0630455
70,-30,0.1195043
71,30,0.1944761
72,30,0.1806433
73,-20,0.1631988
74,-40,0.1656202
75,40,0.2130495
76,-30,0.1796515
77,0,0.1737119
78,0,0.1769517
79,10,0.1722746
80,-10,0.1714552
81,40,0.2017246
82,0,0.1898973
83,-20,0.2003111
84,-30,0.2021666
85,20,0.1874813
86,30,0.1711647
87,40,0.2022042
88,10,0.2104288
89,40,0.1768777
90,0,0.2315033
91,0,0.1991228
92,-10,0.1905374
93,0,0.1997667
94,40,0.1940459
95,20,0.1678001
96,10,0.179004
97,-40,0.2477497
98,-40,0.2280613
99,30,0.2096199
100,10,0.1878998
