TrialNumber,Eccentricity,ReactionTime_s_
1,-30,0.8026796
2,-20,0.7042893
3,-30,0.3365821
4,-30,0.3880642
5,-30,0.2796726
6,-40,0.2389763
7,-30,0.1688666
8,-20,0.2945578
9,0,0.1736457
10,-30,0.2914623
11,-10,0.2099916
12,-40,0.18393
13,-10,0.187245
14,0,0.1894923
15,-20,0.2074496
16,-10,0.202369
17,-10,0.1902946
18,0,0.1650783
19,-10,0.1146763
20,-30,0.1689148
21,0,0.1604562
22,-20,0.1787097
23,-30,0.1771138
24,-20,0.1903187
25,-20,0.2886657
26,-40,0.1463038
27,-20,0.2687514
28,-40,0.2306199
29,0,0.2355349
30,-10,0.2152016
31,-20,0.2279791
32,-40,0.2714145
33,0,0.3128014
34,-20,0.155088
35,0,0.2125572
36,0,0.2446258
37,-10,0.1889374
38,0,0.3303036
39,-40,0.2856819
40,-40,0.2460882
41,-40,0.3014556
42,-40,0.3582522
43,0,0.2940097
44,-30,0.2959666
45,-40,0.2719694
46,-20,0.2402858
47,-10,0.2920882
48,-10,0.3090962
49,-10,0.2395596
50,-30,0.3603999
51,0,0.2563774
52,0,0.2965691
53,10,0.2029589
54,30,0.2428853
55,10,0.3457745
56,10,0.2222333
57,30,0.3635696
58,20,0.2153329
59,10,0.7381339
60,40,0.2854446
61,0,0.2660277
62,40,0.3304521
63,40,0.2340469
64,30,0.2654619
65,20,0.2532116
66,40,0.3061189
67,0,0.3863107
68,10,0.2212886
69,20,0.2491799
70,20,0.2304679
71,10,0.2428646
72,40,0.2413172
73,20,0.2721425
74,30,0.2822699
75,40,0.2475088
76,30,0.2950994
77,10,0.34035
78,40,0.2239214
79,10,0.2883762
80,40,0.3022036
81,20,0.2010873
82,30,0.2449526
83,30,0.6480607
84,0,0.3552978
85,0,0.2608998
86,0,0.2081454
87,0,0.2063683
88,0,0.17961
89,20,0.2796627
90,20,0.283167
91,30,0.0898757
92,40,0.3002832
93,20,0.2859783
94,0,0.2861478
95,30,0.214037
96,30,0.2098186
97,20,0.1869534
98,10,0.2234578
99,40,0.2292658
100,10,0.2235905
