TrialNumber,Eccentricity,ReactionTime_s_
1,-10,0.222714245
2,-20,0.274525048
3,10,0.154327558
4,0,0.18011206
5,-10,-0.001970145
6,10,0.103356298
7,40,0.014076962
8,0,0.269623225
9,-20,0.028698029
10,40,0.182277857
11,20,0.174240091
12,0,0.171254612
13,40,0.1106097
14,-10,0.061341198
15,-20,0.201178064
16,20,0.170149116
17,10,0.137776479
18,10,0.031835871
19,-40,0.04007359
20,10,-0.003835377
21,-10,0.123965876
22,-20,0.03697871
23,-40,0.36346743
24,0,0.200498455
25,20,0.095702543
26,-20,0.22278216
27,-20,0.172011782
28,-10,0.072728474
29,-20,0.156956832
30,-30,0.192458467
31,20,0.137669689
32,-30,0.16082379
33,20,0.130767604
34,10,-0.038921207
35,0,0.159168149
36,30,0.020925599
37,0,0.170846368
38,0,0.160094981
39,-40,0.090567988
40,0,0.305414131
41,20,0.239776307
42,-30,0.133988192
43,-30,0.121703267
44,-10,0.171741294
45,30,0.152959972
46,30,0.169058227
47,0,0.081207672
48,0,-0.035553034
49,-40,0.195223651
50,-30,0.219953454
51,-10,0.01114034
52,0,0.178632684
53,-40,0.344368239
54,20,0.082668168
55,40,0.143917037
56,-40,0.202029341
57,10,0.19994956
58,40,0.414285453
59,40,0.333290528
60,20,0.010679229
61,10,0.207426655
62,-30,0.188439566
63,30,-0.02704066
64,0,0.120502291
65,0,0.038887177
66,0,0.123800945
67,-20,0.061690476
68,-40,0.18291497
69,-30,0.25906386
70,-30,0.189449703
71,20,0.012231327
72,30,0.133025032
73,0,0.142362486
74,-20,0.333942071
75,0,-0.014862611
76,40,-0.007024351
77,-40,0.057583785
78,30,0.195142005
79,40,0.155499114
80,-20,0.172753295
81,10,0.195006619
82,0,0.17520012
83,40,0.012115573
84,20,-0.040214852
85,-10,0.010453054
86,-40,0.196390525
87,30,0.090038243
88,30,0.350245325
89,-40,0.194278469
90,-30,0.005086647
91,0,0.039379624
92,30,0.202354492
93,10,0.128121477
94,-10,0.023960106
95,40,0.358962443
96,-30,0.283015557
97,-10,0.206756673
98,0,0.179804708
99,0,0.148427426
100,30,0.176514077
