TrialNumber,Eccentricity,ReactionTime_s_
1,20,0.492363667
2,0,0.335650708
3,-20,0.351386042
4,0,0.386200166
5,0,0.365106083
6,0,0.291294
7,0,0.269591583
8,-10,0.366830458
9,0,0.312151791
10,20,0.311728083
11,-10,0.292147375
12,-40,0.297621833
13,30,0.362523041
14,-20,0.335277625
15,-30,0.299911875
16,0,0.348745958
17,10,0.306407166
18,-20,0.302220208
19,20,0.307408417
20,0,0.246529208
21,30,0.3635405
22,-40,0.375376541
23,-10,0.35708325
24,-20,0.1372315
25,30,0.288629833
26,40,0.278736417
27,-40,0.281785333
28,-10,0.295436958
29,10,0.323808541
30,40,0.2764135
31,40,0.253590667
32,-40,0.251223042
33,-30,0.314987709
34,30,0.272768334
35,20,0.295345833
36,10,0.332707667
37,0,0.286221
38,-10,0.292380416
39,20,0.302096375
40,40,0.255886375
41,10,0.266675708
42,-20,0.294063416
43,-30,0.239648583
44,20,0.264902333
45,-10,0.284110834
46,40,0.271524417
47,30,0.236406375
48,-30,0.309224875
49,10,0.204399
50,30,0.279916
51,0,0.25816325
52,10,0.25168925
53,10,0.267602291
54,20,0.278721458
55,-30,0.801181792
56,0,0.274467708
57,20,0.258662625
58,20,0.268074584
59,10,0.30763175
60,-40,0.257383125
61,40,0.292323084
62,0,0.343560583
63,-40,0.335903625
64,30,0.244943416
65,20,0.231211833
66,-20,0.268487209
67,30,0.360473584
68,-40,0.263126666
69,0,0.253363167
70,-30,0.279248916
71,-30,0.092580583
72,0,0.259842166
73,-20,0.3132055
74,-10,0.235849958
75,40,0.041257917
76,-10,0.251970375
77,10,0.268538375
78,-40,0.248636375
79,0,0.257137875
80,10,-0.009026625
81,-10,0.317730667
82,-30,0.329979375
83,-10,0.271015375
84,0,0.264624833
85,30,0.380939542
86,0,0.293674375
87,-20,0.27368375
88,-40,0.312929625
89,0,0.352019459
90,-20,0.302809875
91,0,0.374584166
92,40,0.37512825
93,40,0.116180375
94,-40,0.269560541
95,0,0.255622
96,40,0.324077083
97,-30,0.291246167
98,30,0.026443792
99,-30,0.320163042
100,-20,0.409340333
