TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.1738372
2,0,0.3459102
3,0,0.3154057
4,10,0.1393091
5,30,0.2105592
6,10,0.2557744
7,0,0.2410233
8,20,0.2225149
9,40,0.2377316
10,10,0.3010594
11,10,0.1786322
12,10,0.1661135
13,20,0.1778283
14,20,0.1912287
15,10,0.2121613
16,30,0.187668
17,40,0.2079411
18,20,0.1963613
19,0,0.2439122
20,10,0.1612401
21,0,0.2418147
22,40,0.1861873
23,10,0.2020322
24,30,0.1794486
25,30,0.2517296
26,0,0.1974234
27,30,0.3324717
28,40,0.1663679
29,20,0.1767684
30,40,0.2062747
31,0,0.3025116
32,10,0.1803644
33,40,0.1646611
34,0,0.2934695
35,20,0.2130262
36,30,0.1730645
37,30,0.2005196
38,40,0.1832565
39,30,0.1849567
40,40,0.1998459
41,20,0.1663239
42,20,0.213458
43,40,0.1862031
44,10,0.365822
45,20,0.1836414
46,20,0.1882177
47,0,0.1880648
48,30,0.1997725
49,40,0.2168045
50,0,0.2184073
51,-40,0.3735259
52,-40,0.2048656
53,-40,0.2003879
54,-30,0.1966726
55,-20,0.1882642
56,-20,0.1909669
57,-20,0.1787769
58,-10,0.1995146
59,0,0.2077054
60,-10,0.1898933
61,-10,0.3278066
62,-30,0.1806242
63,0,0.1886317
64,-20,0.1779792
65,0,0.2939531
66,0,0.1614187
67,-40,0.2475367
68,-10,0.1841576
69,-10,0.170542
70,-20,0.1983775
71,-10,0.2010248
72,-40,0.2423137
73,-20,0.1903956
74,-10,0.1936385
75,-20,0.1842584
76,-20,0.198931
77,-40,0.1977173
78,-20,0.1534357
79,0,0.1665909
80,-10,0.1989414
81,-30,0.1707091
82,-30,0.2114801
83,0,0.1639589
84,-10,0.1651968
85,-40,0.201904
86,0,0.2239451
87,-30,0.2002565
88,0,0.1873463
89,-30,0.2182064
90,-30,0.198955
91,-40,0.2241729
92,0,0.1800695
93,-40,0.2089865
94,-30,0.2041397
95,-10,0.1862904
96,-20,0.20667
97,-40,0.2235715
98,0,0.1684536
99,-30,0.2151309
100,-30,0.2044226
