TrialNumber,Eccentricity,ReactionTime_s_
1,10,0.2993672
2,10,0.322935
3,10,0.2192262
4,10,0.2204425
5,30,0.3648291
6,30,0.1993032
7,30,0.2306846
8,10,0.2163748
9,20,0.2150677
10,10,0.2619947
11,20,0.3648133
12,40,0.3981626
13,20,0.3215346
14,0,0.2578877
15,20,0.2601072
16,20,0.2189857
17,10,0.2423714
18,30,0.2365241
19,30,0.3543715
20,20,0.2975451
21,40,0.3409984
22,30,0.3356073
23,0,0.3499392
24,30,0.3222811
25,40,0.4311783
26,30,0.2810349
27,0,0.2514371
28,0,0.270038
29,30,0.3749286
30,40,0.2609979
31,40,0.3480784
32,0,0.2467944
33,20,0.3719736
34,40,0.409003
35,0,0.2558907
36,30,0.3747765
37,40,0.2434126
38,10,0.2420916
39,40,0.3699923
40,20,0.2628378
41,0,0.2923174
42,10,0.2543427
43,20,0.2644004
44,20,0.2931805
45,40,0.354494
46,0,0.207464
47,0,0.2262022
48,40,0.3237744
49,0,0.268617
50,10,0.2689025
51,0,0.2673117
52,-10,0.1874304
53,-20,0.2715918
54,-30,0.2131476
55,-20,0.2603617
56,-20,0.2549384
57,-20,0.2635591
58,-40,0.3724569
59,-40,0.3419577
60,-40,0.3129232
61,-40,0.3477599
62,-30,0.3624908
63,0,0.2807433
64,-20,0.2747973
65,0,0.2546295
66,-30,0.2675347
67,-20,0.2113799
68,-10,0.2573076
69,-30,0.2193865
70,-40,0.3586097
71,-20,0.2774252
72,-40,0.3463112
73,0,0.3023132
74,-30,0.3725159
75,-10,0.2691859
76,0,0.2250871
77,-10,0.2235358
78,0,0.2511388
79,-20,0.2579433
80,-10,0.2641415
81,0,0.2498223
82,-30,0.2105556
83,-30,0.2130719
84,-40,0.3133786
85,-20,0.1848781
86,-10,0.3165477
87,0,0.3317311
88,-40,0.3750252
89,-40,0.4092802
90,-30,0.3381538
91,-20,0.542546
92,-10,0.7340344
93,-10,0.1945519
94,-30,0.2480617
95,0,0.2394873
96,-40,0.2619088
97,0,0.2283547
98,-10,0.2653689
99,-10,0.1950448
100,-30,0.150066
