TrialNumber,Eccentricity,ReactionTime_s_
1,10,0.245200709
2,0,0.332426
3,-30,0.351863125
4,-40,0.296988333
5,20,0.284285792
6,20,0.232002709
7,-10,0.270922542
8,30,0.282997542
9,40,0.271657166
10,-10,0.30504675
11,0,0.3254745
12,-40,0.310975959
13,-20,0.276677333
14,20,0.294846833
15,-20,0.288125042
16,-40,0.242589542
17,-10,0.246610917
18,-30,0.275452667
19,-20,0.279738375
20,-30,0.287129209
21,0,0.265050458
22,-30,0.291150833
23,-40,0.279416875
24,0,0.258478042
25,-10,0.261304958
26,10,0.30797975
27,-10,0.293433542
28,40,0.234264833
29,10,0.268558584
30,-20,0.382626792
31,-40,0.297943666
32,40,0.283527792
33,30,0.280838459
34,0,0.299140875
35,30,0.260666125
36,-40,0.338812917
37,-20,0.2474315
38,-20,0.272453583
39,-10,0.253682583
40,20,0.268499875
41,30,0.294132208
42,10,0.287711
43,-10,0.188580583
44,0,0.141875917
45,0,0.263914292
46,0,0.288202042
47,40,0.055427333
48,0,0.270161
49,40,0.30546825
50,0,0.268988166
51,10,0.273798417
52,-30,0.310367875
53,20,0.335504542
54,0,0.269838333
55,-30,0.304339375
56,30,0.443882958
57,-30,0.336129417
58,0,0.31236575
59,30,0.268120209
60,-30,0.247089667
61,-10,0.298741375
62,-10,0.286711583
63,40,0.325116916
64,0,0.322271375
65,-40,0.298333416
66,20,0.256274792
67,0,0.266477416
68,20,0.288474458
69,20,0.255437416
70,0,0.319767917
71,-20,0.305167916
72,0,0.263700334
73,-10,0.316901084
74,-20,0.328805375
75,40,0.311856584
76,10,0.282734834
77,30,0.302350333
78,20,0.356941959
79,10,0.295992291
80,-30,0.302617416
81,40,0.270734375
82,-40,0.318716875
83,40,0.11015025
84,-40,0.266517166
85,10,0.307908208
86,20,0.329858792
87,-30,0.222694541
88,10,0.292281708
89,0,0.285319875
90,0,0.310867
91,10,0.30047575
92,-20,0.305922542
93,-20,0.281120542
94,30,0.299075458
95,40,0.212995125
96,30,0.275480792
97,0,0.276022458
98,30,0.28077675
99,0,0.339361375
100,-40,0.315826584
