TrialNumber,Eccentricity,ReactionTime_s_
1,-10,0.2890918
2,0,0.3766907
3,-30,0.3290219
4,-40,0.2537326
5,0,0.1978755
6,0,0.2608645
7,-30,0.2290169
8,-30,0.2504781
9,-20,0.230202
10,-10,0.2285001
11,-20,0.1929444
12,-40,0.1471052
13,-30,0.2556153
14,-40,0.3016657
15,-20,0.2942863
16,-40,0.1835907
17,0,0.3359169
18,0,0.307235
19,-10,0.178204
20,0,0.2323496
21,-20,0.2605968
22,-30,0.2642811
23,-40,0.2558822
24,0,0.2133853
25,0,0.2663579
26,-20,0.2527019
27,-40,0.2465325
28,-10,0.2583273
29,-30,0.2666718
30,-40,0.3234661
31,-30,0.3614643
32,-40,0.3835317
33,-20,0.2354873
34,-30,0.2588816
35,-20,0.2855372
36,-10,0.235088
37,-40,0.2851592
38,0,0.2492491
39,-40,0.2479537
40,-30,0.260578
41,-20,0.2695629
42,-10,0.244401
43,-30,0.2782407
44,-20,0.3167149
45,-10,0.268691
46,-10,0.2868327
47,-10,0.2994015
48,0,0.2599306
49,-10,0.2883904
50,-20,0.2144568
51,30,0.5102713
52,10,0.3327828
53,20,0.3212066
54,40,0.4171868
55,40,0.3251095
56,0,0.3016079
57,30,0.2621926
58,20,0.3134619
59,20,0.3128898
60,10,0.2544763
61,0,0.2947763
62,10,0.2523888
63,30,0.3019081
64,30,0.2835361
65,40,0.2892379
66,10,0.2184255
67,10,0.2974571
68,30,0.3061805
69,20,0.2668613
70,40,0.2737952
71,0,0.2890767
72,20,0.2464665
73,30,0.2764379
74,40,0.2848583
75,20,0.2668536
76,0,0.2833847
77,10,0.2617872
78,10,0.2739982
79,0,0.2722254
80,40,0.2468651
81,20,0.3082563
82,30,0.2743401
83,20,0.2715825
84,40,0.2887896
85,0,0.3391912
86,10,0.3512114
87,0,0.3207232
88,40,0.3177017
89,30,0.2513535
90,40,0.3400712
91,0,0.2641557
92,30,0.2642754
93,20,0.2420293
94,0,0.3370138
95,10,0.2507338
96,40,0.2768298
97,10,0.240118
98,0,0.2253494
99,30,0.1929767
100,20,0.3127434
