TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.3223648
2,40,0.3171437
3,10,0.3248038
4,10,0.3172845
5,0,0.2760739
6,20,0.3713653
7,40,0.3168402
8,30,0.4828916
9,30,0.3407829
10,10,0.3158385
11,0,0.293011
12,0,0.3042881
13,20,0.3951099
14,0,0.3447946
15,20,0.3692311
16,30,0.3400668
17,20,0.2845135
18,10,0.3037173
19,20,0.3613679
20,40,0.3553102
21,30,0.337585
22,0,0.2689643
23,20,0.3236553
24,20,0.4914139
25,10,0.4236998
26,10,0.3538582
27,10,0.2691257
28,0,0.2332754
29,0,0.4231013
30,0,0.266753
31,10,0.300468
32,20,0.2200999
33,10,0.3518134
34,10,0.3148467
35,30,0.3572008
36,40,0.3694362
37,30,0.385078
38,30,0.3633372
39,0,0.2654269
40,20,0.4311442
41,0,0.2374294
42,40,0.4404967
43,30,0.4826043
44,20,0.4026429
45,30,0.3297436
46,40,0.5935781
47,40,0.4257023
48,40,0.4259006
49,40,0.3665096
50,40,0.4763927
51,-10,0.4147918
52,-20,0.3243513
53,-40,0.3288148
54,0,0.3173659
55,-10,0.2685359
56,-10,0.3453407
57,-20,0.2362192
58,-10,0.3200806
59,0,0.248114
60,-10,0.2387999
61,-10,0.2234634
62,-10,0.2547806
63,-30,0.2227869
64,0,0.2700823
65,-20,0.2348997
66,-40,0.333492
67,0,0.2773809
68,-40,0.2520937
69,0,0.2929079
70,-30,0.3401408
71,-20,0.2283147
72,-40,0.3706294
73,-20,0.382075
74,-40,0.3025298
75,-40,0.4504968
76,-30,0.2646698
77,-20,0.2652372
78,0,0.2912496
79,-10,0.3105144
80,-20,0.2604906
81,-30,0.3512811
82,-20,0.3148385
83,-40,0.4519641
84,-30,0.3104253
85,-40,0.3322073
86,-20,0.2630709
87,-30,0.2618388
88,-30,0.441815
89,-40,0.2950366
90,-30,0.3394099
91,-10,0.209353
92,0,0.2184069
93,-10,0.296938
94,0,0.2796825
95,-30,0.3352075
96,0,0.2812026
97,-40,0.2742354
98,-30,0.3757182
99,0,0.3094648
100,-20,0.3424862
