TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.2928084
2,20,0.3148815
3,0,0.3345571
4,40,0.4365905
5,10,0.3568913
6,0,0.3196713
7,10,0.3277953
8,0,0.3907458
9,30,0.3114417
10,10,0.3849369
11,20,0.3611631
12,30,0.3507391
13,40,0.3666039
14,0,0.3249499
15,40,0.3043594
16,40,0.3666984
17,20,0.4976717
18,30,0.3245709
19,30,0.3635586
20,10,0.2508084
21,20,0.2539702
22,30,0.4302616
23,40,0.3454013
24,20,0.3162239
25,10,0.2800353
26,20,0.5415447
27,20,0.3550031
28,10,0.2348734
29,40,0.4969894
30,0,0.3201497
31,0,0.2231472
32,40,0.2857299
33,30,0.3618628
34,0,0.316777
35,20,0.5066795
36,30,0.4585837
37,10,0.3712553
38,10,0.4023735
39,30,0.4439931
40,10,0.3225264
41,30,0.3282303
42,40,0.4581165
43,0,0.4260476
44,10,0.4407197
45,40,0.3580259
46,40,0.4275996
47,20,0.3346676
48,0,0.3511959
49,20,0.3088031
50,0,0.3063121
51,30,0.2604717
52,30,0.439574
53,20,0.3501977
54,0,0.2795778
55,0,0.3447777
56,40,0.4578374
57,10,0.3000215
58,30,0.243381
59,10,0.2818666
60,40,0.3435685
61,40,0.443497
62,20,0.3216226
63,20,0.4022912
64,40,0.4122008
65,30,0.4488394
66,30,0.5599585
67,30,0.3926991
68,0,0.3559144
69,20,0.3050545
70,30,0.3264007
71,0,0.3803504
72,10,0.3952281
73,30,0.3071816
74,30,0.3446672
75,10,0.2915767
76,10,0.3295193
77,20,0.3748184
78,0,0.3887312
79,40,0.3992508
80,10,0.5735745
81,30,0.3296487
82,20,0.389392
83,20,0.3675339
84,20,0.3967823
85,10,0.3440118
86,0,0.5396682
87,20,0.5039855
88,0,0.5072224
89,10,0.3792468
90,20,0.3448075
91,0,0.2718739
92,10,0.4983551
93,0,0.3468159
94,40,0.3183417
95,10,0.2521899
96,40,0.3668259
97,40,0.462522
98,40,0.3294505
99,40,0.4470712
100,0,0.5895757
101,0,0.3753096
102,30,0.2411646
103,0,0.3115194
104,20,0.2577167
105,20,0.2608712
106,30,0.329009
107,40,0.4184662
108,0,0.2581798
109,40,0.3728365
110,0,0.3778007
111,40,0.4232811
112,10,0.3766122
113,10,0.3282096
114,0,0.3591311
115,30,0.2522526
116,30,0.3455705
117,0,0.3802816
118,40,0.2846891
119,30,0.528052
120,20,0.2729297
121,30,0.4045104
122,40,0.4387275
123,30,0.354608
124,40,0.4630423
125,40,0.348056
126,0,0.2997814
127,20,0.2927944
128,30,0.4592532
129,20,0.4419845
130,0,0.2837557
131,40,0.4226582
132,30,0.3994977
133,0,0.3685451
134,10,0.3616538
135,40,0.3234024
136,0,0.4133155
137,10,0.3379648
138,10,0.3395557
139,10,0.2431933
140,10,0.4382228
141,30,0.2898081
142,20,0.3311515
143,10,0.2915406
144,10,0.2879929
145,20,0.3980958
146,20,0.3299598
147,20,0.3795323
148,10,0.3219857
149,20,0.400119
150,40,0.3638597
151,-20,0.3331555
152,-20,0.4017365
153,-30,0.3571193
154,-10,0.2749107
155,-40,0.3769528
156,-40,0.5333681
157,0,0.3318241
158,-10,0.3376979
159,-20,0.4315646
160,-10,0.3239085
161,0,0.3740175
162,-20,0.4756648
163,-30,0.4005116
164,-30,0.5107348
165,-10,0.4249392
166,-10,0.3172489
167,0,0.2625813
168,-10,0.3884164
169,-30,0.4929083
170,0,0.373156
171,0,0.4852246
172,-40,0.474799
173,-30,0.3420599
174,-20,0.3389254
175,-10,0.2654835
176,-40,0.4746648
177,-40,0.4985217
178,-20,0.2880904
179,-30,0.2904179
180,-20,0.5089449
181,0,0.2691958
182,-40,0.398354
183,-30,0.3914709
184,-40,0.3958859
185,0,0.3328171
186,-40,0.4249982
187,-10,0.4365041
188,-10,0.4812586
189,-20,0.3638265
190,-30,0.4022869
191,-40,0.4641827
192,-30,0.4526372
193,0,0.3446974
194,-30,0.3565746
195,0,0.3266157
196,-20,0.2617497
197,-20,0.4040382
198,0,0.2694416
199,-10,0.3043117
200,-40,0.4907358
201,-10,0.2469314
202,-40,0.3774567
203,-30,0.4526953
204,-40,0.4584992
205,0,0.3661209
206,-10,0.3016218
207,-30,0.3965171
208,-20,0.3322681
209,-30,0.3405464
210,-20,0.354012
211,-20,0.3778658
212,-30,0.455109
213,-10,0.3166288
214,-30,0.485617
215,-10,0.332976
216,-30,0.3125539
217,-10,0.3263605
218,0,0.4138955
219,0,0.3487132
220,-20,0.3669979
221,-30,0.3722091
222,-20,0.3626364
223,-40,0.392301
224,-40,0.5318134
225,-20,0.3778391
226,-40,0.3646351
227,-30,0.4451082
228,-40,0.4498954
229,0,0.3853136
230,0,0.4885531
231,0,0.3032859
232,-10,0.3193274
233,0,0.3387644
234,0,0.2751834
235,-40,0.4134585
236,-20,0.4514532
237,-20,0.447598
238,-20,0.3929861
239,-10,0.2976521
240,-40,0.4600598
241,-30,0.4363255
242,0,0.3641056
243,-10,0.4023643
244,-20,0.3337289
245,-40,0.3620266
246,-10,0.4330237
247,-40,0.4528552
248,0,0.3494727
249,-10,0.3058765
250,-30,0.5170848
