TrialNumber,Eccentricity,ReactionTime_s_
1,-10,0.3199527
2,0,0.3209735
3,-20,0.4972194
4,-20,0.2494139
5,-10,0.2993565
6,-10,0.5128867
7,-20,0.4697614
8,0,0.35294
9,-30,0.4570402
10,-30,0.4688136
11,-40,0.4557789
12,-10,0.3557966
13,0,0.3575556
14,0,0.3899613
15,-40,0.3938355
16,-30,0.4435013
17,-30,0.4217227
18,-20,0.3542552
19,-20,0.3775522
20,0,0.3207747
21,-10,0.3505072
22,-20,0.3805955
23,-20,0.4214778
24,-40,0.6117288
25,-10,0.4394148
26,-10,0.4265661
27,-40,0.4671066
28,-20,0.3793382
29,-40,0.4554019
30,-20,0.344506
31,-20,0.386712
32,0,0.332852
33,0,0.3784294
34,-30,0.4270633
35,-30,0.4005387
36,-10,0.3649836
37,-40,0.6019527
38,-30,0.4800236
39,0,0.4016233
40,-40,0.4620329
41,-40,0.5314495
42,-30,0.4695919
43,-10,0.401292
44,0,0.3712438
45,-30,0.3665459
46,-40,0.4653964
47,0,0.4663432
48,-30,0.4634191
49,-10,0.3979153
50,-40,0.5000105
51,40,0.4788971
52,20,0.4087593
53,40,0.3278518
54,30,0.4807237
55,10,0.3283178
56,20,0.3052182
57,10,0.3881758
58,0,0.3864164
59,30,0.5293746
60,20,0.4055408
61,0,0.3796472
62,30,0.484434
63,10,0.4409161
64,40,0.3950952
65,0,0.4010113
66,10,0.3500604
67,10,0.3286099
68,40,0.4426255
69,0,0.3531831
70,0,0.31934
71,0,0.3422233
72,40,0.4065027
73,40,0.4134503
74,20,0.3526742
75,20,0.4940481
76,40,0.4501346
77,10,0.4410132
78,40,0.446575
79,10,0.3349206
80,20,0.3966502
81,30,0.5164647
82,30,0.4889473
83,0,0.514487
84,30,0.546205
85,0,0.4328383
86,20,0.4601106
87,30,0.5789865
88,20,0.4423749
89,10,0.4421589
90,0,0.391449
91,20,0.3701951
92,10,0.3062668
93,10,0.3981224
94,30,0.6398778
95,0,0.3804542
96,20,0.3528908
97,30,0.4046368
98,40,0.7227757
99,30,0.5817661
100,40,0.5260126
