TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.3988289
2,30,0.3917273
3,40,0.4221599
4,40,0.5504343
5,10,0.4041781
6,10,0.3268446
7,30,0.4129467
8,10,0.2772742
9,30,0.3720337
10,30,0.4571005
11,40,0.4845562
12,20,0.3944536
13,30,0.3953336
14,0,0.392161
15,0,0.2988555
16,20,0.3627642
17,40,0.428316
18,20,0.3549116
19,10,0.5411013
20,20,0.3715299
21,40,0.8122841
22,30,0.7782447
23,0,0.3991153
24,10,0.4234452
25,20,0.4408001
26,30,0.5493028
27,40,0.5620831
28,10,0.4777573
29,0,0.3596145
30,0,0.3201213
31,10,0.5068625
32,20,0.4049507
33,30,0.5159711
34,40,1.3857653
35,20,0.4568936
36,30,0.8517633
37,20,0.5952046
38,20,0.4105062
39,30,0.6628924
40,0,0.3739587
41,20,0.3996486
42,10,0.420215
43,0,0.387869
44,10,0.3610487
45,0,0.3005067
46,10,0.3784588
47,0,0.3201626
48,40,0.6355377
49,40,1.0868543
50,40,0.6322424
51,-20,0.3213534
52,-40,0.294446
53,-20,0.3518399
54,0,0.4123936
55,-40,0.4010894
56,-10,0.3516854
57,-30,0.5702814
58,-40,1.018543
59,-30,0.6580118
60,-10,0.3736855
61,-40,0.7963485
62,-10,0.4273966
63,-40,0.8886648
64,0,0.3678697
65,-30,0.4974684
66,0,0.472763
67,0,0.3739166
68,-30,0.5522679
69,-40,0.7473253
70,-20,0.3841016
71,-10,0.3466272
72,-20,0.4224257
73,0,0.4012002
74,-20,0.4717927
75,-10,0.3393409
76,0,0.3720831
77,-10,0.4211308
78,-30,0.3991938
79,-20,0.4199707
80,-10,0.3298681
81,-30,0.4625885
82,-20,0.4664856
83,0,0.3434607
84,0,0.3830651
85,-40,0.4135564
86,-30,0.6875567
87,-20,0.5058172
88,-10,0.439839
89,0,0.3396668
90,-30,0.5292085
91,-30,0.586469
92,-40,0.9295076
93,-20,0.4212455
94,-10,0.3677096
95,-40,0.861447
96,-20,0.9544093
97,-10,0.4186641
98,-40,1.2836369
99,-30,0.6161563
100,0,0.2796083
