TrialNumber,Eccentricity,ReactionTime_s_
1,40,0.5306529
2,30,0.3177519
3,40,0.2949014
4,20,0.2829692
5,0,0.267271
6,10,0.3543316
7,10,0.271311
8,10,0.2636913
9,10,0.3122024
10,20,0.3571283
11,20,0.236422
12,30,0.3002617
13,40,0.3417827
14,40,0.3453745
15,40,0.3104312
16,20,0.3511425
17,20,0.3525799
18,30,0.2722356
19,40,0.2904276
20,10,0.2776583
21,0,0.3039137
22,10,0.2370058
23,30,0.2629588
24,10,0.2625029
25,20,0.3139837
26,40,0.3367011
27,0,0.3406485
28,40,0.303763
29,0,0.261137
30,30,0.2744797
31,20,0.2651274
32,30,0.3364084
33,30,0.3205769
34,10,0.2255598
35,0,0.2289995
36,10,0.3040001
37,0,0.2533272
38,0,0.2437387
39,10,0.2357733
40,20,0.3176866
41,0,0.2975731
42,20,0.3296418
43,0,0.3567878
44,30,0.3189295
45,20,0.336288
46,30,0.2799888
47,40,0.3361405
48,30,0.3407133
49,40,0.4221592
50,0,0.28728
51,-20,0.3271599
52,0,0.3118192
53,-20,0.363729
54,-20,0.5151439
55,-10,0.2702604
56,-40,0.3325541
57,-30,0.364181
58,-20,0.2148838
59,0,0.2829581
60,-40,0.3428706
61,0,0.2296239
62,-10,0.30933
63,-30,0.3312178
64,-30,0.2928302
65,-40,0.3008662
66,0,0.3168322
67,-10,0.2513358
68,0,0.2742976
69,0,0.2744306
70,0,0.2626977
71,-40,0.4185971
72,-10,0.3135015
73,-40,0.3260421
74,-40,0.3410781
75,-40,0.3659525
76,-10,0.2977234
77,-30,0.329094
78,-20,0.2466397
79,0,0.2876062
80,-30,0.3910502
81,-10,0.3262958
82,-40,0.3645323
83,-20,0.4137257
84,-40,0.4264348
85,-30,0.2799175
86,-10,0.2645256
87,-30,0.2741629
88,-20,0.360572
89,-10,0.3420876
90,-20,0.2955306
91,-10,0.3250165
92,0,0.3292492
93,-30,0.3132687
94,-10,0.3341772
95,-30,0.3179337
96,-20,0.3730618
97,0,0.2545532
98,-30,0.375075
99,-20,0.2030698
100,-40,0.3455366
