TrialNumber,Eccentricity,ReactionTime_s_
1,-40,0.523690744
2,40,0.621359151
3,20,0.471864636
4,40,0.496061043
5,0,0.419341834
6,-30,0.480859369
7,-30,0.521480865
8,-30,0.459774258
9,0,0.616203944
10,10,0.469317965
11,-40,0.605339022
12,40,0.446131473
13,20,0.378669987
14,0,0.303209415
15,40,0.440382494
16,-30,0.430454578
17,-40,0.437762509
18,20,0.433954075
19,-30,0.354129367
20,0,0.368578453
21,0,0.41572833
22,10,0.382305749
23,20,0.375730608
24,-10,0.375015809
25,20,0.388277743
26,-10,0.314715387
27,-30,0.298387038
28,-40,0.508446806
29,-20,0.321878304
30,30,0.370945127
31,10,0.375771142
32,0,0.38005861
33,30,0.39295998
34,10,0.486491535
35,0,0.390164205
36,20,0.488710423
37,-10,0.413071937
38,40,0.421475346
39,-10,0.32340284
40,0,0.338562731
41,-30,0.4862336
42,-30,0.391317832
43,10,0.361962248
44,20,0.441003077
45,40,0.423973266
46,10,0.422656812
47,0,0.392214492
48,30,0.46542334
49,-10,0.363962084
50,-20,0.43055586
51,-10,0.454431786
52,0,0.452606724
53,-40,0.44042862
54,20,0.385860333
55,-20,0.365456153
56,0,0.339811428
57,20,0.39764357
58,40,0.780365614
59,30,0.52782554
60,-10,0.421234843
61,0,0.333494435
62,-10,0.343241432
63,0,0.335680838
64,-20,0.372301778
65,-30,0.422703405
66,-20,0.396018033
67,-20,0.435952766
68,-40,0.34644517
69,10,0.369318883
70,0,0.419545926
71,30,0.390340389
72,-40,0.435118391
73,40,0.544107667
74,-20,0.393036407
75,-10,0.375512324
76,-40,0.402138472
77,10,0.335089232
78,40,0.364830283
79,20,0.391082257
80,30,0.372898004
81,30,0.436572669
82,0,0.367885403
83,0,0.417953498
84,-30,0.478202286
85,0,0.389353314
86,30,0.360987999
87,-40,0.424625515
88,-20,0.345544578
89,-40,0.426694829
90,0,0.302007311
91,0,0.282008013
92,10,0.333072928
93,-10,0.31443732
94,30,0.389999608
95,10,0.333568035
96,-20,0.345386672
97,-20,0.42077518
98,0,0.341554463
99,30,0.291036179
100,40,0.486738082
